,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,螺纹钢,热卷,豆粕,豆粕,塑料,豆一,焦炭,热卷,热卷,棕榈油,焦煤,沪铜,玻璃
1,热卷,螺纹钢,沥青,豆一,玉米,淀粉,聚丙烯,甲醇,豆一,淀粉,螺纹钢,螺纹钢,沪铜
2,沪镍,天胶,沪金,沥青,焦煤,甲醇,白糖,聚丙烯,聚丙烯,甲醇,动力煤,沪锌,淀粉
3,菜粕,沪镍,PVC,菜粕,沥青,聚丙烯,棉花,棕榈油,螺纹钢,PVC,甲醇,焦煤,菜粕
4,铁矿石,塑料,沪银,沪金,棉花,沪铜,塑料,淀粉,甲醇,豆一,焦炭,玻璃,鸡蛋
