,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,铁矿石,菜粕,沥青,豆粕,塑料,热卷,热卷,热卷,热卷,PVC,甲醇,沪铜,玻璃
1,焦炭,豆粕,沪金,豆一,玉米,玻璃,豆一,甲醇,聚丙烯,焦炭,鸡蛋,螺纹钢,沪铜
2,螺纹钢,豆一,豆一,菜粕,焦煤,棕榈油,焦炭,焦炭,甲醇,PTA,热卷,沪锌,焦煤
3,天胶,沪金,沪银,沪金,沥青,焦炭,甲醇,沥青,菜粕,棕榈油,焦煤,焦炭,热卷
4,焦煤,鸡蛋,甲醇,沥青,淀粉,铁矿石,聚丙烯,聚丙烯,PVC,沥青,螺纹钢,焦煤,聚丙烯
