,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,天胶,沥青,沥青,豆粕,塑料,豆一,铁矿石,沥青,鸡蛋,菜粕,鸡蛋,沪铜,玻璃
1,焦炭,沪镍,焦煤,菜粕,玉米,聚丙烯,鸡蛋,塑料,豆油,塑料,动力煤,螺纹钢,沪铜
2,焦煤,棕榈油,豆一,豆一,焦煤,塑料,菜粕,豆一,菜粕,PVC,豆油,沪锌,聚丙烯
3,铁矿石,沪金,甲醇,沥青,沥青,白糖,沪锌,白糖,白糖,豆一,焦煤,沪铝,动力煤
4,鸡蛋,沪银,塑料,甲醇,淀粉,PVC,PVC,焦炭,沪金,沥青,沪铝,动力煤,热卷
