,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,沪银,沥青,焦炭,铁矿石,豆一,焦炭,沪铝,聚丙烯,沪金,玉米,沪金,豆粕,豆粕
1,白糖,沪铝,焦煤,焦煤,沪镍,热卷,焦炭,塑料,热卷,热卷,豆粕,铁矿石,豆一
2,沪金,焦煤,铁矿石,动力煤,玻璃,焦煤,沥青,沪铜,棕榈油,焦煤,热卷,天胶,豆油
3,玉米,焦炭,螺纹钢,PVC,沪锌,玉米,热卷,焦煤,玻璃,聚丙烯,玻璃,豆油,沥青
4,聚丙烯,沪铜,热卷,螺纹钢,甲醇,螺纹钢,沪铜,沥青,PVC,沪铜,PVC,沥青,铁矿石
