,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JD,JM,L,M,MA,NI,P,PP,RB,RM,RU,SR,TA,V,Y,ZC,ZN
2018-01-16,7.883972698,39.098141568,105.24707674,42.43068785,10.760527672,18.179113112,29.3141045,5.994283246,291.1998955,14.001124816,26.833752856,117.261912,69.2451916,11.617916744,32.716566912,19.58261725,46.972096978,24.282030904,55.65062578,22.465775828,19.26932348,112.482814238,19.916699552,68.96544939,35.13698775,52.384167204,7.40089225,41.275454396,24.428396072,123.02150835
2018-01-17,8.196655966,37.489682394,103.130080345,42.260987,10.687745496,18.402948054,28.644998225,5.797824802,280.12724503,13.840729556,27.058460268,113.3575289,70.572479,11.67205544,29.85466152,18.534427765,48.109388302,22.150894228,54.069911692,22.370906252,17.450683575,117.604254042,20.019521248,69.69571866,34.80291309,50.157395544,6.772940205,41.680645672,25.316851064,120.90776545
2018-01-18,8.177393552,37.958355504,103.3802166,41.7887877,10.755891704,17.814398656,36.15291995,5.720042624,278.3927814,15.151032264,27.893983944,113.1367219,65.00069768,11.626093696,28.412285976,18.277390775,47.829048806,22.83583302,54.1461974,22.527457864,17.71255297,126.177107206,20.308780704,71.3801367,35.94207449,50.80544694,6.81364555,42.228754132,28.779406192,118.24549234
2018-01-19,8.770751754,38.488810422,104.124512055,41.6995421,10.362932416,17.631491268,32.2842813,5.668304658,278.58790254,13.811445516,28.82115706,118.5266991,69.26623916,11.79606568,28.551153312,18.649132215,48.815295394,22.45049373,52.181902392,22.406287704,18.189287284,137.568356988,20.534945456,74.61963486,35.96261231,50.803536424,6.852726645,42.907346564,28.833286,116.8643776
2018-01-22,8.902901234,38.904355374,103.299236125,41.7199341,10.727811712,17.402370082,35.824242,5.601583346,282.32358668,14.40503612,29.39170516,109.6763152,65.60152092,11.862443456,29.018390664,18.859824165,47.636478982,21.962725732,54.162242544,22.575889556,17.943380518,141.072223324,20.291580784,76.3744794,37.45512362,51.90400404,6.500286375,42.925572912,32.246385136,118.44297292
2018-01-23,8.980500386,39.48806121,101.89305676,43.0463058,10.2018344,17.531743538,41.3513727,5.631677572,285.67178342,12.588275208,28.453168052,118.7543008,63.09959184,11.736754472,27.210375432,19.91356862,48.07572045,21.797197276,56.477415724,22.529249676,19.660020961,131.469992068,19.768296452,84.1473546,37.25457697,52.828291056,6.851608305,42.680986724,32.923770464,116.28294908
2018-01-24,9.144676284,40.50176046,99.97292144,44.27006845,13.530288016,16.85941761,40.55110205,5.495116826,300.37531048,12.846481928,29.830407212,110.5276397,61.31846808,11.979363808,27.826488192,19.125084245,48.228577382,21.356107196,55.978282988,22.621674624,18.912291335,137.192311482,19.63154946,83.75834077,36.37871563,57.140513216,7.260312685,42.590553584,35.6415128,116.45944752
2018-01-25,8.946947656,40.780452042,101.53486275,44.68826775,14.614050704,16.92729345,40.2387366,5.642594842,299.2112267,14.245191932,29.596345792,112.591784,74.8184984,12.001950432,25.829604432,19.290684185,48.617141148,22.27025581,71.91145676,23.292099108,19.907192519,141.002664182,20.670209576,84.50387682,35.66041826,56.681857908,7.273001655,42.8740815,37.108642896,116.9672458
2018-01-26,9.017254354,40.911954468,101.375738265,44.5194621,15.019704624,16.426238038,39.854737,5.744552404,302.26374844,13.067590964,28.639668376,111.9147543,66.1105166,12.00873852,24.20808384,19.753031965,48.82163089,21.54893776,73.58898628,23.957725272,20.560809784,135.74518936,20.091741132,84.47899896,37.04802875,55.6807996,8.782878895,43.799092236,39.04254044,115.06701244
2018-01-29,8.973555542,41.34330204,101.28358524,45.2720379,15.50816944,16.148516542,38.889196475,5.658112498,306.87332866,15.396378904,28.63544296,109.1484708,66.44582376,12.244702104,26.597491296,18.974115755,50.535762736,20.99519135,77.306981332,23.668178112,20.642938574,134.801867572,21.649538472,84.0889397,37.74270282,55.643875016,8.0768179,44.755393684,41.215681168,125.72840724
2018-01-30,8.878206078,41.738516442,101.40970287,45.4586718,14.339117768,15.972978104,35.94257975,5.577004268,302.38205921,14.514607512,27.265828324,107.7824248,63.56922816,11.920030928,24.846202992,18.696291275,50.589844614,21.108915238,70.86476288,24.424887268,20.021759778,129.93433342,21.965983068,86.34343255,37.36375812,52.20854086,7.47735664,44.23317456,36.745491432,119.34736765
2018-01-31,8.85948454,42.047672244,97.76002138,45.03118885,14.380249152,15.745656668,33.15085745,5.586533424,299.96208887,14.108010516,26.351640016,111.8344479,63.48700056,11.683310728,26.811175008,17.93616362,50.219055612,21.52114219,65.15955794,23.812457632,20.018751918,126.364277062,21.61097206,85.51969536,36.02808219,52.945994392,8.154324575,43.558955056,36.139649512,116.27014794
2018-02-01,9.495127106,42.082248672,99.06517316,44.546838,14.256034608,16.373867762,32.139167925,5.910206852,294.47466103,12.69365454,28.026209792,107.7574796,60.08166912,11.547471984,24.56786196,17.40966709,50.508476276,20.750741952,63.217556536,24.500882924,19.71152286,129.638710854,21.957111696,85.42562825,35.44809407,49.289650164,6.952657115,43.703156392,37.061968816,113.47469522
2018-02-02,9.05961556,42.98871699,99.21616102,45.11600885,14.29339952,15.947517174,31.535833,5.420374,300.42703586,13.279552612,32.443317808,105.4915777,67.08012872,11.65291372,29.27572392,17.543379165,50.101278124,20.89950376,66.942274948,24.305793312,19.125959917,130.560229502,21.179457188,85.59301271,35.054658,48.399944908,7.11535157,43.121499968,35.60592884,114.6315438
2018-02-05,8.35349083,44.203139316,98.3877372,45.78475545,12.93623616,17.208947786,30.11887405,5.332286652,298.95816491,13.44370862,31.080479384,110.2506437,75.28301252,11.641733272,31.094274984,17.64603853,49.920811232,20.742186986,62.8736511,24.20273668,20.070090937,125.68435558,21.016502036,84.73881553,35.03711924,46.317150296,7.14102956,42.966468688,34.309348608,114.75277482
2018-02-06,8.186291946,44.058601014,98.50194692,46.99079435,12.1629256,16.579325566,29.488309425,5.379198748,297.91841621,13.534387916,28.896840448,104.496032,81.49788396,11.537301344,28.40747064,17.12349819,51.23700046,20.127126846,62.191488172,23.731666416,18.78425845,122.359879816,20.760351116,83.71056177,34.67003416,44.118704188,6.766513665,42.284848296,32.171302736,112.75943352
2018-02-07,7.978035822,45.618083748,97.63204904,46.4108763,11.98620184,16.783550666,29.800615675,5.724290362,299.50489665,13.669540096,27.74485168,100.3159507,84.83346652,11.463134296,27.201033528,17.558993495,52.320577362,19.804710914,62.222224144,23.526607632,19.833139784,120.775931448,21.653134504,82.59264856,34.37576044,42.744713104,6.875160945,43.009176612,29.956469088,109.73631502
2018-02-08,7.48250719,45.667496214,96.84432863,47.0112908,11.376372104,16.41606418,29.486142175,5.704614958,294.84003127,16.124835268,28.404720268,98.2966833,83.0279368,11.438938176,28.365257064,17.09085787,52.44858483,19.411031102,58.70071122,24.202173432,19.650873833,120.893134394,21.668735408,81.44840863,33.5069479,40.820641636,6.468428325,42.133712504,28.351387408,105.30918581
2018-02-09,6.93417179,44.933657382,91.89937132,47.3200017,10.807348336,16.777058318,29.23460685,5.6162092,289.55120534,15.119159472,26.610508872,101.5148147,75.58978396,11.073733712,26.949717648,16.61734168,51.4749546,17.788775588,57.459237504,23.32628754,19.132983375,116.393349126,20.90552002,78.54301811,33.38627999,39.42052806,6.693168505,41.898522388,26.783071648,97.99810078
2018-02-12,6.689173652,45.080597838,91.65255576,48.0853635,10.631189832,16.525808696,28.50118455,5.621034258,291.94432398,14.205468256,25.649292788,91.782334,67.51718152,11.212857632,25.77222036,17.02539765,53.65101467,18.804514096,59.419098504,22.956317924,19.27104727,111.867982902,22.257035996,78.04918962,32.31024797,39.140075416,6.916551595,41.744406588,25.455928256,91.47817676
2018-02-13,6.439959356,43.781589366,88.56101882,47.67184485,10.337329632,15.616646548,28.43614215,4.998542336,296.74976324,13.01362912,24.542884228,91.3736525,62.1406102,10.6899918,24.331506624,16.167332715,52.83605797,17.648421578,58.56025746,21.439819276,18.203055339,106.38466725,20.376698856,76.70528471,30.35919118,36.74777526,6.323224,41.361738424,24.758918048,90.5859768
2018-02-14,6.093333792,43.33408683,85.68633603,46.9054702,9.893654784,15.761947418,27.7923093,4.862496458,290.18534868,11.876488428,23.708395216,89.5419979,60.716269,10.1180438,22.885871472,16.098844225,52.567522554,16.458421088,58.267192736,21.21537948,17.683828883,102.937223246,19.357446836,74.84720968,29.61345213,36.322184368,7.04372224,39.619491848,23.901116968,91.31823274
2018-02-22,6.374316874,42.993027594,88.224344825,47.5075491,10.249851168,16.331217042,27.904995325,5.000091972,283.71815901,12.437784552,24.069584016,91.3895518,69.75695488,10.292286024,24.175481832,16.284980245,54.912093282,16.719746418,57.776272216,20.962861592,17.666091148,110.373000786,20.910317392,76.51650494,30.0785877,37.410079376,6.988362075,39.355901004,25.976978584,87.35974016
2018-02-23,6.630060494,44.980378326,87.575158295,48.7486924,10.82346716,16.944046462,28.622255825,5.2181993,288.10768611,14.19063302,25.366613632,103.7991973,82.35319072,11.177356608,28.86460956,16.980855985,57.822780164,17.383003352,67.401537316,22.527147172,18.374442257,116.29770701,22.289196372,77.91959866,30.77190178,37.704096028,7.597487375,41.7694312,27.181059984,86.648914
2018-02-26,6.781336066,46.830938412,84.222536075,49.96605375,10.67265136,19.115558334,27.723280425,7.022634256,287.81303364,13.263970428,26.816801136,101.9280969,92.1673914,10.949157648,33.157745496,17.70996706,60.551019866,20.406249494,69.744792664,22.671021336,19.889649818,121.630020736,22.82383842,77.96243061,31.74319515,40.800491376,7.46414672,41.37637896,26.878454872,85.6040569
2018-02-27,6.842302654,48.449341266,84.594846515,49.12307495,10.647169112,19.030807326,26.6784141,6.803804988,284.06499994,13.484611444,28.024068792,103.866328,90.10151764,11.025645408,34.504295352,18.372575405,61.007919016,21.241522482,73.048774928,22.005455308,19.567760908,119.632257442,22.476710104,76.98614041,32.23404822,42.817967996,7.75228632,41.584504444,26.432697496,84.85892528
2018-02-28,6.797770164,48.856840836,83.00848361,49.2840809,10.946829496,19.672603286,26.99244405,6.96480158,278.01210073,14.575797068,28.12557134,100.7700412,85.22511916,10.631494784,35.536840944,18.29433983,65.60543819,20.51265511,69.966380752,22.21567354,19.230072186,119.840358662,23.515247972,77.82072253,31.64989514,42.290086488,7.48319085,41.770849828,26.607473088,81.03935292
2018-03-01,6.679632382,49.672384116,81.76931769,49.59908485,10.914465568,19.635890662,27.0729025,6.67619706,276.80530823,14.928941452,28.669456512,106.6928378,88.88687428,10.51365564,34.913183208,20.00660958,71.35761185,23.156994088,69.683139984,22.006412008,19.71308109,122.926838412,24.258777888,77.93924705,31.83780072,42.836275896,7.8099456,41.951097148,27.361896992,78.01434998
2018-03-02,6.736103484,47.685021414,79.59033776,50.6978326,10.929135072,21.078627086,27.033477275,6.848993214,274.35394964,14.934276868,30.00323376,103.1124907,87.48945592,10.542614816,31.848316296,18.94488927,75.565819504,21.506101486,70.284545456,22.371025712,18.329556654,118.871823952,26.032171644,77.71392332,31.35500674,43.130520548,7.57325572,41.874132508,26.905027856,76.55426449
2018-03-05,6.49791261,47.519761746,78.333082935,50.63371375,11.341416456,22.104373788,27.4594172,7.539934206,272.25547396,14.627513424,26.245246984,106.3873705,83.87614252,9.98620028,31.87358556,18.55171663,75.192833464,21.721656062,68.959136472,22.270307108,18.842877707,120.898090494,24.74557986,79.38486146,31.75309837,42.838997212,7.614331545,41.184892824,28.148727432,73.14824956
2018-03-06,6.15589226,48.680110044,76.45729324,50.6414412,10.996312128,23.690344146,29.11063145,7.518238028,277.61526622,14.062415136,25.104071072,102.0084986,79.28638852,9.690362792,31.048820184,18.989069205,78.524276264,21.601483074,72.7738294,22.726587316,18.160103986,126.569166174,24.447044652,78.9410622,33.15577002,42.129678676,7.637496825,40.49026608,26.4530784,69.53498494
2018-03-07,5.988029254,46.125332112,75.522928365,50.3916863,11.243730584,23.163773836,27.87607055,7.524422052,272.26133706,15.298057276,24.75898608,106.6110998,77.18990788,9.609074096,30.181188216,18.363493485,83.312973142,21.572218988,70.541750504,22.691352676,18.785692663,129.170682516,24.381969948,80.12361781,33.65758693,42.406524584,7.765695415,41.209569476,27.098239416,70.62378824
2018-03-08,6.052158622,47.349142086,74.85040734,51.1615495,11.089423288,23.201404576,26.92119345,7.559677552,266.51104414,15.293600132,23.815149268,106.0270598,74.01950644,9.475273552,28.956081672,19.175211315,83.506437854,22.194521046,72.262150392,22.115127012,18.697097545,132.619288774,24.074996424,79.78347848,33.31333295,41.147894764,8.37631461,39.937674972,28.040603008,68.73127374
2018-03-09,5.65704133,46.393515492,73.3212405,51.033703,10.713882592,23.199083712,26.877051875,7.484885814,260.77401836,14.931985464,22.644963184,107.1296009,72.13610152,9.473167512,28.34938728,17.94867303,83.767641272,21.836456128,70.148452944,22.74102952,18.134999925,127.793079484,23.367112124,79.74858512,33.16684872,40.670892616,7.841783425,39.238573772,27.54074188,67.27631343
2018-03-12,5.402989266,45.700155888,73.446469485,50.82320915,10.398416472,22.736892836,25.982845025,6.859620908,263.0660644,14.367551128,21.459819444,107.4895343,69.66084244,9.60424704,28.011957096,18.29170502,79.154339614,20.546197832,75.23923,23.368307696,18.843690964,129.287268234,22.675269132,80.20054003,31.97599854,40.807941404,8.869679,38.750580588,27.720375816,66.09830176
2018-03-13,5.294902438,45.773437818,75.240111045,51.57115155,10.918152912,22.814787156,25.151680225,6.66335299,261.7804427,13.716098172,21.758738224,106.723534,68.51439604,9.57747624,29.642574576,17.762969435,79.025431324,19.96204316,73.306349436,23.819109628,17.862673843,133.147593418,22.396963284,81.32133311,31.76806297,42.14915106,9.100051345,39.622401188,27.937795544,65.8536105
2018-03-14,5.222667324,45.447905808,71.986425815,51.5795725,10.697990032,22.801326562,24.8403381,6.652035796,259.71705549,13.945160408,21.556879488,110.0652719,77.98442672,9.60473592,32.860137984,17.595833195,79.577530074,20.39174641,77.0389786,23.18452684,17.476268159,134.025490618,22.652938604,81.02342294,31.36274132,40.249665152,8.93045265,39.19834128,27.72571116,65.41277228
2018-03-15,5.303455374,45.775411146,64.423079315,51.6673625,10.52738284,23.116737546,24.633444425,6.442534616,245.35717143,13.985803544,21.145410832,103.8021004,69.7332872,9.607860768,29.821335624,17.84489764,79.95016456,19.605935114,74.825604648,23.604362284,17.67281516,131.385193634,21.383016936,82.28951936,30.53776315,39.818508936,9.29331067,40.321008364,27.435452752,63.73231652
2018-03-16,6.152139238,48.056646798,63.266960915,51.7122738,10.275185072,23.519580392,24.59852055,6.251292278,243.02351064,13.441731756,22.333444284,105.5277144,71.15296544,9.552069032,29.476833984,17.90004385,85.675029776,19.022273374,74.603926448,22.761618768,19.220569977,133.742324446,21.218389216,86.31424094,30.16273925,40.335405444,9.134674675,40.467524664,27.282348312,61.38161474
2018-03-19,6.166448134,49.562048178,63.22053825,52.0319083,10.445639472,22.961846516,25.14307685,6.256255208,242.93890036,13.94503946,21.6444482,110.2941396,78.97513224,9.763479968,33.694730424,18.87547558,82.118805594,20.251610388,74.217024828,22.7324027,19.083703016,135.941377386,20.275920216,86.11080593,29.00765801,39.1345529,9.175769645,41.535060364,26.99376544,60.81852507
2018-03-20,6.09395878,48.627080208,62.875381065,52.30368565,10.693052824,22.908220244,25.2236795,6.222835696,240.98711916,12.557626536,21.950563248,108.2214124,74.35524264,9.085790016,31.706874144,19.485503835,80.960907454,19.031437718,74.57496534,23.762904648,19.622701721,135.031655974,19.603022236,87.27303818,28.7751876,37.06656786,9.93627873,40.982970504,26.2265016,60.45702424
2018-03-21,5.940167002,49.43134869,63.080409005,52.2108592,10.497203552,23.522092566,25.2624898,6.113624412,240.6507382,13.655138988,23.827779736,112.1174408,76.23205068,9.116996264,33.161753736,18.727322905,81.798370248,18.789244398,74.316978168,23.947426412,18.976036905,137.119490028,19.580547708,87.86034367,28.58864744,36.359925448,9.45904918,41.51070168,26.134052992,61.53282
2018-03-22,5.88986748,47.564133546,61.951875035,52.99252855,10.927027112,23.297100582,25.7271768,6.279794276,240.85281902,14.941081368,23.147899808,111.4612072,74.16432228,9.103470344,32.343940944,19.167339545,82.806356906,20.338307508,75.456253368,24.046691424,18.945271104,138.82027222,19.406703384,89.32640894,28.3808213,33.834324748,8.979851125,41.993509852,26.07216628,62.02605245
2018-03-23,6.356648648,47.422565058,60.493061305,54.33211175,10.237745216,22.809970778,24.77799275,6.043836246,230.44199352,12.574205712,21.08237624,96.9600564,79.02391476,8.30827976,36.119594664,18.002441855,82.64941097,17.298868376,75.21630882,22.564432296,18.160038264,122.79448485,18.998277204,81.74674736,26.9877816,33.17303998,8.444479645,39.9278341,24.429649992,61.41571656
2018-03-26,6.380973578,47.000929662,58.664612025,53.50844855,10.64229488,22.985933376,24.674908225,5.996788434,221.01417772,12.134942048,20.074726692,98.2064951,70.20726388,8.694421488,35.017400664,18.50395639,82.844613306,17.455943774,70.22741312,22.602976984,18.09680158,125.657856204,19.223104352,77.33567835,27.81331423,33.052170912,8.52686688,39.301088904,23.258733792,58.81889532
2018-03-27,6.111074438,46.806802224,57.34838389,53.08438435,10.789004536,22.64957457,24.138201975,6.290071872,220.42180456,11.474398132,20.598365148,98.3262944,73.73635708,8.635527088,33.98449068,18.169142365,82.792836266,17.567329392,68.964296388,22.66822516,17.750068207,123.69462548,19.280550588,78.13053735,27.11792504,33.549329376,8.402434355,40.724472404,23.490096712,57.68273626
2018-03-28,5.924752274,47.697378366,56.78881879,51.91961215,10.86014544,22.210476358,24.820425525,6.38651629,215.15204144,11.298908968,20.183975792,106.3406305,80.0043512,8.296013024,34.213924224,18.08492561,80.991726242,17.323865404,68.67277744,22.564821876,17.825782468,117.638282738,19.174410256,76.55344123,27.18433662,34.233864024,9.031078265,39.71705808,22.955703456,58.5886145
2018-03-29,6.090770084,48.90117447,58.46026659,49.220336,11.235642448,22.189099898,24.64326835,5.878862206,207.54689326,10.815564528,20.387421444,103.9999042,78.75476556,8.94635504,40.379533488,18.15232322,80.161708032,18.013855204,69.242625484,24.283981944,17.880402222,119.269049786,18.39871206,77.03456004,27.14079183,34.443621984,8.903642515,39.997395592,22.58555796,56.47518937
2018-03-30,5.919233054,48.3026649,57.1466586,49.3373302,12.05635196,22.360917866,24.352315025,5.788921614,201.7149635,10.876124152,20.088567328,102.4671374,79.67745868,7.332144672,35.747927592,18.00431358,89.325455702,16.531365252,66.758185592,22.309817208,17.907513734,120.935841946,19.240866716,78.77977932,26.60991972,34.096212204,8.3185924,39.867341164,22.244510568,54.23394533
2018-04-02,6.432549522,47.685682866,57.3198916,49.24200095,11.292484272,22.231682158,24.419679375,5.64583474,198.64739719,9.410954976,18.782448016,104.4151857,78.67334892,7.172882976,32.358856776,16.89226886,89.592722296,17.275191902,64.649996056,21.209606936,16.637582277,115.489446642,18.844935172,78.65051247,25.4573887,33.709041288,8.124338145,42.04755002,22.764408248,52.49036002
2018-04-03,6.668409916,46.165063242,56.4984323,49.14616645,10.787011296,21.80784011,24.663721425,5.54060129,193.08586814,8.683004848,18.185058368,104.0701752,71.40757284,7.089753328,29.697810576,16.471353585,88.790191196,16.9442081,64.027121412,21.511609168,16.736221839,113.712032314,18.136508928,79.07277087,25.27390246,33.881528764,7.759747205,41.799575972,22.905657752,51.72987941
2018-04-04,7.449074038,46.546524018,55.52286535,49.09447395,10.344815088,22.589852404,24.880449225,5.717118218,186.63406898,7.711640464,17.475654888,110.056826,73.13392176,6.969410784,28.785980688,16.293738735,89.270826792,15.968786492,61.57676306,20.027415884,16.180220225,111.453633766,17.401245924,79.22189993,24.63865907,33.459550476,7.60844084,42.529489156,22.331745912,51.57764658
2018-04-09,8.17342316,46.834085982,56.104286825,49.16248505,9.984238624,21.988206324,24.429546225,5.292297248,191.09461049,7.535329768,18.213165248,113.3919922,68.10517044,7.07925688,26.770357896,15.930957575,94.006399214,16.88909021,60.252958172,20.47526852,16.522921003,116.807893888,17.386243448,80.95497777,24.39212583,33.72560694,7.889880915,43.252572272,22.312055984,52.80014682
2018-04-10,7.981986292,46.654345614,56.741233435,49.5337589,10.132768512,21.057959818,24.40187675,5.666907442,189.40595403,7.499427544,17.97148286,115.7373833,69.21256428,6.884110736,26.4757146,15.9565676,91.527339218,17.18818878,60.733068996,20.305250308,16.172286381,117.222436134,16.6895,81.83229591,24.66774716,33.532752432,7.74077542,44.258671184,23.16452796,51.72662265
2018-04-11,7.954618714,46.329384624,58.22183863,51.313936,10.680603296,20.980286712,23.954776925,5.502446362,181.51105489,7.548735712,17.83632962,109.2786754,75.69773076,6.987206608,27.327786792,15.913556855,94.538596782,15.655239692,60.620577304,21.534827888,15.800292948,113.699785746,16.45047534,82.27673848,24.16833478,33.92843508,7.752924935,44.28479202,22.46943432,51.08306066
2018-04-12,7.89190724,44.436539178,57.96817156,52.1093678,11.038199048,20.270067006,23.81908195,5.49420382,177.17390912,7.082703548,17.5960633,113.7958426,73.7864256,7.04978088,27.7533078,15.331281315,94.193211266,15.023501568,62.6546209,21.076136144,15.448970141,112.324121734,15.14121438,82.51493301,23.58928762,33.734185788,7.740670805,43.706857852,21.903022904,58.12366326
2018-04-13,7.777296856,42.481224222,59.824463055,50.39846385,11.202635016,20.144712224,23.5084963,5.071384528,173.96018756,6.702976564,17.116325312,111.6303201,71.40154956,6.995104576,27.666351,15.722621845,97.20738979,14.615514744,65.14355372,20.426770924,14.80628731,117.051544082,15.590522904,83.4558022,22.68008791,33.230517608,7.92782676,44.101990156,20.71989672,57.99321885
2018-04-16,6.99646703,42.950325996,50.567882855,50.92490375,10.889790688,19.989198278,22.91858685,4.903613106,160.5024207,6.70157936,17.064474144,116.7713155,69.70786656,6.948636144,28.766572272,15.891716295,96.7357517,15.168184272,66.980555876,21.022913828,14.808406826,110.336431248,15.159339752,87.37655869,22.46207105,32.102619744,7.881524805,43.495237184,19.609016072,54.15326797
