,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JD,JM,L,M,MA,NI,P,PP,RB,RM,RU,SR,TA,V,Y,ZC,ZN
2018-01-02,7.552250126,35.842712886,132.04732261,36.25524375,9.1970372,17.230394678,27.1186193,6.643744528,340.66979466,13.08313662,29.209626836,114.6899717,65.40839848,11.060287576,25.136138712,22.57633896,44.195028924,20.042033066,64.857575628,21.661562172,20.909527199,108.534716672,19.08610502,68.4976054,42.95383236,45.174955604,8.825781685,38.656048544,25.012587,109.87451477
2018-01-03,7.516546134,34.7093274,130.77558682,38.6438857,9.26662016,18.137324248,27.490704725,7.091137518,333.92230332,12.893195404,28.439105984,111.3829544,70.96506428,11.338442224,28.90734816,21.58713195,45.182301068,19.756904632,63.368253664,20.56183644,19.788014979,107.244968954,19.400264132,69.18019871,43.2180173,45.341521264,8.94455741,39.177272536,23.527904,114.51228934
2018-01-04,7.62901275,35.31540375,129.92647492,38.66189465,9.682117856,18.008729242,27.6483193,6.872378336,339.82205568,12.80934616,28.767901208,117.4079536,85.2335606,11.178904472,29.887638912,21.3464871,45.058144736,20.75976633,63.857154416,20.797286772,19.812686371,112.952591196,19.758338472,72.57539158,42.4161818,52.99217034,9.311223645,38.166730976,24.474199968,119.00488028
2018-01-05,7.569529228,34.679319348,129.45525854,39.5707442,10.109170576,18.411253122,28.6931637,6.721240146,328.5442608,12.815839764,30.761840256,116.7980662,75.12186968,11.319371288,27.127243152,21.25122484,45.979560792,19.842495872,61.990818044,20.452783056,19.655528561,118.97266568,19.69954332,72.45044429,40.70120726,51.73542964,9.2244565,37.822022224,23.938667824,125.16800934
2018-01-08,7.600574422,35.37162582,123.016069365,39.24874745,10.31379508,18.880288212,28.7164508,6.658159184,319.53551406,15.736590688,30.936312008,128.2693225,75.26029236,11.883746712,32.865107592,20.94883273,45.25420345,24.336391458,59.670639236,20.825099364,19.879260243,118.605524406,19.047492552,73.35863891,40.65174306,57.32826134,9.288709405,40.19708174,22.3274334,124.7764493
2018-01-09,7.836249122,36.081740706,122.31511805,40.40724905,10.621889184,17.617595168,29.44623485,6.48491478,324.0617087,15.974231412,29.50761312,133.0490773,68.44308532,11.793734088,30.833614464,21.007322995,45.943458096,23.125395124,62.912841696,21.335817348,19.344287854,112.163499122,19.466128944,73.03835715,41.244855,58.283014392,9.38334691,40.630620972,21.62931076,132.22969027
2018-01-10,7.87810534,37.383918072,121.419434745,41.50838735,11.237892824,18.19750839,28.70595115,6.423905176,314.96971798,16.443227868,29.397600192,133.5888167,73.20939256,11.953228824,31.515051504,21.365870645,46.236562004,23.403569818,66.693831272,21.771887152,20.6730228,116.121109566,20.587973244,72.08567143,39.99875018,56.422906464,9.20981554,40.779192176,23.66176036,124.61756632
2018-01-11,7.823869178,37.746818424,124.81496005,42.0500379,10.999708016,18.001673262,29.4367014,6.382623248,316.26374313,15.177856808,28.39009348,130.1243327,67.61971088,11.83377836,33.267045888,22.550124315,46.84020496,23.420693924,68.0997023,21.40949762,21.024719783,112.62170103,21.012412028,71.40019943,39.73910946,57.266782964,9.16454809,40.74634504,22.944510736,127.2791665
2018-01-12,7.868520464,38.175882162,118.419959285,42.75085745,11.133003264,18.051770936,35.04781765,6.17753648,307.12903976,15.087388756,28.588150144,123.5501036,66.97083072,11.712016752,32.194300512,24.672454755,46.818410738,21.66893718,61.393468136,22.039905456,22.444346828,116.581285126,21.355964796,72.69136388,39.68656372,57.158758784,9.40870932,41.100243548,23.285268192,133.97858833
2018-01-15,7.715992198,39.83131272,110.82779038,42.8129454,11.988400576,18.749025416,30.0218225,6.31369333,306.96459713,14.404595036,26.90375062,117.8971484,67.25783468,11.66035152,30.546238944,22.943529155,47.195515296,21.026269664,57.975025432,21.485117588,20.723045659,120.81385964,19.865847488,70.08525486,35.1474481,53.92909934,8.7364058,40.793097432,22.803555232,133.13710237
