,排名前五,排名后五
5日收益,"豆粕,菜粕,鸡蛋,焦炭,PVC","PTA,沪锌,铁矿石,动力煤,沥青"
5日资金流向,"豆粕,铁矿石,豆油,豆一,天胶","棕榈油,沪镍,焦炭,沪铜,焦煤"
5日资金流向变化率,"豆一,豆粕,铁矿石,豆油,棉花","沪镍,棕榈油,鸡蛋,玻璃,焦煤"
20日收益,"豆粕,菜粕,豆一,甲醇,PVC","螺纹钢,动力煤,焦炭,铁矿石,天胶"
20日资金流向,"豆粕,铁矿石,豆油,棉花,豆一","沪锌,沪镍,螺纹钢,沪铝,沪铜"
20日资金流向变化率,"豆一,棉花,豆粕,豆油,铁矿石","热卷,鸡蛋,沪铝,淀粉,玻璃"
