,commodity_name,passive_flow,active_flow,flow
0,A,-0.04,-0.23,-0.27
1,AG,0.15,-0.34,-0.19
2,AL,0.2,-1.3,-1.1
3,AU,-0.07,-0.36,-0.43
4,BU,-0.01,0.13,0.12
5,C,-0.13,-0.16,-0.29
6,CF,-0.01,-0.33,-0.34
7,CS,-0.03,0.31,0.28
8,CU,1.06,-4.17,-3.11
9,FG,-0.08,-0.37,-0.45
10,HC,0.31,0.15,0.46
11,I,0.84,-1.12,-0.28
12,J,0.18,3.35,3.53
13,JD,0.02,-0.07,-0.05
14,JM,0.17,-1.2,-1.03
15,L,0.23,-0.56,-0.33
16,M,-0.74,0.72,-0.02
17,MA,-0.05,0.2,0.15
18,NI,0.49,-1.37,-0.88
19,OI,-0.08,0.16,0.08
20,P,-0.12,0.16,0.04
21,PP,0.2,-0.55,-0.35
22,RB,2.25,-5.03,-2.78
23,RM,-0.18,0.37,0.19
24,RU,1.11,-0.82,0.29
25,SR,-0.03,-0.22,-0.25
26,T,0.0,0.0,0.0
27,TA,-0.19,0.6,0.41
28,TF,0.0,0.0,0.0
29,V,0.03,-0.18,-0.15
30,Y,-0.36,1.64,1.28
31,ZC,-0.05,0.13,0.08
32,ZN,0.34,-1.62,-1.28
