,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
MA801,long_1,null,3.5%,1,0,60%,long_1
AU1712,long_1,bottom deviate,null,0,0,59%,long_1
CF801,long_1,null,0.1%,0,0,54%,null
AG1712,long_1,bottom deviate,null,0,0,53%,null
RU1801,long_1,bottom deviate,22.2%,0,0,53%,long_1
ZC801,long_1,null,-0.3%,0,0,50%,long_1
Y1801,long_1,null,-0.8%,0,0,45%,null
NI1801,long_1,top deviate,0.5%,0,0,42%,long_1
P1801,long_1,bottom deviate,-1.6%,0,0,33%,null
OI801,long_1,null,3.5%,1,0,30%,long_1
CS1801,long_1,null,-11.8%,0,0,0%,long_2
HC1801,long_1,null,-0.7%,0,0,0%,long_1
J1801,long_2,top deviate,-1.4%,0,1,17%,long_2
ZN1711,long_3,null,-1.7%,0,0,50%,long_3
AL1711,long_3,null,1.7%,0,0,33%,null
I1801,long_3,null,-7.9%,0,0,33%,long_3
JM1801,long_3,top deviate,-0.4%,0,0,25%,long_3
FG801,long_3,null,-5.3%,0,0,0%,long_3
JD1801,long_3,death cross,null,0,0,0%,long_2
SN1710,short_1,null,null,0,0,67%,null
A1801,short_1,null,-1.9%,0,0,53%,short_1
M1801,short_3,null,-3.3%,0,0,35%,null
RM801,short_3,null,-9.4%,0,0,25%,null
