,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
ZN1711,多头_1,null,-1.9%,0,0,57%,long_1
CU1711,多头_1,null,-0.1%,0,0,56%,null
M1801,多头_1,null,-4.6%,0,0,47%,long_1
P1801,多头_2,null,-1.5%,0,0,67%,null
AL1711,多头_2,null,1.1%,0,0,57%,null
MA801,多头_2,null,-1.0%,0,1,40%,short_1
SN1711,空头_1,null,-6.5%,0,0,64%,null
SR801,空头_1,null,-6.5%,0,0,64%,short_1
AU1712,空头_1,null,null,0,0,59%,null
L1801,空头_1,null,1.3%,0,0,56%,short_1
TA801,空头_1,null,0.2%,0,0,56%,null
Y1801,空头_1,kd金叉,1.9%,0,0,55%,short_1
RU1801,空头_1,null,19.0%,0,0,53%,short_1
C1801,空头_1,null,0.2%,0,0,50%,null
CS1801,空头_1,null,-10.9%,0,0,50%,null
OI801,空头_1,null,-2.4%,0,0,50%,short_1
ZC801,空头_1,null,-13.0%,1,0,50%,long_2
CF801,空头_1,null,-5.9%,0,0,46%,short_1
V1801,空头_1,null,null,0,0,38%,short_1
I1801,空头_1,null,-11.8%,0,0,33%,short_1
FG801,空头_1,kd金叉,-10.1%,0,0,25%,short_1
JM1801,空头_1,null,-22.3%,0,0,25%,short_1
A1801,空头_2,null,-1.6%,0,0,47%,short_2
