,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
FG805,long_1,null,null,-6.9%,h5>h60|today,75%,long_1
RB1805,long_1,null,null,-10.6%,h5>h60,75%,long_1
MA801,long_1,null,null,-6.8%,h5>h60,67%,long_2
TA805,long_1,null,null,-0.8%,h5>h60,60%,long_1
RM801,long_1,null,gold cross,-0.7%,h5>h60|today,50%,long_1
M1805,long_1,null,gold cross,-5.9%,h5>h60|today,47%,long_1
BU1806,long_1,null,null,5.7%,h5>h60,33%,long_1
I1805,long_1,null,null,3.9%,h5>h60,33%,long_1
JM1805,long_1,null,null,11.7%,h5>h60,25%,long_1
J1805,long_1,null,death cross,12.8%,h5>h60,17%,long_1
HC1805,long_1,null,null,-3.3%,h5>h60,100%,long_1
JD1801,long_1,null,null,null,h5>h60,0%,long_1
ZC801,long_1,null,death cross,-1.8%,h5>h60,0%,long_1
ZN1801,long_2,m30,null,-1.2%,h5>h60|today,38%,long_2
PP1801,long_2,null,null,-0.2%,h5>h60|today,33%,null
L1805,short_1,null,null,-2.5%,h5<h60,70%,short_1
P1805,short_1,null,null,2.2%,h5>h60,67%,short_1
AL1801,short_1,null,null,-0.3%,h5<h60|today,62%,short_1
NI1805,short_1,null,null,-0.2%,null,62%,short_1
IC,short_1,null,null,0.5%,h5<h60,57%,short_1
IF,short_1,null,null,0.4%,h5<h60,53%,short_1
T,short_1,null,null,null,h5<h60|today,50%,null
TF,short_1,null,null,null,h5>h60,25%,short_1
