,Trend Level,KDJ,Contango,Seasonal,Last Trend
CU1710,long_1,null,-0.3%,64%,long_1
MA801,long_1,death cross,6.38%,60%,long_1
AU1712,long_1,gold cross,null,59%,long_1
RU1801,long_1,gold cross,21.95%,53%,long_2
ZC801,long_1,null,0.71%,50%,long_1
L1801,long_1,null,3.64%,44%,long_1
V1801,long_1,bottom deviate,null,38%,long_1
NI1801,long_1,top deviate,1.04%,33%,long_1
PP1801,long_1,death cross,4.28%,33%,long_1
TA801,long_1,death cross,2.43%,33%,long_1
AL1710,long_1,death cross,1.98%,25%,long_1
RB1801,long_1,bottom deviate,-4.87%,13%,long_1
HC1801,long_1,null,-0.79%,0%,long_1
ZN1710,long_2,top deviate,-0.91%,50%,long_2
OI801,long_2,top deviate,4.06%,30%,long_2
JD1801,long_2,top deviate,null,0%,long_3
JM1801,long_3,null,8.77%,50%,long_2
I1801,long_3,null,-5.64%,33%,long_2
J1801,long_3,null,0.39%,33%,null
BU1712,long_3,null,7.76%,0%,long_3
FG801,long_3,null,-3.61%,0%,long_3
A1801,short_1,top deviate,-1.13%,47%,null
RM801,short_1,top deviate,-6.3%,25%,short_1
