,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
OI801,long_1,0.38,null,-1.0%,h5>h60,70%,long_1
SR801,long_1,0.53,null,-0.9%,h5<h60|today,64%,long_1
P1801,long_1,1.89,null,-0.8%,h5<h60|today,56%,null
ZN1712,long_1,1.66,death cross,-1.3%,h5>h60,42%,long_1
BU1712,long_1,1.97,null,7.1%,h5<h60|today,33%,long_1
NI1801,long_1,0.0,null,-0.5%,h5>h60,33%,long_2
M1801,long_2,1.89,null,-4.7%,null,47%,null
CU1712,long_2,2.58,null,-0.3%,null,43%,long_2
RM801,short_1,0.36,null,-4.4%,h5<h60,75%,short_1
HC1801,short_1,1.22,null,-1.8%,h5<h60,67%,short_1
L1801,short_1,1.69,null,1.1%,h5<h60,60%,short_1
A1801,short_1,0.36,null,-1.9%,h5>h60|today,59%,short_1
AU1712,short_1,0.04,null,null,h5<h60,59%,short_1
AL1712,short_1,0.44,null,1.3%,h5<h60,57%,short_1
TA801,short_1,1.13,null,0.2%,null,50%,short_1
ZC801,short_1,1.05,null,-14.1%,h5<h60,50%,short_1
V1801,short_1,1.44,null,null,h5<h60,38%,short_1
PP1801,short_1,1.59,null,1.4%,h5<h60,33%,short_1
