,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
SR801,long_1,0.31,death cross,-3.2%,h5>h60,73%,long_1
OI801,long_1,0.0,null,-2.9%,h5>h60,60%,long_1
P1801,long_1,1.03,null,-1.8%,h5>h60,56%,long_1
ZN1712,long_1,2.34,null,-1.9%,h5>h60|today,50%,long_1
BU1712,long_1,0.0,null,1.5%,h5>h60,33%,long_1
FG801,short_1,0.08,null,-6.3%,h5<h60,75%,short_1
AL1712,short_1,1.18,null,2.5%,h5<h60|today,57%,short_1
C1801,short_1,-0.0,null,-2.4%,h5<h60,50%,short_1
CS1801,short_1,0.15,null,-14.7%,h5<h60|today,50%,null
L1801,short_1,-0.0,null,2.7%,h5<h60,50%,short_1
AG1712,short_1,0.16,null,null,h5<h60,47%,short_1
RU1801,short_1,0.34,null,18.9%,h5<h60,47%,short_1
A1801,short_1,-0.0,gold cross,-0.5%,h5<h60,41%,short_1
AU1712,short_1,0.13,null,null,h5<h60,41%,short_1
MA801,short_1,-0.0,null,-0.7%,h5<h60,40%,short_1
CF801,short_1,0.13,null,-6.6%,null,38%,short_1
RB1801,short_1,1.39,null,-7.8%,h5<h60,38%,short_1
HC1801,short_1,0.31,null,-1.8%,h5<h60,33%,short_1
I1801,short_1,-0.0,null,-7.9%,h5<h60,33%,short_1
J1801,short_1,0.42,null,-17.5%,null,33%,short_1
PP1801,short_1,-0.0,null,3.9%,h5<h60,33%,short_1
JM1801,short_1,2.13,null,-16.0%,null,25%,short_1
