,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
ZN1711,long_1,bottom deviate,-2.6%,0,0,50%,long_1
M1801,long_1,death cross,-5.2%,1,0,41%,long_1
ZC801,long_2,top deviate,-10.1%,0,1,50%,long_2
SR801,short_1,death cross,-6.8%,0,0,64%,short_1
RU1801,short_1,death cross,11.2%,0,0,59%,short_1
Y1801,short_1,null,-0.8%,0,0,55%,short_1
CF801,short_1,death cross,-5.8%,0,0,54%,null
L1801,short_1,bottom deviate,0.3%,0,0,50%,short_1
NI1801,short_1,null,-2.4%,0,0,50%,short_1
OI801,short_1,null,-3.6%,0,0,50%,short_1
AG1712,short_1,bottom deviate,null,1,0,41%,short_1
MA801,short_1,bottom deviate,-3.1%,0,0,40%,short_1
RB1801,short_1,bottom deviate,-9.0%,1,1,38%,short_1
I1801,short_1,bottom deviate,-15.0%,0,0,33%,short_1
J1801,short_1,null,-20.5%,0,0,33%,short_1
PP1801,short_1,bottom deviate,0.9%,1,0,33%,null
FG801,short_1,death cross,-10.0%,0,0,25%,short_1
JM1801,short_1,null,-22.7%,0,0,25%,short_1
V1801,short_1,bottom deviate,null,0,0,25%,short_1
A1801,short_2,bottom deviate,-1.7%,0,0,47%,null
