,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
ZN1712,多头_1,kd死叉,-0.8%,null,50%,null
CU1711,多头_1,null,1.3%,null,43%,多头_1
P1801,多头_2,kd金叉,-0.7%,h5<h60|today,67%,null
RM801,多头_2,null,-5.3%,null,25%,多头_1
SR801,空头_1,null,-7.3%,null,73%,空头_1
Y1801,空头_1,null,2.1%,h5<h60|today,64%,空头_1
AL1712,空头_1,null,3.2%,null,57%,null
TA801,空头_1,null,0.1%,h5<h60|today,56%,空头_1
CF801,空头_1,null,-6.0%,h5<h60|today,54%,null
C1801,空头_1,null,-0.9%,h5<h60|today,50%,空头_1
CS1801,空头_1,null,-12.2%,h5<h60|today,50%,空头_1
L1801,空头_1,null,2.5%,h5<h60|today,50%,空头_1
OI801,空头_1,null,-2.8%,h5<h60|today,50%,空头_1
ZC801,空头_1,null,-14.6%,h5<h60|today,50%,空头_1
RU1801,空头_1,null,19.1%,h5<h60|today,47%,空头_1
AU1712,空头_1,null,null,h5<h60|today,41%,空头_2
I1801,空头_1,kd金叉,-13.9%,null,33%,空头_1
J1801,空头_1,null,-21.6%,h5<h60|today,33%,空头_1
PP1801,空头_1,null,3.0%,null,33%,多头_1
JM1801,空头_1,null,-25.3%,h5<h60|today,25%,空头_1
V1801,空头_1,null,null,h5<h60|today,25%,空头_1
RB1801,空头_2,kd死叉,-9.9%,h5<h60|today,38%,空头_1
HC1801,空头_2,null,-2.0%,h5<h60|today,33%,null
