,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
FG805,long_1,null,null,-6.9%,null,75%,long_1
RB1805,long_1,null,null,-10.6%,h5>h60,75%,long_1
TA805,long_1,null,null,-0.8%,h5>h60|today,60%,null
RM801,long_1,null,null,-0.7%,h5<h60,50%,long_1
M1805,long_1,null,null,-5.9%,h5<h60,47%,long_1
BU1806,long_1,null,null,5.7%,h5>h60|today,33%,long_2
I1805,long_1,null,null,3.9%,h5>h60,33%,long_1
JM1805,long_1,null,null,11.7%,h5>h60,25%,long_1
J1805,long_1,null,null,12.8%,h5>h60,17%,long_1
HC1805,long_1,null,null,-3.3%,h5>h60,100%,long_1
JD1801,long_1,null,null,null,h5>h60,0%,long_1
ZC801,long_1,null,null,-1.8%,h5>h60,0%,long_1
MA801,long_2,null,gold cross,-6.8%,h5>h60|today,67%,long_2
ZN1801,long_2,null,gold cross,-1.2%,null,38%,long_2
L1805,short_1,null,null,-2.5%,h5<h60,70%,short_1
P1805,short_1,null,null,2.2%,h5>h60|today,67%,short_1
AL1801,short_1,null,null,-0.3%,h5<h60|today,62%,null
NI1805,short_1,null,null,-0.2%,h5<h60,62%,short_1
IC,short_1,null,null,0.5%,h5<h60,57%,short_1
CU1801,short_1,null,null,-0.6%,h5<h60,56%,short_1
IF,short_1,null,null,0.4%,h5<h60,53%,short_1
T,short_1,null,null,null,h5<h60|today,50%,null
V1805,short_1,null,gold cross,1.5%,null,50%,short_1
TF,short_1,null,null,null,h5>h60,25%,short_1
CS1801,short_1,null,null,-7.1%,h5<h60,100%,short_1
