,Level,KDJ,Contango,hm_down,hm_up,Seasonal,Last Level
CU1710,long_1,death cross,0.3%,0.0,0.0,64%,long_1
MA801,long_1,null,5.2%,0.0,0.0,60%,long_1
AU1712,long_1,null,null,0.0,0.0,59%,long_1
RU1801,long_1,null,22.3%,0.0,0.0,53%,long_1
ZC801,long_1,bottom deviate,0.5%,0.0,0.0,50%,long_1
L1801,long_1,null,3.0%,0.0,0.0,44%,long_1
V1801,long_1,death cross,null,0.0,0.0,38%,long_1
NI1801,long_1,null,1.3%,0.0,0.0,33%,long_1
PP1801,long_1,null,3.2%,0.0,0.0,33%,long_1
OI801,long_1,death cross,3.9%,0.0,0.0,30%,long_2
RB1801,long_1,death cross,-4.2%,0.0,0.0,13%,long_1
HC1801,long_1,death cross,1.1%,0.0,0.0,0%,long_1
J1801,long_2,top deviate,-2.5%,0.0,0.0,33%,long_3
CS1801,long_2,bottom deviate,-11.4%,0.0,0.0,0%,long_2
JD1801,long_2,gold cross,null,0.0,0.0,0%,long_2
JM1801,long_3,null,8.4%,1.0,0.0,50%,long_2
ZN1711,long_3,death cross,-1.6%,1.0,0.0,50%,null
I1801,long_3,null,-6.4%,0.0,0.0,33%,long_2
BU1712,long_3,top deviate,5.2%,0.0,0.0,0%,long_3
FG801,long_3,null,-4.5%,0.0,0.0,0%,long_3
A1801,short_1,null,-1.3%,0.0,0.0,41%,short_1
