,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
CF801,long_1,death cross,-1.3%,1,0,62%,long_1
AU1712,long_1,null,null,0,1,59%,long_1
AG1712,long_1,null,null,0,1,53%,long_1
ZC801,long_1,null,-0.7%,0,0,50%,long_1
J1801,long_2,gold cross,1.0%,0,0,33%,long_2
JM1801,long_2,top deviate,1.1%,0,0,25%,long_3
ZN1711,long_3,null,-0.7%,0,0,50%,long_3
AL1711,long_3,null,2.3%,0,0,42%,long_3
I1801,long_3,null,-7.9%,0,0,33%,long_3
FG801,long_3,null,-5.9%,0,0,0%,long_3
JD1801,long_3,null,null,0,0,0%,long_3
SN1710,short_1,null,null,0,0,67%,short_1
SR801,short_1,null,-6.3%,0,0,55%,null
A1801,short_1,top deviate,-1.6%,0,0,53%,short_1
BU1712,short_1,null,2.8%,0,0,0%,null
C1801,short_2,death cross,0.6%,1,0,50%,null
M1801,short_2,bottom deviate,-3.0%,0,0,35%,short_3
RM801,short_2,bottom deviate,-9.3%,0,0,25%,short_3
