,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
C1801,long_1,bottom deviate,1.9%,0,0,57%,null
TA801,long_1,null,1.9%,0,1,56%,long_1
ZN1711,long_1,gold cross,-1.8%,0,0,50%,null
CF801,long_1,null,-3.6%,0,0,46%,null
PP1801,long_2,gold cross,2.1%,0,0,33%,null
JD1801,short_1,bottom deviate,null,1,0,67%,null
SR801,short_1,bottom deviate,-5.7%,0,1,64%,short_1
CU1711,short_1,gold cross,1.1%,0,0,56%,null
Y1801,short_1,null,-2.5%,0,0,55%,null
AG1712,short_1,null,null,0,0,53%,short_1
RU1801,short_1,top deviate,21.5%,0,0,53%,short_1
L1801,short_1,top deviate,1.8%,0,0,50%,null
OI801,short_1,null,-3.7%,0,0,50%,null
I1801,short_1,top deviate,-15.9%,0,0,33%,short_1
JM1801,short_1,null,-21.2%,0,0,25%,short_1
RB1801,short_1,top deviate,-10.0%,0,0,25%,null
V1801,short_1,top deviate,null,0,0,25%,short_1
