,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
TA801,long_1,bottom deviate,0.2%,0,0,56%,long_1
C1801,long_1,bottom deviate,1.9%,0,0,50%,long_1
CS1801,long_1,null,-9.9%,0,0,50%,long_1
ZN1711,long_1,null,-2.8%,0,0,50%,long_1
M1801,long_1,bottom deviate,-4.9%,0,0,35%,long_1
RM801,long_1,bottom deviate,-5.2%,0,0,25%,long_1
P1801,long_2,top deviate,-0.9%,0,0,67%,null
AU1712,long_2,bottom deviate,null,0,0,59%,long_2
ZC801,long_2,top deviate,-10.5%,0,0,50%,null
SR801,short_1,bottom deviate,-7.4%,0,0,64%,short_1
Y1801,short_1,null,0.4%,0,0,55%,short_1
RU1801,short_1,gold cross,19.8%,0,0,53%,short_1
L1801,short_1,bottom deviate,1.7%,0,0,50%,short_1
NI1801,short_1,top deviate,-0.7%,0,0,50%,short_1
OI801,short_1,null,-2.4%,0,0,50%,short_1
AG1712,short_1,bottom deviate,null,1,0,47%,short_1
MA801,short_1,gold cross,-1.3%,0,0,40%,short_1
I1801,short_1,gold cross,-11.6%,0,0,33%,short_1
J1801,short_1,null,-17.1%,0,0,33%,short_1
FG801,short_1,gold cross,-9.5%,0,0,25%,short_1
JM1801,short_1,top deviate,-20.2%,0,0,25%,short_1
RB1801,short_1,null,-8.1%,0,0,25%,short_1
V1801,short_1,bottom deviate,null,0,0,25%,short_1
JD1801,short_2,bottom deviate,null,1,0,67%,short_1
