,IF.CFE
2013-11-26,IF1312.CFE
2013-11-27,IF1312.CFE
2013-11-28,IF1312.CFE
2013-11-29,IF1312.CFE
2013-12-02,IF1312.CFE
2013-12-03,IF1312.CFE
2013-12-04,IF1312.CFE
2013-12-05,IF1312.CFE
2013-12-06,IF1312.CFE
2013-12-09,IF1312.CFE
2013-12-10,IF1312.CFE
2013-12-11,IF1312.CFE
2013-12-12,IF1312.CFE
2013-12-13,IF1312.CFE
2013-12-16,IF1312.CFE
2013-12-17,IF1312.CFE
2013-12-18,IF1312.CFE
2013-12-19,IF1312.CFE
2013-12-20,IF1401.CFE
2013-12-23,IF1401.CFE
2013-12-24,IF1401.CFE
2013-12-25,IF1401.CFE
2013-12-26,IF1401.CFE
2013-12-27,IF1401.CFE
2013-12-30,IF1401.CFE
2013-12-31,IF1401.CFE
2014-01-02,IF1401.CFE
2014-01-03,IF1401.CFE
2014-01-06,IF1401.CFE
2014-01-07,IF1401.CFE
2014-01-08,IF1401.CFE
2014-01-09,IF1401.CFE
2014-01-10,IF1401.CFE
2014-01-13,IF1401.CFE
2014-01-14,IF1401.CFE
2014-01-15,IF1401.CFE
2014-01-16,IF1401.CFE
2014-01-17,IF1401.CFE
2014-01-20,IF1402.CFE
2014-01-21,IF1402.CFE
2014-01-22,IF1402.CFE
2014-01-23,IF1402.CFE
2014-01-24,IF1402.CFE
2014-01-27,IF1402.CFE
2014-01-28,IF1402.CFE
2014-01-29,IF1402.CFE
2014-01-30,IF1402.CFE
2014-02-07,IF1402.CFE
2014-02-10,IF1402.CFE
2014-02-11,IF1402.CFE
2014-02-12,IF1402.CFE
2014-02-13,IF1402.CFE
2014-02-14,IF1402.CFE
2014-02-17,IF1402.CFE
2014-02-18,IF1402.CFE
2014-02-19,IF1403.CFE
2014-02-20,IF1403.CFE
2014-02-21,IF1403.CFE
2014-02-24,IF1403.CFE
2014-02-25,IF1403.CFE
2014-02-26,IF1403.CFE
2014-02-27,IF1403.CFE
2014-02-28,IF1403.CFE
2014-03-03,IF1403.CFE
2014-03-04,IF1403.CFE
2014-03-05,IF1403.CFE
2014-03-06,IF1403.CFE
2014-03-07,IF1403.CFE
2014-03-10,IF1403.CFE
2014-03-11,IF1403.CFE
2014-03-12,IF1403.CFE
2014-03-13,IF1403.CFE
2014-03-14,IF1403.CFE
2014-03-17,IF1403.CFE
2014-03-18,IF1403.CFE
2014-03-19,IF1403.CFE
2014-03-20,IF1403.CFE
2014-03-21,IF1404.CFE
2014-03-24,IF1404.CFE
2014-03-25,IF1404.CFE
2014-03-26,IF1404.CFE
2014-03-27,IF1404.CFE
2014-03-28,IF1404.CFE
2014-03-31,IF1404.CFE
2014-04-01,IF1404.CFE
2014-04-02,IF1404.CFE
2014-04-03,IF1404.CFE
2014-04-04,IF1404.CFE
2014-04-08,IF1404.CFE
2014-04-09,IF1404.CFE
2014-04-10,IF1404.CFE
2014-04-11,IF1404.CFE
2014-04-14,IF1404.CFE
2014-04-15,IF1404.CFE
2014-04-16,IF1404.CFE
2014-04-17,IF1404.CFE
2014-04-18,IF1404.CFE
2014-04-21,IF1405.CFE
2014-04-22,IF1405.CFE
2014-04-23,IF1405.CFE
2014-04-24,IF1405.CFE
2014-04-25,IF1405.CFE
2014-04-28,IF1405.CFE
2014-04-29,IF1405.CFE
2014-04-30,IF1405.CFE
2014-05-05,IF1405.CFE
2014-05-06,IF1405.CFE
2014-05-07,IF1405.CFE
2014-05-08,IF1405.CFE
2014-05-09,IF1405.CFE
2014-05-12,IF1405.CFE
2014-05-13,IF1405.CFE
2014-05-14,IF1405.CFE
2014-05-15,IF1406.CFE
2014-05-16,IF1406.CFE
2014-05-19,IF1406.CFE
2014-05-20,IF1406.CFE
2014-05-21,IF1406.CFE
2014-05-22,IF1406.CFE
2014-05-23,IF1406.CFE
2014-05-26,IF1406.CFE
2014-05-27,IF1406.CFE
2014-05-28,IF1406.CFE
2014-05-29,IF1406.CFE
2014-05-30,IF1406.CFE
2014-06-03,IF1406.CFE
2014-06-04,IF1406.CFE
2014-06-05,IF1406.CFE
2014-06-06,IF1406.CFE
2014-06-09,IF1406.CFE
2014-06-10,IF1406.CFE
2014-06-11,IF1406.CFE
2014-06-12,IF1406.CFE
2014-06-13,IF1406.CFE
2014-06-16,IF1406.CFE
2014-06-17,IF1406.CFE
2014-06-18,IF1406.CFE
2014-06-19,IF1407.CFE
2014-06-20,IF1407.CFE
2014-06-23,IF1407.CFE
2014-06-24,IF1407.CFE
2014-06-25,IF1407.CFE
2014-06-26,IF1407.CFE
2014-06-27,IF1407.CFE
2014-06-30,IF1407.CFE
2014-07-01,IF1407.CFE
2014-07-02,IF1407.CFE
2014-07-03,IF1407.CFE
2014-07-04,IF1407.CFE
2014-07-07,IF1407.CFE
2014-07-08,IF1407.CFE
2014-07-09,IF1407.CFE
2014-07-10,IF1407.CFE
2014-07-11,IF1407.CFE
2014-07-14,IF1407.CFE
2014-07-15,IF1407.CFE
2014-07-16,IF1407.CFE
2014-07-17,IF1407.CFE
2014-07-18,IF1407.CFE
2014-07-21,IF1408.CFE
2014-07-22,IF1408.CFE
2014-07-23,IF1408.CFE
2014-07-24,IF1408.CFE
2014-07-25,IF1408.CFE
2014-07-28,IF1408.CFE
2014-07-29,IF1408.CFE
2014-07-30,IF1408.CFE
2014-07-31,IF1408.CFE
2014-08-01,IF1408.CFE
2014-08-04,IF1408.CFE
2014-08-05,IF1408.CFE
2014-08-06,IF1408.CFE
2014-08-07,IF1408.CFE
2014-08-08,IF1408.CFE
2014-08-11,IF1408.CFE
2014-08-12,IF1408.CFE
2014-08-13,IF1408.CFE
2014-08-14,IF1409.CFE
2014-08-15,IF1409.CFE
2014-08-18,IF1409.CFE
2014-08-19,IF1409.CFE
2014-08-20,IF1409.CFE
2014-08-21,IF1409.CFE
2014-08-22,IF1409.CFE
2014-08-25,IF1409.CFE
2014-08-26,IF1409.CFE
2014-08-27,IF1409.CFE
2014-08-28,IF1409.CFE
2014-08-29,IF1409.CFE
2014-09-01,IF1409.CFE
2014-09-02,IF1409.CFE
2014-09-03,IF1409.CFE
2014-09-04,IF1409.CFE
2014-09-05,IF1409.CFE
2014-09-09,IF1409.CFE
2014-09-10,IF1409.CFE
2014-09-11,IF1409.CFE
2014-09-12,IF1409.CFE
2014-09-15,IF1409.CFE
2014-09-16,IF1409.CFE
2014-09-17,IF1409.CFE
2014-09-18,IF1409.CFE
2014-09-19,IF1410.CFE
2014-09-22,IF1410.CFE
2014-09-23,IF1410.CFE
2014-09-24,IF1410.CFE
2014-09-25,IF1410.CFE
2014-09-26,IF1410.CFE
2014-09-29,IF1410.CFE
2014-09-30,IF1410.CFE
2014-10-08,IF1410.CFE
2014-10-09,IF1410.CFE
2014-10-10,IF1410.CFE
2014-10-13,IF1410.CFE
2014-10-14,IF1410.CFE
2014-10-15,IF1410.CFE
2014-10-16,IF1410.CFE
2014-10-17,IF1410.CFE
2014-10-20,IF1411.CFE
2014-10-21,IF1411.CFE
2014-10-22,IF1411.CFE
2014-10-23,IF1411.CFE
2014-10-24,IF1411.CFE
2014-10-27,IF1411.CFE
2014-10-28,IF1411.CFE
2014-10-29,IF1411.CFE
2014-10-30,IF1411.CFE
2014-10-31,IF1411.CFE
2014-11-03,IF1411.CFE
2014-11-04,IF1411.CFE
2014-11-05,IF1411.CFE
2014-11-06,IF1411.CFE
2014-11-07,IF1411.CFE
2014-11-10,IF1411.CFE
2014-11-11,IF1411.CFE
2014-11-12,IF1411.CFE
2014-11-13,IF1411.CFE
2014-11-14,IF1411.CFE
2014-11-17,IF1411.CFE
2014-11-18,IF1411.CFE
2014-11-19,IF1412.CFE
2014-11-20,IF1412.CFE
2014-11-21,IF1412.CFE
2014-11-24,IF1412.CFE
2014-11-25,IF1412.CFE
2014-11-26,IF1412.CFE
2014-11-27,IF1412.CFE
2014-11-28,IF1412.CFE
2014-12-01,IF1412.CFE
2014-12-02,IF1412.CFE
2014-12-03,IF1412.CFE
2014-12-04,IF1412.CFE
2014-12-05,IF1412.CFE
2014-12-08,IF1412.CFE
2014-12-09,IF1412.CFE
2014-12-10,IF1412.CFE
2014-12-11,IF1412.CFE
2014-12-12,IF1412.CFE
2014-12-15,IF1412.CFE
2014-12-16,IF1412.CFE
2014-12-17,IF1412.CFE
2014-12-18,IF1501.CFE
2014-12-19,IF1501.CFE
2014-12-22,IF1501.CFE
2014-12-23,IF1501.CFE
2014-12-24,IF1501.CFE
2014-12-25,IF1501.CFE
2014-12-26,IF1501.CFE
2014-12-29,IF1501.CFE
2014-12-30,IF1501.CFE
2014-12-31,IF1501.CFE
2015-01-05,IF1501.CFE
2015-01-06,IF1501.CFE
2015-01-07,IF1501.CFE
2015-01-08,IF1501.CFE
2015-01-09,IF1501.CFE
2015-01-12,IF1501.CFE
2015-01-13,IF1501.CFE
2015-01-14,IF1501.CFE
2015-01-15,IF1501.CFE
2015-01-16,IF1502.CFE
2015-01-19,IF1502.CFE
2015-01-20,IF1502.CFE
2015-01-21,IF1502.CFE
2015-01-22,IF1502.CFE
2015-01-23,IF1502.CFE
2015-01-26,IF1502.CFE
2015-01-27,IF1502.CFE
2015-01-28,IF1502.CFE
2015-01-29,IF1502.CFE
2015-01-30,IF1502.CFE
2015-02-02,IF1502.CFE
2015-02-03,IF1502.CFE
2015-02-04,IF1502.CFE
2015-02-05,IF1502.CFE
2015-02-06,IF1502.CFE
2015-02-09,IF1502.CFE
2015-02-10,IF1502.CFE
2015-02-11,IF1502.CFE
2015-02-12,IF1502.CFE
2015-02-13,IF1503.CFE
2015-02-16,IF1503.CFE
2015-02-17,IF1503.CFE
2015-02-25,IF1503.CFE
2015-02-26,IF1503.CFE
2015-02-27,IF1503.CFE
2015-03-02,IF1503.CFE
2015-03-03,IF1503.CFE
2015-03-04,IF1503.CFE
2015-03-05,IF1503.CFE
2015-03-06,IF1503.CFE
2015-03-09,IF1503.CFE
2015-03-10,IF1503.CFE
2015-03-11,IF1503.CFE
2015-03-12,IF1503.CFE
2015-03-13,IF1503.CFE
2015-03-16,IF1503.CFE
2015-03-17,IF1503.CFE
2015-03-18,IF1503.CFE
2015-03-19,IF1503.CFE
2015-03-20,IF1504.CFE
2015-03-23,IF1504.CFE
2015-03-24,IF1504.CFE
2015-03-25,IF1504.CFE
2015-03-26,IF1504.CFE
2015-03-27,IF1504.CFE
2015-03-30,IF1504.CFE
2015-03-31,IF1504.CFE
2015-04-01,IF1504.CFE
2015-04-02,IF1504.CFE
2015-04-03,IF1504.CFE
2015-04-07,IF1504.CFE
2015-04-08,IF1504.CFE
2015-04-09,IF1504.CFE
2015-04-10,IF1504.CFE
2015-04-13,IF1504.CFE
2015-04-14,IF1504.CFE
2015-04-15,IF1504.CFE
2015-04-16,IF1504.CFE
2015-04-17,IF1504.CFE
2015-04-20,IF1505.CFE
2015-04-21,IF1505.CFE
2015-04-22,IF1505.CFE
2015-04-23,IF1505.CFE
2015-04-24,IF1505.CFE
2015-04-27,IF1505.CFE
2015-04-28,IF1505.CFE
2015-04-29,IF1505.CFE
2015-04-30,IF1505.CFE
2015-05-04,IF1505.CFE
2015-05-05,IF1505.CFE
2015-05-06,IF1505.CFE
2015-05-07,IF1505.CFE
2015-05-08,IF1505.CFE
2015-05-11,IF1505.CFE
2015-05-12,IF1505.CFE
2015-05-13,IF1505.CFE
2015-05-14,IF1506.CFE
2015-05-15,IF1506.CFE
2015-05-18,IF1506.CFE
2015-05-19,IF1506.CFE
2015-05-20,IF1506.CFE
2015-05-21,IF1506.CFE
2015-05-22,IF1506.CFE
2015-05-25,IF1506.CFE
2015-05-26,IF1506.CFE
2015-05-27,IF1506.CFE
2015-05-28,IF1506.CFE
2015-05-29,IF1506.CFE
2015-06-01,IF1506.CFE
2015-06-02,IF1506.CFE
2015-06-03,IF1506.CFE
2015-06-04,IF1506.CFE
2015-06-05,IF1506.CFE
2015-06-08,IF1506.CFE
2015-06-09,IF1506.CFE
2015-06-10,IF1506.CFE
2015-06-11,IF1506.CFE
2015-06-12,IF1506.CFE
2015-06-15,IF1506.CFE
2015-06-16,IF1506.CFE
2015-06-17,IF1506.CFE
2015-06-18,IF1506.CFE
2015-06-19,IF1507.CFE
2015-06-23,IF1507.CFE
2015-06-24,IF1507.CFE
2015-06-25,IF1507.CFE
2015-06-26,IF1507.CFE
2015-06-29,IF1507.CFE
2015-06-30,IF1507.CFE
2015-07-01,IF1507.CFE
2015-07-02,IF1507.CFE
2015-07-03,IF1507.CFE
2015-07-06,IF1507.CFE
2015-07-07,IF1507.CFE
2015-07-08,IF1507.CFE
2015-07-09,IF1507.CFE
2015-07-10,IF1507.CFE
2015-07-13,IF1507.CFE
2015-07-14,IF1507.CFE
2015-07-15,IF1507.CFE
2015-07-16,IF1507.CFE
2015-07-17,IF1507.CFE
2015-07-20,IF1508.CFE
2015-07-21,IF1508.CFE
2015-07-22,IF1508.CFE
2015-07-23,IF1508.CFE
2015-07-24,IF1508.CFE
2015-07-27,IF1508.CFE
2015-07-28,IF1508.CFE
2015-07-29,IF1508.CFE
2015-07-30,IF1508.CFE
2015-07-31,IF1508.CFE
2015-08-03,IF1508.CFE
2015-08-04,IF1508.CFE
2015-08-05,IF1508.CFE
2015-08-06,IF1508.CFE
2015-08-07,IF1508.CFE
2015-08-10,IF1508.CFE
2015-08-11,IF1508.CFE
2015-08-12,IF1508.CFE
2015-08-13,IF1508.CFE
2015-08-14,IF1508.CFE
2015-08-17,IF1508.CFE
2015-08-18,IF1508.CFE
2015-08-19,IF1508.CFE
2015-08-20,IF1509.CFE
2015-08-21,IF1509.CFE
2015-08-24,IF1509.CFE
2015-08-25,IF1509.CFE
2015-08-26,IF1509.CFE
2015-08-27,IF1509.CFE
2015-08-28,IF1509.CFE
2015-08-31,IF1509.CFE
2015-09-01,IF1509.CFE
2015-09-02,IF1509.CFE
2015-09-07,IF1509.CFE
2015-09-08,IF1509.CFE
2015-09-09,IF1509.CFE
2015-09-10,IF1509.CFE
2015-09-11,IF1509.CFE
2015-09-14,IF1509.CFE
2015-09-15,IF1509.CFE
2015-09-16,IF1509.CFE
2015-09-17,IF1509.CFE
2015-09-18,IF1509.CFE
2015-09-21,IF1510.CFE
2015-09-22,IF1510.CFE
2015-09-23,IF1510.CFE
2015-09-24,IF1510.CFE
2015-09-25,IF1510.CFE
2015-09-28,IF1510.CFE
2015-09-29,IF1510.CFE
2015-09-30,IF1510.CFE
2015-10-08,IF1510.CFE
2015-10-09,IF1510.CFE
2015-10-12,IF1510.CFE
2015-10-13,IF1510.CFE
2015-10-14,IF1510.CFE
2015-10-15,IF1510.CFE
2015-10-16,IF1512.CFE
2015-10-19,IF1512.CFE
2015-10-20,IF1512.CFE
2015-10-21,IF1512.CFE
2015-10-22,IF1512.CFE
2015-10-23,IF1511.CFE
2015-10-26,IF1511.CFE
2015-10-27,IF1511.CFE
2015-10-28,IF1511.CFE
2015-10-29,IF1511.CFE
2015-10-30,IF1511.CFE
2015-11-02,IF1511.CFE
2015-11-03,IF1511.CFE
2015-11-04,IF1511.CFE
2015-11-05,IF1511.CFE
2015-11-06,IF1511.CFE
2015-11-09,IF1511.CFE
2015-11-10,IF1511.CFE
2015-11-11,IF1511.CFE
2015-11-12,IF1511.CFE
2015-11-13,IF1511.CFE
2015-11-16,IF1511.CFE
2015-11-17,IF1511.CFE
2015-11-18,IF1511.CFE
2015-11-19,IF1511.CFE
2015-11-20,IF1511.CFE
2015-11-23,IF1511.CFE
2015-11-24,IF1511.CFE
2015-11-25,IF1511.CFE
2015-11-26,IF1511.CFE
2015-11-27,IF1511.CFE
2015-11-30,IF1511.CFE
2015-12-01,IF1511.CFE
2015-12-02,IF1511.CFE
2015-12-03,IF1511.CFE
2015-12-04,IF1511.CFE
2015-12-07,IF1511.CFE
2015-12-08,IF1511.CFE
2015-12-09,IF1511.CFE
2015-12-10,IF1511.CFE
2015-12-11,IF1511.CFE
2015-12-14,IF1511.CFE
2015-12-15,IF1511.CFE
2015-12-16,IF1511.CFE
2015-12-17,IF1511.CFE
2015-12-18,IF1511.CFE
2015-12-21,IF1601.CFE
2015-12-22,IF1601.CFE
2015-12-23,IF1601.CFE
2015-12-24,IF1601.CFE
2015-12-25,IF1601.CFE
2015-12-28,IF1601.CFE
2015-12-29,IF1601.CFE
2015-12-30,IF1601.CFE
2015-12-31,IF1601.CFE
2016-01-04,IF1601.CFE
2016-01-05,IF1601.CFE
2016-01-06,IF1601.CFE
2016-01-07,IF1601.CFE
2016-01-08,IF1601.CFE
2016-01-11,IF1601.CFE
2016-01-12,IF1601.CFE
2016-01-13,IF1601.CFE
2016-01-14,IF1601.CFE
2016-01-15,IF1601.CFE
2016-01-18,IF1602.CFE
2016-01-19,IF1602.CFE
2016-01-20,IF1602.CFE
2016-01-21,IF1602.CFE
2016-01-22,IF1602.CFE
2016-01-25,IF1602.CFE
2016-01-26,IF1602.CFE
2016-01-27,IF1602.CFE
2016-01-28,IF1602.CFE
2016-01-29,IF1602.CFE
2016-02-01,IF1602.CFE
2016-02-02,IF1602.CFE
2016-02-03,IF1602.CFE
2016-02-04,IF1602.CFE
2016-02-05,IF1602.CFE
2016-02-15,IF1602.CFE
2016-02-16,IF1602.CFE
2016-02-17,IF1602.CFE
2016-02-18,IF1603.CFE
2016-02-19,IF1603.CFE
2016-02-22,IF1603.CFE
2016-02-23,IF1603.CFE
2016-02-24,IF1603.CFE
2016-02-25,IF1603.CFE
2016-02-26,IF1603.CFE
2016-02-29,IF1603.CFE
2016-03-01,IF1603.CFE
2016-03-02,IF1603.CFE
2016-03-03,IF1603.CFE
2016-03-04,IF1603.CFE
2016-03-07,IF1603.CFE
2016-03-08,IF1603.CFE
2016-03-09,IF1603.CFE
2016-03-10,IF1603.CFE
2016-03-11,IF1603.CFE
2016-03-14,IF1603.CFE
2016-03-15,IF1603.CFE
2016-03-16,IF1603.CFE
2016-03-17,IF1603.CFE
2016-03-18,IF1603.CFE
2016-03-21,IF1604.CFE
2016-03-22,IF1604.CFE
2016-03-23,IF1604.CFE
2016-03-24,IF1604.CFE
2016-03-25,IF1604.CFE
2016-03-28,IF1604.CFE
2016-03-29,IF1604.CFE
2016-03-30,IF1604.CFE
2016-03-31,IF1604.CFE
2016-04-01,IF1604.CFE
2016-04-05,IF1604.CFE
2016-04-06,IF1604.CFE
2016-04-07,IF1604.CFE
2016-04-08,IF1604.CFE
2016-04-11,IF1604.CFE
2016-04-12,IF1604.CFE
2016-04-13,IF1604.CFE
2016-04-14,IF1604.CFE
2016-04-15,IF1604.CFE
2016-04-18,IF1605.CFE
2016-04-19,IF1605.CFE
2016-04-20,IF1605.CFE
2016-04-21,IF1605.CFE
2016-04-22,IF1605.CFE
2016-04-25,IF1605.CFE
2016-04-26,IF1605.CFE
2016-04-27,IF1605.CFE
2016-04-28,IF1605.CFE
2016-04-29,IF1605.CFE
2016-05-03,IF1605.CFE
2016-05-04,IF1605.CFE
2016-05-05,IF1605.CFE
2016-05-06,IF1605.CFE
2016-05-09,IF1605.CFE
2016-05-10,IF1605.CFE
2016-05-11,IF1605.CFE
2016-05-12,IF1605.CFE
2016-05-13,IF1605.CFE
2016-05-16,IF1605.CFE
2016-05-17,IF1605.CFE
2016-05-18,IF1605.CFE
2016-05-19,IF1606.CFE
2016-05-20,IF1606.CFE
2016-05-23,IF1606.CFE
2016-05-24,IF1606.CFE
2016-05-25,IF1606.CFE
2016-05-26,IF1606.CFE
2016-05-27,IF1606.CFE
2016-05-30,IF1606.CFE
2016-05-31,IF1606.CFE
2016-06-01,IF1606.CFE
2016-06-02,IF1606.CFE
2016-06-03,IF1606.CFE
2016-06-06,IF1606.CFE
2016-06-07,IF1606.CFE
2016-06-08,IF1606.CFE
2016-06-13,IF1606.CFE
2016-06-14,IF1606.CFE
2016-06-15,IF1606.CFE
2016-06-16,IF1606.CFE
2016-06-17,IF1607.CFE
2016-06-20,IF1607.CFE
2016-06-21,IF1607.CFE
2016-06-22,IF1607.CFE
2016-06-23,IF1607.CFE
2016-06-24,IF1607.CFE
2016-06-27,IF1607.CFE
2016-06-28,IF1607.CFE
2016-06-29,IF1607.CFE
2016-06-30,IF1607.CFE
2016-07-01,IF1607.CFE
2016-07-04,IF1607.CFE
2016-07-05,IF1607.CFE
2016-07-06,IF1607.CFE
2016-07-07,IF1607.CFE
2016-07-08,IF1607.CFE
2016-07-11,IF1607.CFE
2016-07-12,IF1607.CFE
2016-07-13,IF1607.CFE
2016-07-14,IF1607.CFE
2016-07-15,IF1608.CFE
2016-07-18,IF1608.CFE
2016-07-19,IF1608.CFE
2016-07-20,IF1608.CFE
2016-07-21,IF1608.CFE
2016-07-22,IF1608.CFE
2016-07-25,IF1608.CFE
2016-07-26,IF1608.CFE
2016-07-27,IF1608.CFE
2016-07-28,IF1608.CFE
2016-07-29,IF1608.CFE
2016-08-01,IF1608.CFE
2016-08-02,IF1608.CFE
2016-08-03,IF1608.CFE
2016-08-04,IF1608.CFE
2016-08-05,IF1608.CFE
2016-08-08,IF1608.CFE
2016-08-09,IF1608.CFE
2016-08-10,IF1608.CFE
2016-08-11,IF1608.CFE
2016-08-12,IF1608.CFE
2016-08-15,IF1608.CFE
2016-08-16,IF1608.CFE
2016-08-17,IF1608.CFE
2016-08-18,IF1609.CFE
2016-08-19,IF1609.CFE
2016-08-22,IF1609.CFE
2016-08-23,IF1609.CFE
2016-08-24,IF1609.CFE
2016-08-25,IF1609.CFE
2016-08-26,IF1609.CFE
2016-08-29,IF1609.CFE
2016-08-30,IF1609.CFE
2016-08-31,IF1609.CFE
2016-09-01,IF1609.CFE
2016-09-02,IF1609.CFE
2016-09-05,IF1609.CFE
2016-09-06,IF1609.CFE
2016-09-07,IF1609.CFE
2016-09-08,IF1609.CFE
2016-09-09,IF1609.CFE
2016-09-12,IF1609.CFE
2016-09-13,IF1609.CFE
2016-09-14,IF1609.CFE
2016-09-19,IF1610.CFE
2016-09-20,IF1610.CFE
2016-09-21,IF1610.CFE
2016-09-22,IF1610.CFE
2016-09-23,IF1610.CFE
2016-09-26,IF1610.CFE
2016-09-27,IF1610.CFE
2016-09-28,IF1610.CFE
2016-09-29,IF1610.CFE
2016-09-30,IF1610.CFE
2016-10-10,IF1610.CFE
2016-10-11,IF1610.CFE
2016-10-12,IF1610.CFE
2016-10-13,IF1610.CFE
2016-10-14,IF1610.CFE
2016-10-17,IF1610.CFE
2016-10-18,IF1610.CFE
2016-10-19,IF1610.CFE
2016-10-20,IF1610.CFE
2016-10-21,IF1611.CFE
2016-10-24,IF1611.CFE
2016-10-25,IF1611.CFE
2016-10-26,IF1611.CFE
2016-10-27,IF1611.CFE
2016-10-28,IF1611.CFE
2016-10-31,IF1611.CFE
2016-11-01,IF1611.CFE
2016-11-02,IF1611.CFE
2016-11-03,IF1611.CFE
2016-11-04,IF1611.CFE
2016-11-07,IF1611.CFE
2016-11-08,IF1611.CFE
2016-11-09,IF1611.CFE
2016-11-10,IF1611.CFE
2016-11-11,IF1611.CFE
2016-11-14,IF1611.CFE
2016-11-15,IF1611.CFE
2016-11-16,IF1611.CFE
2016-11-17,IF1612.CFE
2016-11-18,IF1612.CFE
2016-11-21,IF1612.CFE
2016-11-22,IF1612.CFE
2016-11-23,IF1612.CFE
2016-11-24,IF1612.CFE
2016-11-25,IF1612.CFE
2016-11-28,IF1612.CFE
2016-11-29,IF1612.CFE
2016-11-30,IF1612.CFE
2016-12-01,IF1612.CFE
2016-12-02,IF1612.CFE
2016-12-05,IF1612.CFE
2016-12-06,IF1612.CFE
2016-12-07,IF1612.CFE
2016-12-08,IF1612.CFE
2016-12-09,IF1612.CFE
2016-12-12,IF1612.CFE
2016-12-13,IF1612.CFE
2016-12-14,IF1612.CFE
2016-12-15,IF1612.CFE
2016-12-16,IF1701.CFE
2016-12-19,IF1701.CFE
2016-12-20,IF1701.CFE
2016-12-21,IF1701.CFE
2016-12-22,IF1701.CFE
2016-12-23,IF1701.CFE
2016-12-26,IF1701.CFE
2016-12-27,IF1701.CFE
2016-12-28,IF1701.CFE
2016-12-29,IF1701.CFE
2016-12-30,IF1701.CFE
2017-01-03,IF1701.CFE
2017-01-04,IF1701.CFE
2017-01-05,IF1701.CFE
2017-01-06,IF1701.CFE
2017-01-09,IF1701.CFE
2017-01-10,IF1701.CFE
2017-01-11,IF1701.CFE
2017-01-12,IF1701.CFE
2017-01-13,IF1701.CFE
2017-01-16,IF1701.CFE
2017-01-17,IF1701.CFE
2017-01-18,IF1701.CFE
2017-01-19,IF1701.CFE
2017-01-20,IF1702.CFE
2017-01-23,IF1702.CFE
2017-01-24,IF1702.CFE
2017-01-25,IF1702.CFE
2017-01-26,IF1702.CFE
2017-02-03,IF1702.CFE
2017-02-06,IF1702.CFE
2017-02-07,IF1702.CFE
2017-02-08,IF1702.CFE
2017-02-09,IF1702.CFE
2017-02-10,IF1702.CFE
2017-02-13,IF1702.CFE
2017-02-14,IF1702.CFE
2017-02-15,IF1703.CFE
2017-02-16,IF1703.CFE
2017-02-17,IF1703.CFE
2017-02-20,IF1703.CFE
2017-02-21,IF1703.CFE
2017-02-22,IF1703.CFE
2017-02-23,IF1703.CFE
2017-02-24,IF1703.CFE
2017-02-27,IF1703.CFE
2017-02-28,IF1703.CFE
2017-03-01,IF1703.CFE
2017-03-02,IF1703.CFE
2017-03-03,IF1703.CFE
2017-03-06,IF1703.CFE
2017-03-07,IF1703.CFE
2017-03-08,IF1703.CFE
2017-03-09,IF1703.CFE
2017-03-10,IF1703.CFE
2017-03-13,IF1703.CFE
2017-03-14,IF1703.CFE
2017-03-15,IF1703.CFE
2017-03-16,IF1703.CFE
2017-03-17,IF1704.CFE
2017-03-20,IF1704.CFE
2017-03-21,IF1704.CFE
2017-03-22,IF1704.CFE
2017-03-23,IF1704.CFE
2017-03-24,IF1704.CFE
2017-03-27,IF1704.CFE
2017-03-28,IF1704.CFE
2017-03-29,IF1704.CFE
2017-03-30,IF1704.CFE
2017-03-31,IF1704.CFE
2017-04-05,IF1704.CFE
2017-04-06,IF1704.CFE
2017-04-07,IF1704.CFE
2017-04-10,IF1704.CFE
2017-04-11,IF1704.CFE
2017-04-12,IF1704.CFE
2017-04-13,IF1704.CFE
2017-04-14,IF1704.CFE
2017-04-17,IF1704.CFE
2017-04-18,IF1704.CFE
2017-04-19,IF1704.CFE
2017-04-20,IF1704.CFE
2017-04-21,IF1705.CFE
2017-04-24,IF1705.CFE
2017-04-25,IF1705.CFE
2017-04-26,IF1705.CFE
2017-04-27,IF1705.CFE
2017-04-28,IF1705.CFE
2017-05-02,IF1705.CFE
2017-05-03,IF1705.CFE
2017-05-04,IF1705.CFE
2017-05-05,IF1705.CFE
2017-05-08,IF1705.CFE
2017-05-09,IF1705.CFE
2017-05-10,IF1705.CFE
2017-05-11,IF1705.CFE
2017-05-12,IF1705.CFE
2017-05-15,IF1705.CFE
2017-05-16,IF1705.CFE
2017-05-17,IF1705.CFE
2017-05-18,IF1706.CFE
2017-05-19,IF1706.CFE
2017-05-22,IF1706.CFE
2017-05-23,IF1706.CFE
2017-05-24,IF1706.CFE
2017-05-25,IF1706.CFE
2017-05-26,IF1706.CFE
2017-05-31,IF1706.CFE
2017-06-01,IF1706.CFE
2017-06-02,IF1706.CFE
2017-06-05,IF1706.CFE
2017-06-06,IF1706.CFE
2017-06-07,IF1706.CFE
2017-06-08,IF1706.CFE
2017-06-09,IF1706.CFE
2017-06-12,IF1706.CFE
2017-06-13,IF1706.CFE
2017-06-14,IF1706.CFE
2017-06-15,IF1706.CFE
2017-06-16,IF1707.CFE
2017-06-19,IF1707.CFE
2017-06-20,IF1707.CFE
2017-06-21,IF1707.CFE
2017-06-22,IF1707.CFE
2017-06-23,IF1707.CFE
2017-06-26,IF1707.CFE
