,IF.CFE
2011-02-16,IF1103.CFE
2011-02-17,IF1103.CFE
2011-02-18,IF1103.CFE
2011-02-21,IF1103.CFE
2011-02-22,IF1103.CFE
2011-02-23,IF1103.CFE
2011-02-24,IF1103.CFE
2011-02-25,IF1103.CFE
2011-02-28,IF1103.CFE
2011-03-01,IF1103.CFE
2011-03-02,IF1103.CFE
2011-03-03,IF1103.CFE
2011-03-04,IF1103.CFE
2011-03-07,IF1103.CFE
2011-03-08,IF1103.CFE
2011-03-09,IF1103.CFE
2011-03-10,IF1103.CFE
2011-03-11,IF1103.CFE
2011-03-14,IF1103.CFE
2011-03-15,IF1103.CFE
2011-03-16,IF1103.CFE
2011-03-17,IF1103.CFE
2011-03-18,IF1104.CFE
2011-03-21,IF1104.CFE
2011-03-22,IF1104.CFE
2011-03-23,IF1104.CFE
2011-03-24,IF1104.CFE
2011-03-25,IF1104.CFE
2011-03-28,IF1104.CFE
2011-03-29,IF1104.CFE
2011-03-30,IF1104.CFE
2011-03-31,IF1104.CFE
2011-04-01,IF1104.CFE
2011-04-06,IF1104.CFE
2011-04-07,IF1104.CFE
2011-04-08,IF1104.CFE
2011-04-11,IF1104.CFE
2011-04-12,IF1104.CFE
2011-04-13,IF1104.CFE
2011-04-14,IF1104.CFE
2011-04-15,IF1105.CFE
2011-04-18,IF1105.CFE
2011-04-19,IF1105.CFE
2011-04-20,IF1105.CFE
2011-04-21,IF1105.CFE
2011-04-22,IF1105.CFE
2011-04-25,IF1105.CFE
2011-04-26,IF1105.CFE
2011-04-27,IF1105.CFE
2011-04-28,IF1105.CFE
2011-04-29,IF1105.CFE
2011-05-03,IF1105.CFE
2011-05-04,IF1105.CFE
2011-05-05,IF1105.CFE
2011-05-06,IF1105.CFE
2011-05-09,IF1105.CFE
2011-05-10,IF1105.CFE
2011-05-11,IF1105.CFE
2011-05-12,IF1105.CFE
2011-05-13,IF1105.CFE
2011-05-16,IF1105.CFE
2011-05-17,IF1105.CFE
2011-05-18,IF1105.CFE
2011-05-19,IF1106.CFE
2011-05-20,IF1106.CFE
2011-05-23,IF1106.CFE
2011-05-24,IF1106.CFE
2011-05-25,IF1106.CFE
2011-05-26,IF1106.CFE
2011-05-27,IF1106.CFE
2011-05-30,IF1106.CFE
2011-05-31,IF1106.CFE
2011-06-01,IF1106.CFE
2011-06-02,IF1106.CFE
2011-06-03,IF1106.CFE
2011-06-07,IF1106.CFE
2011-06-08,IF1106.CFE
2011-06-09,IF1106.CFE
2011-06-10,IF1106.CFE
2011-06-13,IF1106.CFE
2011-06-14,IF1106.CFE
2011-06-15,IF1106.CFE
2011-06-16,IF1106.CFE
2011-06-17,IF1107.CFE
2011-06-20,IF1107.CFE
2011-06-21,IF1107.CFE
2011-06-22,IF1107.CFE
2011-06-23,IF1107.CFE
2011-06-24,IF1107.CFE
2011-06-27,IF1107.CFE
2011-06-28,IF1107.CFE
2011-06-29,IF1107.CFE
2011-06-30,IF1107.CFE
2011-07-01,IF1107.CFE
2011-07-04,IF1107.CFE
2011-07-05,IF1107.CFE
2011-07-06,IF1107.CFE
2011-07-07,IF1107.CFE
2011-07-08,IF1107.CFE
2011-07-11,IF1107.CFE
2011-07-12,IF1107.CFE
2011-07-13,IF1107.CFE
2011-07-14,IF1107.CFE
2011-07-15,IF1107.CFE
2011-07-18,IF1108.CFE
2011-07-19,IF1108.CFE
2011-07-20,IF1108.CFE
2011-07-21,IF1108.CFE
2011-07-22,IF1108.CFE
2011-07-25,IF1108.CFE
2011-07-26,IF1108.CFE
2011-07-27,IF1108.CFE
2011-07-28,IF1108.CFE
2011-07-29,IF1108.CFE
2011-08-01,IF1108.CFE
2011-08-02,IF1108.CFE
2011-08-03,IF1108.CFE
2011-08-04,IF1108.CFE
2011-08-05,IF1108.CFE
2011-08-08,IF1108.CFE
2011-08-09,IF1108.CFE
2011-08-10,IF1108.CFE
2011-08-11,IF1108.CFE
2011-08-12,IF1108.CFE
2011-08-15,IF1108.CFE
2011-08-16,IF1108.CFE
2011-08-17,IF1109.CFE
2011-08-18,IF1109.CFE
2011-08-19,IF1109.CFE
2011-08-22,IF1109.CFE
2011-08-23,IF1109.CFE
2011-08-24,IF1109.CFE
2011-08-25,IF1109.CFE
2011-08-26,IF1109.CFE
2011-08-29,IF1109.CFE
2011-08-30,IF1109.CFE
2011-08-31,IF1109.CFE
2011-09-01,IF1109.CFE
2011-09-02,IF1109.CFE
2011-09-05,IF1109.CFE
2011-09-06,IF1109.CFE
2011-09-07,IF1109.CFE
2011-09-08,IF1109.CFE
2011-09-09,IF1109.CFE
2011-09-13,IF1109.CFE
2011-09-14,IF1109.CFE
2011-09-15,IF1109.CFE
2011-09-16,IF1110.CFE
2011-09-19,IF1110.CFE
2011-09-20,IF1110.CFE
2011-09-21,IF1110.CFE
2011-09-22,IF1110.CFE
2011-09-23,IF1110.CFE
2011-09-26,IF1110.CFE
2011-09-27,IF1110.CFE
2011-09-28,IF1110.CFE
2011-09-29,IF1110.CFE
2011-09-30,IF1110.CFE
2011-10-10,IF1110.CFE
2011-10-11,IF1110.CFE
2011-10-12,IF1110.CFE
2011-10-13,IF1110.CFE
2011-10-14,IF1110.CFE
2011-10-17,IF1110.CFE
2011-10-18,IF1110.CFE
2011-10-19,IF1110.CFE
2011-10-20,IF1111.CFE
2011-10-21,IF1111.CFE
2011-10-24,IF1111.CFE
2011-10-25,IF1111.CFE
2011-10-26,IF1111.CFE
2011-10-27,IF1111.CFE
2011-10-28,IF1111.CFE
2011-10-31,IF1111.CFE
2011-11-01,IF1111.CFE
2011-11-02,IF1111.CFE
2011-11-03,IF1111.CFE
2011-11-04,IF1111.CFE
2011-11-07,IF1111.CFE
2011-11-08,IF1111.CFE
2011-11-09,IF1111.CFE
