,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1804.CFE,IH1805.CFE,IH1806.CFE,IH1809.CFE
2015-04-16,3100.0,3153.0,,,3089.0,,,3118.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,3303.6,3303.0,,,3298.8,,,3356.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,3258.0,3310.0,,,3317.8,,,3331.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,3176.8,3177.6,,,3186.4,,,3234.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,3250.0,3251.0,,,3260.4,,,3298.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,3318.6,3324.8,,,3367.8,,,3393.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,3248.8,3241.8,,,3240.2,,,3334.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,3260.0,3238.0,,,3260.2,,,3299.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,3339.0,3360.0,,,3367.0,,,3390.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,3282.0,3288.6,,,3303.0,,,3343.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,3315.2,3319.8,,,3312.4,,,3368.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,3295.8,3290.0,,,3305.6,,,3331.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,3279.6,3284.8,,,3293.4,,,3333.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,3171.2,3181.6,,,3179.2,,,3221.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,3159.6,3161.2,,,3185.6,,,3204.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,3131.0,3148.8,,,3156.6,,,3190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,3112.0,3126.6,,,3160.0,,,3172.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,3151.0,3178.2,,,3198.0,,,3229.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,3200.0,3202.0,,,3197.6,,,3246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,3131.2,3148.0,,,3139.8,,,3163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,3140.0,3115.2,,,3129.8,,,3180.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,3033.6,3027.4,,3048.6,,,3091.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,2973.4,2974.0,,2976.8,,,3009.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,3163.0,3130.0,,3145.2,,,3193.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,3157.0,3139.2,,3131.0,,,3204.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,3200.0,3183.0,,3206.2,,,3255.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,3298.6,3294.4,,3306.0,,,3349.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,3426.0,3416.4,,3460.0,,,3505.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,3453.8,3448.0,,3470.0,,,3539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
