,NI1507.SHF,NI1508.SHF,NI1509.SHF,NI1510.SHF,NI1511.SHF,NI1512.SHF,NI1601.SHF,NI1602.SHF,NI1603.SHF,NI1604.SHF,NI1605.SHF,NI1606.SHF,NI1607.SHF,NI1608.SHF,NI1609.SHF,NI1610.SHF,NI1611.SHF,NI1612.SHF,NI1701.SHF,NI1702.SHF,NI1703.SHF,NI1704.SHF,NI1705.SHF,NI1706.SHF,NI1707.SHF,NI1708.SHF,NI1709.SHF,NI1710.SHF,NI1711.SHF,NI1712.SHF,NI1801.SHF,NI1802.SHF,NI1803.SHF,NI1804.SHF,NI1805.SHF,NI1806.SHF,NI1807.SHF,NI1808.SHF,NI1809.SHF,NI1810.SHF,NI1811.SHF,NI1812.SHF,NI1901.SHF,NI1902.SHF,NI1903.SHF
2015-03-27,101870.0,102710.0,102500.0,102800.0,103500.0,106660.0,107800.0,111190.0,100640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,99010.0,99200.0,100100.0,99070.0,97150.0,99170.0,99810.0,98730.0,99230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,98000.0,97170.0,98530.0,95580.0,97960.0,98360.0,98810.0,99180.0,96100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,93940.0,93840.0,93840.0,93430.0,94540.0,93660.0,95000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,92870.0,93090.0,93160.0,94870.0,94340.0,93870.0,94490.0,96600.0,97160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,96000.0,95550.0,95720.0,97260.0,,96180.0,95570.0,96510.0,97040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,97500.0,97220.0,96990.0,98340.0,97640.0,97930.0,98340.0,97800.0,97970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,94500.0,94410.0,94800.0,94870.0,94770.0,95110.0,95240.0,95300.0,95600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,94450.0,94100.0,94060.0,95460.0,94980.0,95000.0,94670.0,,95070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,94500.0,94150.0,93960.0,,93710.0,94400.0,94400.0,94130.0,95000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,94280.0,94240.0,94500.0,93280.0,94460.0,94000.0,94240.0,,94920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,94780.0,94170.0,94020.0,89090.0,94210.0,94720.0,95150.0,94220.0,95220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,92700.0,92200.0,92250.0,,92740.0,92900.0,93050.0,,93500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,94610.0,93800.0,93810.0,,94330.0,95000.0,94550.0,94720.0,95420.0,95060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,96280.0,95350.0,95470.0,95010.0,95790.0,96340.0,95000.0,94830.0,95630.0,95590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,95980.0,94750.0,94120.0,93750.0,,,94790.0,95400.0,95270.0,95220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,95330.0,94200.0,93850.0,93810.0,93330.0,92910.0,93950.0,93840.0,94290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,95910.0,94960.0,94370.0,,94340.0,96190.0,94780.0,,94630.0,96960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,96120.0,95270.0,94700.0,93890.0,94730.0,94710.0,96500.0,95100.0,95000.0,94680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,95840.0,95130.0,94880.0,94410.0,95060.0,94650.0,94780.0,,94760.0,95460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,98000.0,97900.0,96570.0,97040.0,96930.0,97390.0,96680.0,,96910.0,99540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,102490.0,102000.0,101190.0,99500.0,102200.0,99560.0,100790.0,,101390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,102350.0,101250.0,101110.0,100870.0,100740.0,100860.0,100500.0,,100940.0,101560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,101190.0,100350.0,99860.0,99730.0,99730.0,99890.0,100030.0,,101900.0,102020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,106010.0,104700.0,104390.0,104860.0,104110.0,105310.0,102720.0,,104800.0,105250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,107850.0,106440.0,106500.0,106580.0,107360.0,106890.0,107030.0,107130.0,106970.0,106660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,110000.0,107170.0,106700.0,107590.0,107580.0,107570.0,108360.0,110660.0,108550.0,109750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,114580.0,111000.0,110030.0,109600.0,108270.0,114520.0,109760.0,106270.0,110160.0,112090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,113700.0,107170.0,106980.0,106050.0,105980.0,105950.0,106500.0,109970.0,106890.0,108790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,111810.0,108590.0,108590.0,108640.0,109160.0,109000.0,107740.0,,108370.0,109090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,113300.0,111030.0,110000.0,110050.0,107930.0,111590.0,108720.0,107560.0,109520.0,110080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,112280.0,108180.0,108000.0,108610.0,,107660.0,107200.0,108200.0,107760.0,108190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,112100.0,108380.0,108330.0,106170.0,105660.0,106800.0,107820.0,107740.0,107800.0,108390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,108980.0,106080.0,106130.0,,105660.0,105570.0,106430.0,106050.0,104450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,109390.0,105760.0,105500.0,,106370.0,105790.0,105500.0,106510.0,106000.0,,106990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,108300.0,105610.0,105600.0,,104760.0,,105410.0,106100.0,105410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,105500.0,103550.0,103000.0,,99290.0,100360.0,102680.0,,101510.0,100580.0,99860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,100490.0,98500.0,98500.0,99510.0,98550.0,98810.0,98500.0,,99290.0,,99230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,100960.0,99380.0,99500.0,101200.0,100500.0,100120.0,99080.0,99500.0,99100.0,100670.0,99560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,98900.0,97500.0,97280.0,97170.0,,98980.0,96900.0,,97420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,99670.0,98530.0,97930.0,98470.0,99460.0,99080.0,97720.0,98810.0,99060.0,99000.0,99960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,99990.0,97960.0,97290.0,97780.0,,97650.0,97500.0,,97920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,100420.0,98360.0,97780.0,99080.0,,99110.0,97520.0,98270.0,97570.0,,100430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,101000.0,99850.0,99140.0,98550.0,97370.0,99290.0,98880.0,97260.0,99060.0,,99110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,98860.0,97460.0,97500.0,96720.0,,97560.0,97230.0,95550.0,97150.0,97690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,98350.0,97550.0,97190.0,99210.0,98590.0,99490.0,97000.0,97270.0,97480.0,100070.0,99720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,100510.0,100000.0,100380.0,100220.0,103000.0,100220.0,99750.0,99900.0,100390.0,100900.0,101300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,99980.0,100400.0,99200.0,95010.0,,98710.0,99090.0,,99150.0,99900.0,98890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,98680.0,99180.0,98650.0,99200.0,,97370.0,98500.0,,99100.0,,99110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,98780.0,98570.0,98750.0,99170.0,99050.0,99340.0,97900.0,99740.0,99020.0,,99770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,101000.0,100690.0,100850.0,101970.0,101530.0,101680.0,100500.0,101110.0,101500.0,,102940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,101560.0,101210.0,101360.0,102390.0,100900.0,101210.0,101090.0,101540.0,101540.0,,102730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,101820.0,101850.0,101850.0,102000.0,102040.0,102030.0,101700.0,101470.0,102170.0,,102820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,101520.0,101210.0,101600.0,101510.0,99610.0,100920.0,101480.0,99600.0,99900.0,,101690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,98170.0,97950.0,98400.0,98820.0,,98000.0,98080.0,98250.0,98810.0,,99850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,97380.0,96940.0,97400.0,97760.0,97360.0,97620.0,97300.0,97050.0,97430.0,97000.0,98930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,96000.0,95970.0,96000.0,96070.0,98700.0,96330.0,96200.0,,95630.0,,98590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,96000.0,96080.0,96300.0,96460.0,96400.0,96490.0,96450.0,96890.0,96240.0,,97720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,95650.0,95700.0,96020.0,95950.0,,95500.0,96210.0,,95530.0,,97850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,93890.0,94360.0,94280.0,94930.0,,95460.0,94560.0,,,95730.0,96180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,94980.0,95200.0,95510.0,95750.0,,96230.0,95500.0,,96150.0,96290.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,95310.0,95600.0,96010.0,95890.0,,96260.0,96100.0,96440.0,96150.0,96250.0,97320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,94100.0,94140.0,94760.0,94580.0,,94530.0,95000.0,95270.0,95250.0,94780.0,96180.0,96000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,93160.0,93270.0,93650.0,92750.0,92390.0,94730.0,94150.0,94190.0,94160.0,94540.0,95600.0,95100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,89000.0,88000.0,88880.0,88890.0,88580.0,89370.0,89500.0,89850.0,90810.0,92400.0,92000.0,92220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,84520.0,86630.0,87330.0,87260.0,86390.0,87280.0,87500.0,90580.0,88680.0,91650.0,89850.0,90020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,87750.0,88070.0,88000.0,88180.0,89670.0,87570.0,88950.0,89130.0,90330.0,,91110.0,91690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,89300.0,89540.0,89850.0,90490.0,90540.0,89140.0,90460.0,91650.0,92180.0,92900.0,92770.0,93000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,86760.0,88770.0,89100.0,89320.0,89070.0,87780.0,89900.0,88760.0,90540.0,90820.0,91570.0,90890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,84580.0,85270.0,85750.0,86500.0,86860.0,85760.0,86950.0,86800.0,87790.0,89140.0,87900.0,87970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,81010.0,81320.0,82400.0,82200.0,82280.0,82010.0,82360.0,82390.0,82580.0,84260.0,86360.0,83800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,77000.0,78000.0,75230.0,75680.0,80000.0,76390.0,75760.0,78280.0,78010.0,80050.0,80510.0,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,82330.0,83500.0,84100.0,84930.0,84500.0,,84740.0,84660.0,,86010.0,85890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,81300.0,83900.0,84040.0,84250.0,84900.0,82910.0,84520.0,83910.0,85840.0,85810.0,85720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,85650.0,83700.0,84510.0,84870.0,85440.0,86360.0,85220.0,86330.0,87080.0,,85760.0,86800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,85500.0,88740.0,84880.0,85290.0,86200.0,86350.0,85110.0,86160.0,86300.0,,88930.0,86100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,,85030.0,86850.0,87110.0,87690.0,87010.0,87600.0,,88210.0,,87000.0,,85630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,84710.0,84680.0,85620.0,85910.0,86900.0,85160.0,,87110.0,87250.0,88770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,83600.0,84800.0,85400.0,,86240.0,85200.0,,86680.0,87770.0,87010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,,85950.0,85480.0,86190.0,87000.0,86300.0,85720.0,,86030.0,89870.0,88610.0,,89560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,,86620.0,87670.0,87500.0,87330.0,88160.0,87880.0,,88590.0,89600.0,89330.0,,89030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,,84710.0,85300.0,85210.0,85350.0,85070.0,85570.0,,85990.0,,85810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,,84160.0,84190.0,84690.0,83970.0,,84700.0,84520.0,85400.0,85770.0,86900.0,86030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27,,83490.0,83290.0,83630.0,84530.0,83580.0,83400.0,,85410.0,85240.0,85350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,,81370.0,81300.0,81430.0,81770.0,82580.0,81750.0,82650.0,82980.0,,,,86940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,,83570.0,83300.0,84140.0,84510.0,,84400.0,85000.0,85740.0,,85560.0,87460.0,86260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,,82750.0,83590.0,83910.0,83990.0,,84260.0,85370.0,84800.0,,85510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,,82260.0,82000.0,83090.0,82810.0,83000.0,82600.0,,83680.0,,85100.0,86840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,,81660.0,82200.0,83110.0,83350.0,83190.0,83110.0,,84130.0,84150.0,84610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04,,80700.0,80350.0,80990.0,81510.0,81110.0,81000.0,81890.0,81720.0,,80830.0,85580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,,80400.0,81300.0,81640.0,82000.0,,81880.0,81190.0,82780.0,82480.0,83550.0,86240.0,83120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,,80450.0,81500.0,81640.0,,,82300.0,82590.0,82820.0,83000.0,83550.0,,85010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,,80000.0,80700.0,80950.0,80800.0,82030.0,81480.0,,82250.0,,83220.0,83810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,,80400.0,80620.0,80860.0,82630.0,81200.0,81410.0,,83510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
