None,振幅,振幅,1日收益,1日收益,5日收益,5日收益,20日收益,20日收益,成交量变化,成交量变化,日多头持仓占比变化,日多头持仓占比变化,日空头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向,1日资金流向变化率,1日资金流向变化率
None,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret
2018-01-10,焦煤,0.0147383935151,动力煤,-0.00219642296831,动力煤,-0.00219642296831,铁矿石,-0.00269058295964,塑料,0.0064870259481,甲醇,-0.000671817265704,甲醇,-0.000671817265704,沥青,-0.00290065264685,玉米,-0.00437397484964,沪镍,0.0100577574188,沪铝,0.00996015936255,沪锌,0.00825652841782,沪锌,0.00825652841782
2018-01-10,铁矿石,-0.00269058295964,沪镍,0.0100577574188,玻璃,-0.0106100795756,沥青,-0.00290065264685,焦煤,0.0147383935151,塑料,0.0064870259481,焦煤,0.0147383935151,玉米,-0.00437397484964,沪铝,0.00996015936255,螺纹钢,-0.00285788516498,玉米,-0.00437397484964,沪铝,0.00996015936255,沪铝,0.00996015936255
2018-01-10,沥青,-0.00290065264685,聚丙烯,0.00458906967042,沥青,-0.00290065264685,焦煤,0.0147383935151,沥青,-0.00290065264685,PVC,-0.00295857988166,沪铝,0.00996015936255,螺纹钢,-0.00285788516498,焦炭,0.00222222222222,热卷,-0.00154639175258,棕榈油,-0.000375234521576,PTA,0.00141093474427,沪铜,0.00565693430657
2018-01-10,天胶,0.00961881011756,塑料,0.0064870259481,甲醇,-0.000671817265704,沪铜,0.00565693430657,淀粉,-0.00564971751412,沪银,0.00309837335399,玉米,-0.00437397484964,沪铝,0.00996015936255,棉花,0.00229508196721,玉米,-0.00437397484964,淀粉,-0.00564971751412,白糖,-0.000850774204526,热卷,-0.00154639175258
2018-01-11,焦煤,-0.0228758169935,焦煤,-0.0228758169935,铁矿石,-0.0215827338129,沪镍,-0.0183377698906,玉米,0.00329489291598,玻璃,0.00268096514745,玻璃,0.00268096514745,沪镍,-0.0183377698906,玉米,0.00329489291598,沥青,0.000727272727273,沪铝,-0.00788954635108,沪铜,-0.00562511340954,玻璃,0.00268096514745
2018-01-11,玻璃,0.00268096514745,沪镍,-0.0183377698906,沪镍,-0.0183377698906,铁矿石,-0.0215827338129,塑料,0.00644521566683,聚丙烯,0.00487956810631,聚丙烯,0.00487956810631,焦煤,-0.0228758169935,沪铝,-0.00788954635108,沪镍,-0.0183377698906,玉米,0.00329489291598,沪锌,0.00457055798895,沪锌,0.00457055798895
2018-01-11,铁矿石,-0.0215827338129,沪铝,-0.00788954635108,沥青,0.000727272727273,焦煤,-0.0228758169935,焦煤,-0.0228758169935,沪镍,-0.0183377698906,沪银,0.001287001287,螺纹钢,-0.0125065138093,淀粉,0.00662878787879,玻璃,0.00268096514745,淀粉,0.00662878787879,沪铝,-0.00788954635108,沪铝,-0.00788954635108
2018-01-11,沪镍,-0.0183377698906,天胶,0.00882145377558,动力煤,-0.0062893081761,塑料,0.00644521566683,沥青,0.000727272727273,天胶,0.00882145377558,沥青,0.000727272727273,铁矿石,-0.0215827338129,棉花,0.0107948969578,玉米,0.00329489291598,沪锌,0.00457055798895,PTA,-0.00669249735822,沪铜,-0.00562511340954
2018-01-11,焦炭,-0.00911554570091,沪锌,0.00457055798895,棉花,0.0107948969578,聚丙烯,0.00487956810631,淀粉,0.00662878787879,PTA,-0.00669249735822,热卷,-0.0110996386164,沪铝,-0.00788954635108,天胶,0.00882145377558,螺纹钢,-0.0125065138093,棕榈油,-0.0123873873874,白糖,-0.0017029972752,PTA,-0.00669249735822
2018-01-12,铁矿石,-0.0137867647059,PVC,-0.0021978021978,玻璃,-0.00935828877005,沪镍,0.00642763884704,玉米,-0.00109469074986,塑料,-0.00344827586207,铁矿石,-0.0137867647059,焦煤,-0.0137495354887,玉米,-0.00109469074986,沥青,0.0203488372093,铁矿石,-0.0137867647059,沪铜,0.00346715328467,玻璃,-0.00935828877005
2018-01-12,焦煤,-0.0137495354887,棉花,-0.011003236246,沥青,0.0203488372093,铁矿石,-0.0137867647059,塑料,-0.00344827586207,沪银,0.00925449871465,沪镍,0.00642763884704,塑料,-0.00344827586207,沪铝,0.0026507620941,沪镍,0.00642763884704,玉米,-0.00109469074986,沪锌,-0.000568720379147,沪锌,-0.000568720379147
2018-01-12,沪镍,0.00642763884704,天胶,0.0104931794334,棉花,-0.011003236246,焦煤,-0.0137495354887,焦煤,-0.0137495354887,天胶,0.0104931794334,甲醇,-0.00508130081301,聚丙烯,-0.00154974687468,淀粉,0.00517403574788,沪银,0.00925449871465,沪铝,0.0026507620941,沪铝,0.0026507620941,沪铝,0.0026507620941
2018-01-12,PVC,-0.0021978021978,淀粉,0.00517403574788,聚丙烯,-0.00154974687468,塑料,-0.00344827586207,沥青,0.0203488372093,沪铝,0.0026507620941,焦炭,-0.0134261561412,热卷,0.00156617071261,豆一,0.00795828759605,热卷,0.00156617071261,沪锌,-0.000568720379147,PTA,0.0063829787234,沪铜,0.00346715328467
2018-01-12,热卷,0.00156617071261,塑料,-0.00344827586207,塑料,-0.00344827586207,聚丙烯,-0.00154974687468,淀粉,0.00517403574788,棕榈油,-0.000760167236792,螺纹钢,0.00316622691293,淀粉,0.00517403574788,沪镍,0.00642763884704,螺纹钢,0.00316622691293,螺纹钢,0.00316622691293,白糖,-0.00801774138519,PTA,0.0063829787234
2018-01-15,沥青,-0.0149572649573,沥青,-0.0149572649573,沥青,-0.0149572649573,沪镍,-0.0239497056182,玉米,-0.00164383561644,豆一,-0.0190579907433,棉花,-0.0032722513089,动力煤,0.00571610034932,豆一,-0.0190579907433,沥青,-0.0149572649573,玉米,-0.00164383561644,沪铜,-0.012547735952,沪锌,-0.011191198786
2018-01-15,焦炭,-0.0123487903226,菜粕,-0.000440528634361,天胶,-0.0152301834545,聚丙烯,-0.0256622516556,塑料,-0.023727137914,动力煤,0.00571610034932,菜粕,-0.000440528634361,热卷,-0.00390930414386,螺纹钢,-0.00315623356128,沪银,-0.0048395313296,焦炭,-0.0123487903226,沪锌,-0.011191198786,玻璃,-0.0101214574899
2018-01-15,焦煤,-0.0373021853806,天胶,-0.0152301834545,沪镍,-0.0239497056182,塑料,-0.023727137914,焦煤,-0.0373021853806,PVC,-0.0264317180617,豆一,-0.0190579907433,沪银,-0.0048395313296,铁矿石,-0.0130475302889,沪镍,-0.0239497056182,铁矿石,-0.0130475302889,沪铝,-0.0254461335096,沪铝,-0.0254461335096
2018-01-15,天胶,-0.0152301834545,豆粕,-0.00108813928183,塑料,-0.023727137914,沥青,-0.0149572649573,沥青,-0.0149572649573,沪银,-0.0048395313296,螺纹钢,-0.00315623356128,沥青,-0.0149572649573,焦炭,-0.0123487903226,菜粕,-0.000440528634361,豆一,-0.0190579907433,PTA,-0.00880902043693,沪铜,-0.012547735952
2018-01-15,铁矿石,-0.0130475302889,沪银,-0.0048395313296,聚丙烯,-0.0256622516556,PTA,-0.00880902043693,淀粉,-0.000467945718297,玻璃,-0.0101214574899,焦炭,-0.0123487903226,沪镍,-0.0239497056182,棉花,-0.0032722513089,动力煤,0.00571610034932,螺纹钢,-0.00315623356128,螺纹钢,-0.00315623356128,热卷,-0.00390930414386
2018-01-16,焦煤,0.00508806262231,动力煤,0.00347331859804,沥青,0.0,PTA,-0.00604337006754,玉米,-0.0032930845225,棕榈油,-0.00879877582249,甲醇,-0.00141492748497,沪银,-0.0079344765805,甲醇,-0.00141492748497,沥青,0.0,玉米,-0.0032930845225,沪铜,-0.0132596685083,玻璃,0.0054533060668
2018-01-16,甲醇,-0.00141492748497,白糖,-0.00515907136715,天胶,-0.00562390158172,沥青,0.0,塑料,-0.00556962025316,焦炭,-0.000255167134473,焦煤,0.00508806262231,动力煤,0.00347331859804,铁矿石,0.00377714825307,沪银,-0.0079344765805,沪铝,-0.0077992539844,沪锌,-0.000383656244005,沪锌,-0.000383656244005
2018-01-16,PVC,-0.00904977375566,菜粕,0.00484795063905,淀粉,-0.00983146067416,塑料,-0.00556962025316,焦煤,0.00508806262231,PTA,-0.00604337006754,沪铝,-0.0077992539844,沥青,0.0,焦煤,0.00508806262231,动力煤,0.00347331859804,铁矿石,0.00377714825307,沪铝,-0.0077992539844,沪铝,-0.0077992539844
