None,振幅,振幅,1日收益,1日收益,5日收益,5日收益,20日收益,20日收益,成交量变化,成交量变化,日多头持仓占比变化,日多头持仓占比变化,日空头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向,1日资金流向变化率,1日资金流向变化率
None,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret
2018-01-10,沪金,0.00321485979639,焦炭,0.00222222222222,鸡蛋,0.000268744961032,焦炭,0.00222222222222,豆一,-0.00919913419913,玻璃,-0.0106100795756,沪金,0.00321485979639,白糖,-0.000850774204526,沪银,0.00309837335399,白糖,-0.000850774204526,沪金,0.00321485979639,豆粕,-0.00505780346821,豆粕,-0.00505780346821
2018-01-10,白糖,-0.000850774204526,焦煤,0.0147383935151,天胶,0.00961881011756,白糖,-0.000850774204526,沪镍,0.0100577574188,淀粉,-0.00564971751412,聚丙烯,0.00458906967042,沪铜,0.00565693430657,甲醇,-0.000671817265704,棕榈油,-0.000375234521576,沪银,0.00309837335399,天胶,0.00961881011756,沪银,0.00309837335399
2018-01-10,豆粕,-0.00505780346821,沪锌,0.00825652841782,淀粉,-0.00564971751412,鸡蛋,0.000268744961032,玻璃,-0.0106100795756,PTA,0.00141093474427,玻璃,-0.0106100795756,PVC,-0.00295857988166,沪金,0.00321485979639,豆油,-0.00206967919972,玻璃,-0.0106100795756,沪金,0.00321485979639,天胶,0.00961881011756
2018-01-10,玉米,-0.00437397484964,棕榈油,-0.000375234521576,玉米,-0.00437397484964,豆粕,-0.00505780346821,甲醇,-0.000671817265704,沪锌,0.00825652841782,热卷,-0.00154639175258,棉花,0.00229508196721,热卷,-0.00154639175258,沪锌,0.00825652841782,焦煤,0.0147383935151,沪银,0.00309837335399,沪金,0.00321485979639
2018-01-10,淀粉,-0.00564971751412,沪银,0.00309837335399,沪铝,0.00996015936255,菜粕,-0.0074333187582,铁矿石,-0.00269058295964,沪金,0.00321485979639,棕榈油,-0.000375234521576,天胶,0.00961881011756,玻璃,-0.0106100795756,聚丙烯,0.00458906967042,白糖,-0.000850774204526,豆油,-0.00206967919972,玉米,-0.00437397484964
2018-01-11,棉花,0.0107948969578,玻璃,0.00268096514745,焦炭,-0.00911554570091,菜粕,-0.0105726872247,豆一,-0.00491534680502,焦炭,-0.00911554570091,焦煤,-0.0228758169935,焦炭,-0.00911554570091,甲醇,-0.00773109243697,白糖,-0.0017029972752,沪金,0.00249243368346,豆粕,-0.00907770515614,豆粕,-0.00907770515614
2018-01-11,鸡蛋,0.0,豆一,-0.00491534680502,鸡蛋,0.0,鸡蛋,0.0,沪镍,-0.0183377698906,豆一,-0.00491534680502,焦炭,-0.00911554570091,豆一,-0.00491534680502,沪金,0.00249243368346,棕榈油,-0.0123873873874,沪银,0.001287001287,天胶,0.00882145377558,沪银,0.001287001287
2018-01-11,白糖,-0.0017029972752,菜粕,-0.0105726872247,淀粉,0.00662878787879,豆粕,-0.00907770515614,玻璃,0.00268096514745,棕榈油,-0.0123873873874,沪锌,0.00457055798895,棕榈油,-0.0123873873874,PVC,0.0126112759644,沪锌,0.00457055798895,焦煤,-0.0228758169935,沪金,0.00249243368346,天胶,0.00882145377558
2018-01-11,棕榈油,-0.0123873873874,淀粉,0.00662878787879,玉米,0.00329489291598,白糖,-0.0017029972752,甲醇,-0.00773109243697,沪金,0.00249243368346,菜粕,-0.0105726872247,沪锌,0.00457055798895,热卷,-0.0110996386164,豆油,-0.00829588662288,白糖,-0.0017029972752,沪银,0.001287001287,沪金,0.00249243368346
2018-01-11,沪银,0.001287001287,豆粕,-0.00907770515614,PVC,0.0126112759644,焦炭,-0.00911554570091,铁矿石,-0.0215827338129,甲醇,-0.00773109243697,沪金,0.00249243368346,沪铜,-0.00562511340954,菜粕,-0.0105726872247,沪金,0.00249243368346,甲醇,-0.00773109243697,豆油,-0.00829588662288,玉米,0.00329489291598
2018-01-12,白糖,-0.00801774138519,焦煤,-0.0137495354887,焦炭,-0.0134261561412,鸡蛋,-0.00403009134874,豆一,0.00795828759605,棉花,-0.011003236246,棉花,-0.011003236246,焦炭,-0.0134261561412,沪金,0.00177588350204,白糖,-0.00801774138519,沪金,0.00177588350204,豆粕,0.0102601685599,豆粕,0.0102601685599
2018-01-12,沪金,0.00177588350204,铁矿石,-0.0137867647059,菜粕,0.0106856634016,菜粕,0.0106856634016,沪镍,0.00642763884704,豆油,0.000348553502963,玻璃,-0.00935828877005,棉花,-0.011003236246,菜粕,0.0106856634016,棉花,-0.011003236246,沪银,0.00925449871465,天胶,0.0104931794334,沪银,0.00925449871465
2018-01-12,玉米,-0.00109469074986,沪镍,0.00642763884704,棕榈油,-0.000760167236792,豆粕,0.0102601685599,玻璃,-0.00935828877005,PVC,-0.0021978021978,菜粕,0.0106856634016,豆一,0.00795828759605,PVC,-0.0021978021978,沪锌,-0.000568720379147,焦煤,-0.0137495354887,沪金,0.00177588350204,天胶,0.0104931794334
2018-01-12,动力煤,-0.00348101265823,螺纹钢,0.00316622691293,鸡蛋,-0.00403009134874,白糖,-0.00801774138519,甲醇,-0.00508130081301,铁矿石,-0.0137867647059,聚丙烯,-0.00154974687468,沪铜,0.00346715328467,甲醇,-0.00508130081301,豆油,0.000348553502963,玻璃,-0.00935828877005,沪银,0.00925449871465,沪金,0.00177588350204
