,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,bottom deviate,14,-0.074373811033607684,-0.046100190234622758,h>h60,h5>h60,100,long_1,5.0
NI,long_1,null,null,-2,-0.040822179732313578,-0.016493911643353124,h>h60,h5>h60|today,77,long_1,2.7
FG,long_1,null,bottom deviate,6,-0.084023635962005794,-0.02323834769162797,h>h60,h5>h60,75,long_1,3.9
I,long_1,null,null,-2,-0.10719798159691303,-0.06515286435143966,h>h60,h5>h60,75,long_1,2.7
AU,long_1,null,top deviate,0,-0.0093711027970790044,-0.014377338321753363,h>h60,h5>h60,71,long_1,2.9
L,long_1,null,null,-3,-0.028123953098827533,-0.032847571189279792,h>h60,h5>h60,70,long_1,2.5
TA,long_1,null,null,4,-0.041523341523341591,-0.040207090207090269,h>h60,h5>h60,70,long_1,3.5
ZN,long_1,null,null,0,-0.059092346616065737,-0.038747628083491463,h>h60,h5>h60,69,long_1,2.9
IC,long_1,null,bottom deviate,0,-0.026911488726644603,-0.024778873694228258,h>h60,h5>h60,67,long_1,2.8
MA,long_1,null,bottom deviate,11,-0.021193829644533809,-0.023641851106639838,h>h60,h5>h60,67,long_1,4.3
PP,long_1,null,null,-1,-0.053336663862010941,-0.02431636516617593,h>h60,h5>h60,67,long_1,2.7
IF,long_1,null,null,1,-0.03358268967981673,-0.030668049079228009,h>h60,h5>h60,60,long_1,2.9
IH,long_1,null,null,1,-0.037213660500834404,-0.021611596390109036,h>h60,h5>h60,54,long_1,2.7
V,long_1,null,bottom deviate,-3,-0.018404307391091487,-0.029123837493881501,h>h60,h5>h60,38,long_1,1.8
BU,long_1,null,null,-12,-0.016998036327933178,-0.019734904270986713,h>h60,h5>h60,25,long_1,0.5
JM,long_1,null,bottom deviate,2,-0.099091783952845,-0.036256465776494655,h>h60,h5>h60,25,long_1,2.3
CU,long_2,null,top deviate,-1,-0.011600145799161654,0.0041552761071623834,h>h60,null,80,null,2.5
RM,long_2,null,null,-1,-0.015237265999129298,0.0067696996081846681,h>h60,h5>h60|today,75,null,2.3
RU,null,null,top deviate,-14,0.0050426136363636367,0.011434659090909091,h<h60,h5<h60,76,null,0.0
AG,null,3_short,top deviate,0,0.0044373127941805656,-0.0029268292682927063,h<h60,h5<h60,71,null,0.0
J,null,3_short,bottom deviate,14,0.001300891351481483,-0.0099975909419417006,h>h60,h5>h60,67,null,0.0
RB,null,null,null,7,0.011413612565445002,-0.0025130890052355785,h>h60,h5>h60|today,63,short_1,0.0
CS,null,null,top deviate,4,0.0027148253068932956,0.0063739376770538241,h<h60,h5<h60|today,50,null,0.0
HC,short_1,null,bottom deviate,9,0.010642154324184337,0.0035473847747280731,h<h60,h5<h60|today,67,short_1,0.8
M,short_1,null,null,5,0.014834834834834781,0.0083423423423423758,h>h60,h5>h60|today,65,short_1,1.4
AL,short_1,null,top deviate,-3,0.048137973137973099,0.019036519036519078,h<h60,h5<h60,54,short_1,2.9
P,short_1,null,null,-3,0.030258899676375392,0.023132935026138841,h>h60,h5>h60,50,short_1,2.9
T,short_1,null,gold cross,0,0.013215351965756293,0.0024855221035210051,h<h60,h5<h60,50,short_1,2.5
JD,short_1,null,top deviate,0,0.034192624418188371,0.02191192266380234,h<h60,h5<h60,0,short_1,3.5
SF,short_1,null,null,0,0.04974263948939673,0.036025324274243389,h<h60,h5<h60,0,short_1,3.5
TF,short_2,null,null,0,0.0054498150261047323,-0.00035957542440286913,h<h60,h5<h60,75,null,1.5
