,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,top deviate,16.0,-0.073334382541180909,-0.044376245934319485,h>h60,h5>h60|today,100.0,long_1,5.0
FG,long_1,2_long,top deviate,1.0,-0.059038114569237778,-0.00013531799729367083,h<h60,h5<h60,80.0,null,3.3
TA,long_1,null,null,3.0,-0.01779206859592718,-0.0078599499821364778,h<h60,h5<h60,80.0,long_1,3.5
L,long_1,null,null,-2.0,-0.01487127371273719,-0.010298102981029872,h<h60,h5<h60,70.0,long_1,2.6
ZN,long_1,null,null,0.0,-0.041749792186201118,-0.023620436089264066,h<h60,h5<h60,69.0,long_1,2.9
AU,long_1,null,null,0.0,-0.0092117758784434779,-0.0069711538461537815,h<h60,h5<h60|today,65.0,long_1,2.8
IH,long_1,null,top deviate,0.0,-0.062626166651514964,-0.026868927026922701,h>h60,h5>h60,62.0,long_1,2.7
IF,long_1,null,null,0.0,-0.038257854739665531,-0.029747487236195892,h>h60,h5>h60,60.0,long_1,2.7
I,long_1,null,top deviate,0.0,-0.051010338345864638,-0.0067982456140351019,h<h60,h5<h60,50.0,long_1,2.5
BU,long_1,null,top deviate,-14.0,-0.029723225030084292,-0.010830324909747292,h>h60,h5>h60,25.0,long_1,0.5
RM,long_2,null,null,-1.0,-0.0080115547754862713,0.0060114085125054046,h>h60,h5>h60|today,75.0,long_2,2.3
NI,null,null,null,0.0,0.0073400638714329865,0.022087153600494489,h<h60,h5<h60,77.0,null,0.0
IC,null,null,null,0.0,0.0024784176449755362,0.0068838466594971347,h<h60,h5<h60,75.0,null,0.0
PP,null,null,null,-2.0,-0.035956740835373875,0.0028478654317044606,h<h60,h5<h60,67.0,null,0.0
RB,null,3_short,null,2.0,0.00075757575757578132,-0.0033699059561128762,h>h60,h5>h60|today,63.0,short_1,0.0
V,null,null,null,-0.0,0.01826874366767979,0.017527862208713225,h<h60,h5<h60,63.0,null,0.0
SF,null,null,bottom deviate,0.0,0.00923706810465353,-0.010560215698022768,h>h60,h5>h60,50.0,null,0.0
JM,null,null,top deviate,5.0,-0.024647796303476775,0.029623885226832142,h<h60,h5<h60,25.0,null,0.0
MA,short_1,null,top deviate,14.0,0.028042328042328042,0.034638447971781242,h<h60,h5<h60,83.0,short_1,0.3
RU,short_1,null,null,-14.0,0.00078244499352869321,0.0031533121543710595,h<h60,h5<h60|today,82.0,null,3.4
CU,short_1,null,null,-0.0,0.023554643789630736,0.02135397239835882,h<h60,h5<h60,73.0,short_1,2.0
HC,short_1,null,null,6.0,0.0074642392717814872,0.0047594278283485522,h<h60,h5<h60,67.0,short_1,1.3
M,short_1,2_short,null,3.0,0.011693159922928752,0.0032695086705202968,h>h60,h5>h60|today,65.0,short_1,1.8
AL,short_1,null,null,-1.0,0.079583475588938205,0.041015135996358212,h<h60,h5<h60,54.0,short_1,2.6
J,short_1,null,null,13.0,0.044875393382665676,0.034651696861444294,h<h60,h5<h60,50.0,short_1,1.0
P,short_1,null,null,-2.0,0.06364981345683772,0.050939148333976503,h<h60,h5<h60,50.0,short_1,2.8
JD,short_1,null,top deviate,0.0,0.032008709853021206,0.024319542732716359,h<h60,h5<h60,0.0,short_1,3.5
T,short_1,null,null,0.0,0.02111837327523567,0.0097957516339865647,h<h60,h5<h60,0.0,short_1,3.5
CS,short_2,null,null,5.0,0.0079034548035966951,0.0071462375769048318,h<h60,h5<h60,100.0,null,0.2
AG,short_2,2_short,null,0.0,0.0066838709677419592,0.0043354838709677886,h<h60,h5<h60|today,71.0,long_1,1.6
TF,short_2,null,null,0.0,0.010451225873761986,0.0045461658841938913,h<h60,h5<h60,50.0,short_2,2.0
