,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
I,long_1,null,bottom deviate,1.4%,-0.059307667934093776,-0.032699619771863093,h<h60,null,75%,long_1
CU,long_1,null,null,1.6%,-0.033141447368421055,-0.024652777777777777,h>h60,h5>h60,73%,long_1
NI,long_1,null,bottom deviate,1.1%,-0.038829340058848257,-0.023686422866750736,h<h60,null,69%,long_1
PP,long_1,null,death cross,1.5%,-0.027819391288500039,-0.0092892290869328303,h>h60,h5>h60,67%,long_1
FG,long_1,null,bottom deviate,-4.5%,-0.084791108132261012,-0.024240393208221678,h>h60,h5>h60,50%,long_1
ZC,long_1,null,null,-9.8%,-0.080496227818509888,-0.054122834980341858,h<h60,h5<h60,50%,long_1
IH,long_1,null,bottom deviate,1.0%,-0.050804196176457962,-0.0059845924177207889,h>h60,h5>h60,46%,long_1
JM,long_1,null,death cross,-0.8%,-0.070766995198382643,-0.013153904473085601,h<h60,h5<h60|today,25%,long_1
L,null,2_short,death cross,1.0%,0.0062685524707526393,0.00041906757464641174,h>h60,h5>h60,80%,null
RU,null,null,top deviate,16.3%,0.0072734829592685383,0.0096069350433440649,h<h60,h5<h60,76%,null
TF,null,null,bottom deviate,null,0.0051454978511895257,-0.00013721327603168144,h>h60,h5>h60,75%,short_1
ZN,null,2_long,null,-1.0%,-0.029217660218449747,-0.00012501644953288114,h<h60,null,69%,long_1
MA,null,3_long,null,-16.4%,-0.0013272790778903884,0.022004889975550123,h<h60,h5<h60,67%,null
AU,null,null,null,null,0.0067757290913469034,-0.0031995661605205743,h>h60,h5>h60|today,59%,short_1
RM,null,null,top deviate,-0.4%,-0.017943986105080252,0.013178462874511467,h<h60,h5<h60,50%,null
AG,null,null,null,null,0.024223090277777835,-0.013593749999999953,h>h60,h5>h60|today,47%,short_2
CS,null,3_long,null,-3.4%,-0.0011638954869357806,0.0051306413301663569,h<h60,h5<h60|today,0%,long_1
SF,null,null,null,null,0.01013587226023999,0.031835763165724486,h<h60,h5<h60|today,0%,long_2
P,short_1,null,null,1.0%,0.067655585620409769,0.067162736760726705,h<h60,h5<h60,80%,short_1
M,short_1,null,top deviate,-5.2%,0.0099021713194940991,0.013761632068718617,h<h60,h5<h60,71%,short_1
AL,short_1,null,null,2.3%,0.067726396917148324,0.059299557973478412,h>h60,h5>h60,69%,short_1
HC,short_1,null,null,-9.5%,0.014365120722598544,0.021951537258989056,h<h60,h5<h60|today,67%,null
TA,short_1,null,null,-5.2%,0.0081034054188415805,0.0077554064131246016,h>h60,h5>h60|today,60%,short_1
IC,short_1,null,null,0.1%,0.018150105963491474,0.0086038552709019195,h<h60,h5<h60|today,57%,short_1
J,short_1,null,null,-9.2%,0.023354828042328118,0.04289434523809519,h<h60,h5<h60|today,50%,long_2
T,short_1,2_short,bottom deviate,null,0.010807508459100584,0.0017365773313994665,h>h60,h5>h60,50%,short_1
BU,short_1,null,top deviate,4.0%,0.025590652285567565,0.0080123266563945222,h<h60,h5<h60,25%,short_1
JD,short_1,null,null,null,0.017474879860200923,0.017653997378767997,h<h60,h5<h60,0%,short_1
RB,short_2,null,death cross,-16.7%,0.014231715893108307,0.012157172995780566,h<h60,h5<h60|today,63%,long_1
IF,short_2,3_short,bottom deviate,0.9%,0.0042288763640918889,-0.0038865432385901191,h>h60,h5>h60,53%,null
V,short_2,null,null,1.2%,0.013528138528138575,-0.014591291061879298,h<h60,h5<h60,50%,null
