,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,null,15,-0.082873274780425929,-0.054642409033877085,h>h60,h5>h60,100,long_1,5.0
NI,long_1,null,null,0,-0.045193744396852274,-0.021735232592887739,h>h60,h5>h60,77,long_1,3.0
FG,long_1,null,null,3,-0.082206012378426188,-0.021220159151193633,h>h60,h5>h60,75,long_1,3.4
L,long_1,null,top deviate,-1,-0.034522621423818969,-0.037524950099800398,h>h60,h5>h60,70,long_1,2.7
TA,long_1,null,death cross,3,-0.035120517342739542,-0.033280423280423251,h>h60,h5>h60,70,long_1,3.3
ZN,long_1,null,null,0,-0.047515349194167306,-0.027519826042466149,h>h60,h5>h60,69,long_1,2.9
IC,long_1,null,bottom deviate,-1,-0.020780844652615146,-0.017834209211554045,h>h60,h5>h60,67,long_1,2.7
MA,long_1,null,null,11,-0.020201342281879135,-0.020335570469798628,h>h60,h5>h60,67,long_1,4.3
PP,long_1,null,null,0,-0.060509399214705217,-0.030850620243927939,h>h60,h5>h60,67,long_1,2.8
AU,long_1,null,null,0,-0.0064063616869201052,-0.0099892780557541659,h<h60,null,65,long_1,2.8
V,long_1,null,null,-2,-0.011970704086656864,-0.020728705071393357,h>h60,h5>h60,63,long_1,2.5
IH,long_1,null,null,1,-0.04504117906086065,-0.027646104935883688,h>h60,h5>h60,54,long_1,2.7
IF,long_1,null,null,0,-0.03733534282020165,-0.033348655472764679,h>h60,h5>h60,53,long_1,2.6
I,long_1,null,bottom deviate,-1,-0.10115637123246793,-0.056968069233064848,h>h60,h5>h60,50,long_1,2.3
BU,long_1,null,null,-14,-0.030382196419932193,-0.028592162554426773,h>h60,h5>h60,25,long_1,0.5
JM,long_1,null,bottom deviate,0,-0.082097405775819823,-0.019175232501223612,h<h60,null,25,long_1,2.0
RM,null,null,bottom deviate,-2,-0.010931351114997814,0.0098819414079579834,h<h60,h5<h60|today,75,long_2,0.0
CU,null,null,null,0,-0.0050209968961110098,0.0073763008946503561,h<h60,null,67,long_2,0.0
HC,null,3_short,null,8,0.0043843843843843766,-0.0027670527670527671,h>h60,h5>h60|today,67,short_1,0.0
RB,null,3_short,null,6,0.0023265870956581986,-0.010508562532433836,h>h60,h5>h60|today,63,null,0.0
AG,short_1,2_short,null,0,0.010023249806251662,0.0039783001808318501,h<h60,h5<h60,76,null,2.0
RU,short_1,null,null,-14,0.0065670934091987153,0.013051209103840682,h<h60,h5<h60,76,null,3.5
M,short_1,null,bottom deviate,4,0.016997952053969392,0.0098843512829779219,h<h60,h5<h60|today,71,short_1,1.5
AL,short_1,null,null,-2,0.052074977718360033,0.021039438502673796,h<h60,h5<h60,54,short_1,2.7
CS,short_1,null,top deviate,7,0.0012711864406778804,0.0040018832391713749,h<h60,h5<h60,50,null,1.4
P,short_1,null,null,-2,0.036843918326443639,0.028811223850682643,h<h60,h5<h60|today,50,short_1,2.8
SF,short_1,null,null,0,0.047814460557441131,0.029466214131440915,h<h60,h5<h60,50,short_1,2.5
T,short_1,null,null,0,0.015545608625880978,0.0047483817457309747,h<h60,h5<h60,50,short_1,2.5
JD,short_1,null,top deviate,0,0.032545014780972832,0.021298038161784466,h<h60,h5<h60,0,short_1,3.5
TF,short_2,null,null,0,0.0068430893886675635,0.0010552468013640384,h<h60,h5<h60,75,short_2,1.5
J,short_2,null,bottom deviate,8,0.019945959223777898,0.0075165806927045848,h<h60,h5<h60|today,67,null,0.5
