,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,null,14.0,-0.10348544373929619,-0.072655384305429518,cl>hm,h5>h60,100.0,long_1,5.0
TA,long_1,null,null,0.0,-0.03782719481121153,-0.023141070187630269,cl>hm,h5>h60,80.0,long_1,2.2
IF,long_1,null,null,0.0,-0.056007954566180691,-0.043705833804513025,cl>hm,h5>h60,73.0,long_1,2.2
AU,long_1,2_long,gold cross,0.0,-0.0075427960057069766,-0.0023002853067048451,cl>hm,h5>h60|today,71.0,null,2.1
HC,long_1,null,null,5.0,-0.016577811627316624,-0.017542523483117519,cl>hm,h5>h60,67.0,long_1,4.0
PP,long_1,2_long,bottom deviate,-0.0,-0.042785729320143052,-0.0024994737949905282,cl<hm,null,67.0,long_1,2.1
RB,long_1,null,null,3.0,-0.026607445008460275,-0.020025380710659922,cl>hm,h5>h60,63.0,long_1,3.7
V,long_1,null,null,-1.0,-0.014297085476365462,-0.015478814597109924,cl>hm,h5>h60|today,63.0,long_1,2.0
IH,long_1,null,death cross,1.0,-0.081272809556959993,-0.026299879351459866,cl>hm,h5>h60,62.0,long_1,1.5
ZN,long_1,null,null,-0.0,-0.032055234425176576,-0.017064868336544591,cl<hm,h5<h60|today,62.0,long_1,3.4
L,long_1,null,null,-0.0,-0.017804179305696052,-0.0083586113919783683,cl<hm,h5<h60,60.0,long_1,2.0
SF,long_1,null,null,0.0,-0.010745679012345742,-0.023659259259259231,cl>hm,h5>h60,50.0,long_1,2.0
BU,long_1,null,null,-13.0,-0.055726615348728789,-0.028551434569629081,cl>hm,h5>h60|today,25.0,long_2,1.1
IC,long_2,null,null,0.0,-0.013547755710091905,-0.0080423319834006506,cl>hm,h5>h60|today,67.0,long_2,1.8
RM,null,null,bottom deviate,-1.0,-0.0093407796758650102,0.0023653088042050333,cl<hm,h5<h60|today,100.0,long_1,0.0
FG,null,null,null,-1.0,-0.039293901879871689,0.016872994039431433,cl>hm,h5<h60,80.0,null,0.0
NI,null,null,bottom deviate,0.0,-0.0034774245798744685,-0.0011945738003644461,cl<hm,h5>h60,77.0,null,0.0
I,null,null,top deviate,4.0,-0.032456978967495262,0.019375398342893549,cl>hm,h5<h60,50.0,null,0.0
JM,null,null,gold cross,8.0,-0.022983610788488883,0.026880887856497636,cl>hm,h5>h60|today,50.0,null,0.0
CS,short_1,null,top deviate,7.0,0.017778310940499129,0.012284069097888631,cl<hm,h5<h60,100.0,short_1,1.1
MA,short_1,null,bottom deviate,8.0,0.021052631578947337,0.010985517484987604,cl<hm,h5>h60,83.0,short_1,0.6
AG,short_1,null,null,0.0,0.014832203095113924,0.0091027647365675771,cl>hm,h5<h60,71.0,short_1,1.8
RU,short_1,null,null,-15.0,0.028698332124728065,0.028788977519941986,cl>hm,h5<h60,71.0,short_1,2.4
CU,short_1,null,null,-2.0,0.036477509963940023,0.025754412602011768,cl>hm,h5<h60,67.0,short_1,3.2
J,short_1,null,null,9.0,0.016086775135586203,0.0058072590738422573,cl>hm,h5>h60,67.0,short_1,2.1
AL,short_1,null,null,-2.0,0.078744167520200331,0.030198019801980197,cl>hm,null,62.0,short_1,3.3
P,short_1,null,null,-1.0,0.051951779563719859,0.033097333843602417,cl<hm,h5>h60|today,60.0,short_1,1.9
TF,short_1,null,null,0.0,0.0095707505346067385,0.0038708948347503823,cl>hm,h5<h60,50.0,short_1,2.0
JD,short_1,null,null,0.0,0.013660025130138158,0.0066235864297253394,cl>hm,h5>h60|today,0.0,short_1,2.4
T,short_1,null,null,0.0,0.020124963673350586,0.0088546207497815742,cl>hm,h5<h60,0.0,short_1,2.4
M,short_2,2_short,death cross,2.0,0.0084510443076180677,0.0037486417964505284,cl<hm,h5<h60|today,59.0,null,1.4
