,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,bottom deviate,15,-0.074684443041968585,-0.045824129588724213,h>h60,h5>h60,100,long_1,5.0
FG,long_1,null,bottom deviate,3,-0.067999551971326205,-0.0064516129032257457,h<h60,null,75,long_1,3.4
L,long_1,null,null,-3,-0.045517241379310347,-0.044942528735632127,null,null,70,long_1,2.5
TA,long_1,null,null,3,-0.028460176991150474,-0.024566371681415962,h<h60,h5<h60|today,70,long_1,3.3
IC,long_1,null,null,0,-0.018645997444539989,-0.014901734858275539,null,null,67,long_1,2.8
PP,long_1,null,null,-2,-0.066707132279505407,-0.03311292488893481,null,null,67,long_1,2.5
AU,long_1,null,gold cross,0,-0.011467590946795531,-0.01238890863846432,h>h60,h5>h60,65,long_1,2.8
V,long_1,null,top deviate,-3,-0.019035409035409078,-0.022979242979242934,null,null,63,long_1,2.3
IF,long_1,null,null,0,-0.037838817357002168,-0.03260652781065166,null,null,60,long_1,2.7
IH,long_1,null,null,0,-0.048886412023233135,-0.023966411581528766,null,null,54,long_1,2.6
I,long_1,null,null,-1,-0.068917668825161885,-0.021677459142769098,h<h60,h5<h60|today,50,long_1,2.3
BU,long_1,null,null,-14,-0.026780523255813888,-0.018095930232558205,h>h60,h5>h60,25,long_1,0.5
ZN,long_1,null,null,0,-0.053058409436834097,-0.033691653982749918,h>h60,h5>h60,0,long_1,1.5
RU,long_2,null,null,-14,-0.0062339181286550135,0.00017543859649122806,h>h60,h5>h60,76,short_1,1.0
NI,null,2_long,null,-1,-0.023491487861388133,-0.0012994862496222425,h<h60,h5<h60|today,77,long_1,0.0
RM,null,null,null,-2,0.0059905100830367868,0.023887900355871804,h<h60,h5<h60,75,null,0.0
MA,null,null,null,11,-0.005156569094622223,0.00081688223281146726,h<h60,h5<h60|today,67,long_1,0.0
JM,null,null,null,1,-0.056882286573899959,0.0043750783502569434,h<h60,h5<h60|today,25,long_1,0.0
AG,short_1,2_short,null,0,0.0058717486479526607,0.0014164305949008499,h<h60,h5<h60|today,76,short_1,2.0
M,short_1,null,null,4,0.031472640470069708,0.022769004774146163,h<h60,h5<h60,71,short_1,1.5
CU,short_1,null,null,-1,0.0053361498897869213,0.010874357090374724,h<h60,h5<h60|today,67,long_2,2.3
HC,short_1,null,death cross,7,0.015675534689619172,0.010185185185185233,h<h60,h5<h60|today,67,null,1.1
RB,short_1,null,death cross,5,0.017181586127981676,0.0088460522841299176,h<h60,h5<h60|today,63,null,1.5
AL,short_1,null,gold cross,-1,0.041718818620992491,0.0097990777338603421,h>h60,h5>h60|today,54,short_1,2.6
CS,short_1,3_short,top deviate,6,0.0016227657572906011,0.0028222013170272815,null,null,50,short_1,1.6
J,short_1,null,null,10,0.029742058555196259,0.019606867379945304,h<h60,h5<h60,50,short_2,1.0
P,short_1,null,null,-3,0.049223405604158728,0.039831368074045907,h<h60,h5<h60,50,short_1,2.9
SF,short_1,null,null,0,0.0497521685254027,0.024938042131350681,null,null,50,short_1,2.5
T,short_1,null,gold cross,0,0.016752912489839636,0.0057852433848094411,null,null,50,short_1,2.5
JD,short_1,null,null,0,0.026553824108902065,0.017598065556152606,null,null,0,short_1,3.5
TF,short_2,null,top deviate,0,0.0078119853693217577,0.0020099849186124286,null,null,75,short_2,1.5
