,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,top deviate,-5.4%,-0.083179749715585907,-0.043230944254834987,h<h60,h5<h60,75%,long_1
M,long_1,null,null,-4.6%,-0.02714418173388964,-0.018810848400556298,h>h60,h5>h60,53%,long_1
I,long_1,null,top deviate,3.5%,-0.036399604352126559,-0.028354764259808731,h<h60,h5<h60,25%,long_1
JM,long_1,null,top deviate,6.6%,-0.055831689677843514,-0.014003944773175542,h<h60,h5<h60,25%,long_1
RM,long_1,null,bottom deviate,3.0%,-0.050654837346852596,-0.020912547528517109,h>h60,h5>h60,25%,long_1
J,long_1,null,top deviate,6.8%,-0.043384962891255298,-0.010830106485963213,h<h60,h5<h60,17%,null
HC,long_1,null,top deviate,-6.3%,-0.016823699176640339,-0.0081359816653933832,h<h60,h5<h60,100%,null
MA,long_1,null,null,-4.3%,-0.050286989795918308,-0.034088010204081663,h>h60,h5>h60,100%,long_1
ZC,long_1,null,gold cross,-2.4%,-0.10177995898036921,-0.0632776638343584,h>h60,h5>h60|today,0%,long_1
PP,long_2,null,null,3.4%,-0.027211129598816691,0.0058846367165833911,h>h60,null,33%,null
RB,null,null,top deviate,-16.8%,-0.02540008557980318,0.010243902439024413,h<h60,h5<h60,88%,null
ZN,null,null,top deviate,-1.5%,-0.017801956815114661,0.020509446693657171,h<h60,h5<h60,62%,null
TA,null,3_long,null,-3.9%,-0.0029168211593128615,0.0067111605487578455,h<h60,h5<h60,60%,null
BU,null,null,top deviate,6.0%,0.014819033156162986,0.03257403189066066,h<h60,h5<h60,50%,null
V,null,null,null,3.6%,-0.032503687315634217,-0.05911996066863319,h>h60,h5>h60,50%,null
IH,null,null,null,1.6%,-0.056471876614582063,0.0045069470626830938,h<h60,h5<h60,46%,null
CS,null,3_long,null,-3.5%,-0.0029932950191570882,0.0011973180076628352,h<h60,h5<h60|today,0%,null
JD,null,null,top deviate,null,0.0016287487073423429,0.011065149948293738,h<h60,h5<h60,0%,null
L,short_1,null,null,1.3%,0.019193519985912948,0.016446557492516223,h<h60,h5<h60,80%,short_1
IC,short_1,null,null,-0.8%,0.033846153887497843,0.023396791945680947,h<h60,h5<h60,67%,short_1
NI,short_1,null,null,0.9%,0.044297409442637659,0.016586295839407874,h<h60,h5<h60,62%,short_1
CU,short_1,null,top deviate,0.2%,0.026339199381164184,0.018197640688454843,h<h60,h5<h60,60%,short_1
P,short_1,null,top deviate,3.4%,0.035474493623405781,0.049749937484371044,h<h60,h5<h60,56%,short_1
AL,short_1,null,top deviate,3.4%,0.095063453254162336,0.1173710560018628,h<h60,h5<h60,54%,short_1
T,short_1,null,null,null,0.017587449669254927,0.010468794938164699,h>h60,h5>h60,50%,short_1
IF,short_1,null,null,1.0%,0.014550718555893813,0.018330963680870116,h<h60,h5<h60,47%,short_1
TF,short_1,null,null,null,0.0088413843200339844,0.0042624396824571037,h>h60,null,25%,short_1
RU,short_2,null,top deviate,15.7%,0.026486614546315995,0.00650319829424307,h<h60,h5<h60,47%,short_2
