,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
RM,long_1,null,null,-2.0,-0.022356669547680692,-0.011538461538461459,cl>hm,h5>h60|today,100.0,null,2.3
ZC,long_1,null,null,13.0,-0.11073459006582814,-0.079383602633153555,cl<hm,h5>h60,100.0,long_1,5.0
NI,long_1,null,null,3.0,-0.054891096675582729,-0.054518532670997329,cl>hm,h5>h60,85.0,null,4.1
TA,long_1,null,null,-1.0,-0.036781210227930128,-0.021659146129816068,cl>hm,h5>h60,80.0,long_1,2.2
IF,long_1,null,null,-0.0,-0.048476896380990758,-0.03422537661718545,cl>hm,h5>h60,73.0,long_1,2.2
ZN,long_1,null,null,1.0,-0.042613564268493803,-0.028774901662225651,cl>hm,h5>h60|today,69.0,long_1,3.6
HC,long_1,null,null,5.0,-0.024316389867471869,-0.024723200805234023,cl>hm,h5>h60,67.0,long_1,4.0
AU,long_1,null,null,0.0,-0.012064477965099811,-0.0062111801242234008,cl>hm,h5>h60,65.0,long_1,2.1
RB,long_1,null,null,2.0,-0.032114948323670303,-0.023519032014116505,cl>hm,h5>h60,63.0,long_1,3.6
IH,long_1,null,null,-1.0,-0.073718859108402063,-0.015174588233803249,cl<hm,h5>h60,62.0,long_1,2.0
L,long_1,null,gold cross,-1.0,-0.021030547163477738,-0.010758643840214898,cl>hm,h5>h60|today,60.0,long_1,2.0
SF,long_1,null,top deviate,0.0,-0.012938271604938227,-0.024118518518518546,cl<hm,h5>h60,50.0,long_1,1.4
V,long_1,null,null,-1.0,-0.022760378732702112,-0.023063850449138095,cl>hm,h5>h60,50.0,long_1,1.9
BU,long_1,null,null,-15.0,-0.07299954275262921,-0.042043895747599418,cl>hm,h5>h60,25.0,long_1,1.1
FG,long_2,null,null,-1.0,-0.061599552572706912,-0.0073378076062640225,cl>hm,h5>h60|today,80.0,null,1.9
IC,long_2,null,bottom deviate,1.0,-0.011771190977177973,-0.0051573074108952049,cl>hm,h5>h60,67.0,long_2,1.9
PP,long_2,2_long,null,-1.0,-0.045414744127516858,-0.0045826342281879958,cl>hm,h5>h60|today,67.0,long_1,1.7
JM,long_2,null,null,6.0,-0.043264494126563163,0.0058986990021472549,cl>hm,h5>h60,50.0,null,3.3
MA,null,2_short,null,10.0,0.01752377597745685,0.0028178936245156746,cl<hm,h5>h60,83.0,short_1,0.0
AG,null,null,null,0.0,-0.0060764776017714107,-0.010730710270822688,cl>hm,h5>h60|today,71.0,short_1,0.0
J,null,null,null,8.0,-0.016214251090644713,-0.02380029083858454,cl>hm,h5>h60,67.0,short_1,0.0
M,null,3_short,null,3.0,0.00077937649880090469,-0.0039568345323741008,cl>hm,h5>h60|today,59.0,short_2,0.0
I,null,null,gold cross,3.0,-0.044287063267233216,0.0082782499213093965,cl>hm,h5<h60,50.0,null,0.0
CS,short_1,null,null,8.0,0.017306769083053376,0.011377820451272115,cl<hm,h5<h60,100.0,short_1,1.0
RU,short_1,null,null,-14.0,0.030559593023255813,0.030220445736434152,cl>hm,h5<h60,71.0,short_1,2.4
CU,short_1,2_short,null,1.0,0.013761382642631482,0.0020628136034194387,cl>hm,h5>h60|today,67.0,short_1,2.9
P,short_1,null,bottom deviate,-2.0,0.052278820375335121,0.032216264521894598,cl<hm,h5>h60,60.0,short_1,1.4
AL,short_1,null,null,-1.0,0.068611862877762789,0.018938881371222332,cl>hm,h5>h60|today,54.0,short_1,3.3
TF,short_1,null,null,0.0,0.008771586921019708,0.0031516035998472957,cl<hm,h5<h60,50.0,short_1,2.0
JD,short_1,null,bottom deviate,0.0,0.020966865833785937,0.013620315046170584,cl<hm,null,0.0,short_1,1.8
T,short_1,null,null,0.0,0.019147835556765472,0.0079408294763584492,cl<hm,h5<h60,0.0,short_1,2.4
