,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,焦煤,焦煤,甲醇,豆粕,玉米,焦煤,焦炭,棕榈油,焦炭,PVC,焦炭,沪铜,玻璃
1,焦炭,铁矿石,沪镍,菜粕,塑料,焦炭,沪锌,PVC,沪银,动力煤,动力煤,螺纹钢,沪铜
2,铁矿石,塑料,白糖,豆一,焦煤,塑料,白糖,焦炭,螺纹钢,PTA,螺纹钢,沪铝,菜粕
3,螺纹钢,焦炭,沪铜,沪镍,沥青,铁矿石,螺纹钢,淀粉,白糖,菜粕,甲醇,沪锌,动力煤
4,热卷,甲醇,沪锌,豆油,淀粉,PVC,豆一,沪铝,焦煤,塑料,沪铜,焦炭,鸡蛋
