,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2000/1/4,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/5,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/6,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/7,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/10,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/11,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/12,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/13,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/14,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/17,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/18,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/19,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0003.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/20,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/21,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/24,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/25,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/26,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/27,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/1/28,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0005.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/14,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/15,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/16,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/17,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/18,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/21,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/22,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/23,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/24,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/25,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/28,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0004.SHF,,,,,RU0004.SHF,,,,,,,
2000/2/29,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/1,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/2,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0006.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/3,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/6,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/7,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/8,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/9,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/10,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/13,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0005.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/14,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/15,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/16,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/17,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/20,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/21,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/22,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/23,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
2000/3/24,A0009.DCE,,,,,,,,,,,,,,,,,,,,CU0007.SHF,,AL0007.SHF,,,,,RU0004.SHF,,,,,,,
