,排名前五,排名后五
5日收益,"热卷,螺纹钢,沪镍,聚丙烯,PVC","沪银,棉花,沪金,鸡蛋,动力煤"
5日资金流向,"焦炭,豆粕,铁矿石,豆油,PTA","沪金,沪锌,沪镍,螺纹钢,沪铜"
5日资金流向变化率,"焦炭,豆粕,PTA,豆油,铁矿石","沪锌,塑料,沪镍,鸡蛋,玻璃"
20日收益,"沥青,豆粕,菜粕,豆一,甲醇","鸡蛋,螺纹钢,天胶,铁矿石,焦炭"
20日资金流向,"豆粕,棉花,豆油,PVC,焦煤","热卷,沪镍,沪锌,沪铝,沪铜"
20日资金流向变化率,"豆粕,棉花,PVC,焦煤,豆油","淀粉,沪铝,热卷,鸡蛋,玻璃"
