,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,菜粕,菜粕,豆粕,豆粕,玉米,焦煤,PVC,PVC,沪铝,动力煤,动力煤,沪铜,玻璃
1,豆粕,豆粕,菜粕,菜粕,塑料,棉花,聚丙烯,棉花,棕榈油,PVC,淀粉,沪铝,热卷
2,沪镍,豆油,热卷,焦炭,焦煤,聚丙烯,沪镍,玻璃,鸡蛋,焦煤,沪锌,沪锌,菜粕
3,豆油,豆一,PVC,焦煤,沥青,鸡蛋,焦煤,天胶,棉花,豆一,塑料,焦炭,沪铜
4,淀粉,玉米,豆一,豆一,淀粉,沪金,焦炭,豆粕,沪铜,聚丙烯,螺纹钢,热卷,鸡蛋
