,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,玉米,甲醇,甲醇,天胶,豆一,棕榈油,焦煤,淀粉,甲醇,玉米,焦煤,豆粕,豆粕
1,棉花,塑料,沪铝,甲醇,沪镍,螺纹钢,热卷,棕榈油,焦炭,沪金,沥青,铁矿石,天胶
2,沪锌,PVC,PVC,塑料,玻璃,焦炭,PVC,玉米,豆粕,玻璃,沪金,天胶,沥青
3,沪银,沪金,聚丙烯,聚丙烯,甲醇,淀粉,玻璃,铁矿石,沪镍,螺纹钢,PVC,豆油,铁矿石
4,沪金,沥青,白糖,沪银,铁矿石,玉米,沪镍,聚丙烯,焦煤,棕榈油,豆粕,沥青,豆油
