,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,玉米,沥青,动力煤,铁矿石,豆一,焦炭,焦炭,焦炭,螺纹钢,玻璃,沪金,铁矿石,沥青
1,塑料,动力煤,鸡蛋,焦炭,沪镍,动力煤,沪金,沪金,沪镍,沪金,棉花,豆粕,铁矿石
2,PVC,天胶,沥青,天胶,玻璃,淀粉,热卷,白糖,沪金,玉米,玉米,天胶,沪镍
3,豆油,铁矿石,白糖,螺纹钢,沪锌,棉花,PTA,玻璃,热卷,棉花,沪镍,沪镍,天胶
4,棉花,甲醇,棉花,鸡蛋,甲醇,铁矿石,淀粉,塑料,棉花,动力煤,淀粉,豆油,豆粕
