,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,玉米,鸡蛋,焦炭,焦炭,豆一,鸡蛋,螺纹钢,沥青,螺纹钢,玉米,棉花,豆粕,豆粕
1,棉花,沪银,天胶,铁矿石,沪镍,沪铝,热卷,鸡蛋,棉花,玻璃,沪金,铁矿石,天胶
2,PTA,棕榈油,铁矿石,螺纹钢,玻璃,沪金,淀粉,沪金,棕榈油,沪铜,玉米,天胶,铁矿石
3,塑料,豆油,鸡蛋,鸡蛋,沪锌,PTA,白糖,玉米,沪金,鸡蛋,沥青,豆油,豆油
4,豆粕,沪金,螺纹钢,天胶,甲醇,白糖,棕榈油,螺纹钢,PTA,沪金,沪铜,沪镍,沥青
