,BU1402.SHF,BU1403.SHF,BU1404.SHF,BU1405.SHF,BU1406.SHF,BU1407.SHF,BU1408.SHF,BU1409.SHF,BU1410.SHF,BU1411.SHF,BU1412.SHF,BU1501.SHF,BU1502.SHF,BU1503.SHF,BU1504.SHF,BU1505.SHF,BU1506.SHF,BU1507.SHF,BU1508.SHF,BU1509.SHF,BU1510.SHF,BU1511.SHF,BU1512.SHF,BU1601.SHF,BU1602.SHF,BU1603.SHF,BU1604.SHF,BU1605.SHF,BU1606.SHF,BU1607.SHF,BU1608.SHF,BU1609.SHF,BU1610.SHF,BU1611.SHF,BU1612.SHF,BU1701.SHF,BU1702.SHF,BU1703.SHF,BU1704.SHF,BU1705.SHF,BU1706.SHF,BU1707.SHF,BU1708.SHF,BU1709.SHF,BU1710.SHF,BU1711.SHF,BU1712.SHF,BU1801.SHF,BU1802.SHF,BU1803.SHF,BU1804.SHF,BU1805.SHF,BU1806.SHF,BU1809.SHF,BU1812.SHF,BU1903.SHF,BU1906.SHF,BU1909.SHF,BU1912.SHF,BU1807.SHF,BU1808.SHF,BU2003.SHF
2013-10-09,65246.0,4456.0,,,700.0,,,124.0,,,222.0,,,48.0,,,4.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-10,54008.0,4218.0,,,648.0,,,128.0,,,236.0,,,44.0,,,10.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-11,60936.0,3214.0,,,564.0,,,112.0,,,236.0,,,44.0,,,10.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-14,67386.0,2720.0,,,498.0,,,110.0,,,238.0,,,44.0,,,18.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-15,63700.0,2544.0,,,514.0,,,108.0,,,242.0,,,44.0,,,18.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-16,67078.0,2442.0,2.0,,478.0,,,106.0,,,240.0,,,46.0,,,18.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-17,73002.0,2484.0,2.0,,440.0,,,104.0,,,242.0,,,46.0,,,18.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-18,75164.0,2628.0,2.0,,408.0,,,104.0,,,238.0,,,46.0,,,20.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-21,58838.0,2424.0,2.0,,398.0,,,106.0,,,236.0,,,46.0,,,24.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-22,56140.0,2488.0,2.0,,410.0,,,104.0,,,232.0,,,46.0,,,22.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-23,54076.0,2498.0,2.0,,496.0,,,106.0,,,232.0,,,46.0,,,22.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-24,53534.0,2330.0,2.0,,508.0,,,106.0,,,236.0,,,46.0,,,24.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,40222.0,2166.0,2.0,,496.0,,,104.0,,,336.0,,,46.0,,,22.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-28,93932.0,2482.0,2.0,,550.0,,,112.0,,,246.0,,,62.0,,,28.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-29,92778.0,2368.0,2.0,,566.0,,,88.0,,,250.0,,,56.0,,,28.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-30,60394.0,2204.0,2.0,,566.0,,,84.0,,,246.0,,,40.0,,,28.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-31,53198.0,2282.0,2.0,,608.0,,,80.0,,,248.0,,,38.0,,,26.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,42912.0,2338.0,2.0,,626.0,,,84.0,,,246.0,,,38.0,,,32.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-04,42202.0,2238.0,2.0,,658.0,,,82.0,,,244.0,,,38.0,,,32.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
