,RS1307.CZC,RS1308.CZC,RS1309.CZC,RS1311.CZC,RS1407.CZC,RS1408.CZC,RS1409.CZC,RS1411.CZC,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2012-12-28,244.0,14.0,8886.0,68.0,,,,,,,,,,,,,,,,,,,,
2012-12-31,106.0,12.0,8804.0,96.0,,,,,,,,,,,,,,,,,,,,
2013-01-04,90.0,6.0,13298.0,122.0,,,,,,,,,,,,,,,,,,,,
2013-01-07,138.0,16.0,22276.0,272.0,,,,,,,,,,,,,,,,,,,,
2013-01-08,110.0,22.0,18808.0,278.0,,,,,,,,,,,,,,,,,,,,
2013-01-09,108.0,16.0,19830.0,496.0,,,,,,,,,,,,,,,,,,,,
2013-01-10,106.0,16.0,19510.0,504.0,,,,,,,,,,,,,,,,,,,,
2013-01-11,106.0,16.0,22176.0,606.0,,,,,,,,,,,,,,,,,,,,
2013-01-14,90.0,6.0,22410.0,538.0,,,,,,,,,,,,,,,,,,,,
2013-01-15,92.0,6.0,23262.0,896.0,,,,,,,,,,,,,,,,,,,,
2013-01-16,94.0,2.0,20802.0,858.0,,,,,,,,,,,,,,,,,,,,
2013-01-17,92.0,16.0,20310.0,720.0,,,,,,,,,,,,,,,,,,,,
2013-01-18,90.0,26.0,19986.0,722.0,,,,,,,,,,,,,,,,,,,,
2013-01-21,86.0,18.0,19674.0,724.0,,,,,,,,,,,,,,,,,,,,
2013-01-22,86.0,18.0,18444.0,662.0,,,,,,,,,,,,,,,,,,,,
2013-01-23,100.0,18.0,27594.0,666.0,,,,,,,,,,,,,,,,,,,,
2013-01-24,100.0,18.0,26634.0,526.0,,,,,,,,,,,,,,,,,,,,
2013-01-25,94.0,18.0,20234.0,500.0,,,,,,,,,,,,,,,,,,,,
2013-01-28,88.0,18.0,17934.0,502.0,,,,,,,,,,,,,,,,,,,,
2013-01-29,88.0,18.0,17592.0,498.0,,,,,,,,,,,,,,,,,,,,
2013-01-30,88.0,18.0,17028.0,496.0,,,,,,,,,,,,,,,,,,,,
2013-01-31,88.0,18.0,16536.0,496.0,,,,,,,,,,,,,,,,,,,,
2013-02-01,88.0,18.0,15362.0,494.0,,,,,,,,,,,,,,,,,,,,
2013-02-04,84.0,18.0,14964.0,298.0,,,,,,,,,,,,,,,,,,,,
2013-02-05,84.0,18.0,15420.0,294.0,,,,,,,,,,,,,,,,,,,,
2013-02-06,84.0,18.0,15440.0,306.0,,,,,,,,,,,,,,,,,,,,
2013-02-07,84.0,12.0,14252.0,290.0,,,,,,,,,,,,,,,,,,,,
2013-02-08,78.0,12.0,13390.0,282.0,,,,,,,,,,,,,,,,,,,,
2013-02-18,78.0,12.0,13622.0,280.0,,,,,,,,,,,,,,,,,,,,
2013-02-19,72.0,12.0,12956.0,252.0,,,,,,,,,,,,,,,,,,,,
2013-02-20,70.0,12.0,13330.0,334.0,,,,,,,,,,,,,,,,,,,,
2013-02-21,70.0,12.0,15722.0,338.0,,,,,,,,,,,,,,,,,,,,
2013-02-22,70.0,12.0,19822.0,340.0,,,,,,,,,,,,,,,,,,,,
2013-02-25,24.0,10.0,14582.0,340.0,,,,,,,,,,,,,,,,,,,,
2013-02-26,22.0,10.0,13980.0,340.0,,,,,,,,,,,,,,,,,,,,
2013-02-27,22.0,4.0,18408.0,342.0,,,,,,,,,,,,,,,,,,,,
2013-02-28,22.0,4.0,20984.0,344.0,,,,,,,,,,,,,,,,,,,,
2013-03-01,22.0,4.0,21046.0,342.0,,,,,,,,,,,,,,,,,,,,
2013-03-04,20.0,4.0,19492.0,374.0,,,,,,,,,,,,,,,,,,,,
2013-03-05,20.0,4.0,19368.0,376.0,,,,,,,,,,,,,,,,,,,,
2013-03-06,18.0,4.0,19924.0,380.0,,,,,,,,,,,,,,,,,,,,
2013-03-07,18.0,4.0,21328.0,492.0,,,,,,,,,,,,,,,,,,,,
2013-03-08,18.0,4.0,23384.0,464.0,,,,,,,,,,,,,,,,,,,,
2013-03-11,18.0,4.0,22486.0,482.0,,,,,,,,,,,,,,,,,,,,
2013-03-12,18.0,4.0,22668.0,508.0,,,,,,,,,,,,,,,,,,,,
2013-03-13,6.0,4.0,22330.0,490.0,,,,,,,,,,,,,,,,,,,,
2013-03-14,6.0,4.0,22498.0,488.0,,,,,,,,,,,,,,,,,,,,
2013-03-15,6.0,4.0,22180.0,486.0,,,,,,,,,,,,,,,,,,,,
2013-03-18,6.0,4.0,21668.0,482.0,,,,,,,,,,,,,,,,,,,,
2013-03-19,6.0,4.0,21716.0,466.0,,,,,,,,,,,,,,,,,,,,
2013-03-20,6.0,4.0,21414.0,472.0,,,,,,,,,,,,,,,,,,,,
2013-03-21,6.0,4.0,20412.0,366.0,,,,,,,,,,,,,,,,,,,,
2013-03-22,6.0,4.0,20710.0,364.0,,,,,,,,,,,,,,,,,,,,
2013-03-25,6.0,2.0,20976.0,356.0,,,,,,,,,,,,,,,,,,,,
2013-03-26,6.0,2.0,20474.0,356.0,,,,,,,,,,,,,,,,,,,,
2013-03-27,6.0,2.0,20264.0,352.0,,,,,,,,,,,,,,,,,,,,
2013-03-28,6.0,2.0,19660.0,352.0,,,,,,,,,,,,,,,,,,,,
2013-03-29,6.0,2.0,20590.0,366.0,,,,,,,,,,,,,,,,,,,,
2013-04-01,6.0,2.0,19858.0,362.0,,,,,,,,,,,,,,,,,,,,
2013-04-02,6.0,2.0,19458.0,352.0,,,,,,,,,,,,,,,,,,,,
2013-04-03,2.0,0.0,19152.0,308.0,,,,,,,,,,,,,,,,,,,,
2013-04-08,2.0,0.0,19744.0,316.0,,,,,,,,,,,,,,,,,,,,
2013-04-09,2.0,0.0,21196.0,328.0,,,,,,,,,,,,,,,,,,,,
2013-04-10,2.0,0.0,21152.0,328.0,,,,,,,,,,,,,,,,,,,,
2013-04-11,2.0,0.0,21014.0,326.0,,,,,,,,,,,,,,,,,,,,
2013-04-12,2.0,0.0,20852.0,322.0,,,,,,,,,,,,,,,,,,,,
2013-04-15,2.0,0.0,20548.0,318.0,,,,,,,,,,,,,,,,,,,,
2013-04-16,0.0,0.0,20114.0,320.0,,,,,,,,,,,,,,,,,,,,
2013-04-17,0.0,0.0,19554.0,320.0,,,,,,,,,,,,,,,,,,,,
2013-04-18,0.0,0.0,19632.0,310.0,,,,,,,,,,,,,,,,,,,,
2013-04-19,0.0,0.0,19128.0,308.0,,,,,,,,,,,,,,,,,,,,
2013-04-22,0.0,0.0,19202.0,308.0,,,,,,,,,,,,,,,,,,,,
2013-04-23,0.0,0.0,18780.0,300.0,,,,,,,,,,,,,,,,,,,,
2013-04-24,0.0,0.0,19362.0,306.0,,,,,,,,,,,,,,,,,,,,
2013-04-25,0.0,0.0,20000.0,290.0,,,,,,,,,,,,,,,,,,,,
