,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC
2017-07-31,,,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,
2017-08-02,,,,,,,,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,
2017-08-04,,,,,,,,,,,,,,,
2017-08-07,,,,,,,,,,,,,,,
2017-08-08,,,,,,,,,,,,,,,
2017-08-09,,,,,,,,,,,,,,,
2017-08-10,,,,,,,,,,,,,,,
2017-08-11,,,,,,,,,,,,,,,
2017-08-14,,,,,,,,,,,,,,,
2017-08-15,,,,,,,,,,,,,,,
2017-08-16,,,,,,,,,,,,,,,
2017-08-17,,,,,,,,,,,,,,,
2017-08-18,7634.0,6.0,0.0,0.0,688.0,0.0,0.0,0.0,,,,,,,
2017-08-21,8476.0,4.0,0.0,0.0,778.0,0.0,0.0,0.0,,,,,,,
2017-08-22,7516.0,4.0,0.0,0.0,756.0,0.0,0.0,0.0,,,,,,,
2017-08-23,6958.0,4.0,0.0,0.0,768.0,0.0,0.0,0.0,,,,,,,
2017-08-24,6420.0,4.0,0.0,0.0,736.0,0.0,0.0,0.0,,,,,,,
2017-08-25,5830.0,4.0,0.0,0.0,650.0,0.0,0.0,0.0,,,,,,,
2017-08-28,5684.0,4.0,2.0,0.0,644.0,0.0,0.0,0.0,,,,,,,
2017-08-29,5352.0,4.0,0.0,0.0,610.0,0.0,0.0,0.0,,,,,,,
2017-08-30,5314.0,4.0,0.0,0.0,606.0,0.0,0.0,0.0,,,,,,,
2017-08-31,4908.0,4.0,0.0,0.0,588.0,0.0,0.0,0.0,,,,,,,
2017-09-01,4792.0,4.0,0.0,0.0,568.0,0.0,0.0,0.0,,,,,,,
2017-09-04,6228.0,4.0,0.0,0.0,528.0,0.0,0.0,0.0,,,,,,,
2017-09-05,5966.0,4.0,0.0,0.0,546.0,0.0,0.0,0.0,,,,,,,
2017-09-06,5762.0,4.0,0.0,0.0,482.0,0.0,0.0,0.0,,,,,,,
2017-09-07,5270.0,4.0,0.0,0.0,468.0,0.0,0.0,0.0,,,,,,,
2017-09-08,4380.0,4.0,0.0,0.0,432.0,0.0,0.0,0.0,,,,,,,
2017-09-11,4024.0,6.0,0.0,0.0,400.0,0.0,0.0,0.0,,,,,,,
2017-09-12,3876.0,6.0,0.0,0.0,400.0,0.0,0.0,0.0,,,,,,,
2017-09-13,3580.0,6.0,0.0,0.0,378.0,0.0,0.0,0.0,,,,,,,
2017-09-14,3482.0,6.0,0.0,0.0,308.0,0.0,0.0,0.0,,,,,,,
2017-09-15,3390.0,6.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-18,3038.0,6.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-19,2674.0,6.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-20,2334.0,6.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-21,2034.0,8.0,2.0,2.0,274.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-22,1952.0,6.0,2.0,2.0,268.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-25,1880.0,6.0,2.0,2.0,270.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-26,1952.0,6.0,2.0,2.0,268.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-27,1910.0,2.0,2.0,2.0,262.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-28,2080.0,2.0,2.0,2.0,248.0,0.0,0.0,0.0,0.0,,,,,,
2017-09-29,1848.0,2.0,2.0,2.0,246.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-09,1820.0,2.0,2.0,2.0,230.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-10,1796.0,2.0,2.0,2.0,206.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-11,1732.0,2.0,2.0,0.0,206.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-12,1736.0,2.0,2.0,0.0,206.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-13,1650.0,2.0,2.0,0.0,206.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-16,1596.0,2.0,2.0,0.0,198.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-17,1540.0,2.0,2.0,0.0,198.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-18,1518.0,2.0,2.0,0.0,198.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-19,1564.0,2.0,2.0,0.0,188.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-20,1590.0,2.0,2.0,0.0,192.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-23,1596.0,2.0,2.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,,,,,
2017-10-24,1566.0,2.0,2.0,0.0,190.0,0.0,0.0,0.0,0.0,12.0,,,,,
2017-10-25,1508.0,2.0,2.0,0.0,190.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-10-26,1474.0,2.0,2.0,0.0,188.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-10-27,1490.0,2.0,2.0,0.0,188.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-10-30,1420.0,2.0,2.0,0.0,182.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-10-31,1400.0,2.0,2.0,0.0,182.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-01,1348.0,2.0,2.0,0.0,176.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-02,1308.0,2.0,2.0,0.0,176.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-03,1194.0,2.0,2.0,0.0,168.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-06,1184.0,2.0,2.0,0.0,164.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-07,1104.0,2.0,2.0,0.0,156.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-08,1066.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-09,1050.0,2.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-10,1028.0,2.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,4.0,,,,,
2017-11-13,1018.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,2.0,,,,,
2017-11-14,946.0,2.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,2.0,,,,,
2017-11-15,878.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-16,842.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-17,822.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-20,816.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-21,762.0,2.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-22,770.0,2.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-23,728.0,2.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-24,706.0,2.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-27,674.0,2.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-28,560.0,2.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-29,474.0,2.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,
2017-11-30,474.0,2.0,0.0,0.0,178.0,0.0,0.0,0.0,598.0,2.0,0.0,,,,
2017-12-01,414.0,2.0,0.0,0.0,176.0,0.0,0.0,0.0,70.0,2.0,0.0,,,,
2017-12-04,390.0,2.0,0.0,0.0,184.0,0.0,0.0,0.0,74.0,2.0,0.0,,,,
2017-12-05,326.0,2.0,0.0,0.0,184.0,0.0,0.0,0.0,84.0,2.0,0.0,,,,
2017-12-06,296.0,2.0,0.0,0.0,184.0,0.0,0.0,0.0,84.0,2.0,0.0,,,,
2017-12-07,284.0,2.0,0.0,0.0,186.0,0.0,0.0,0.0,80.0,2.0,0.0,,,,
2017-12-08,230.0,2.0,0.0,0.0,184.0,0.0,0.0,0.0,68.0,2.0,0.0,,,,
2017-12-11,170.0,2.0,0.0,0.0,166.0,0.0,0.0,0.0,68.0,2.0,0.0,,,,
2017-12-12,162.0,2.0,0.0,0.0,158.0,0.0,0.0,0.0,68.0,2.0,0.0,,,,
2017-12-13,158.0,2.0,0.0,0.0,158.0,0.0,0.0,0.0,68.0,2.0,0.0,,,,
2017-12-14,128.0,2.0,0.0,0.0,162.0,0.0,0.0,0.0,72.0,2.0,0.0,,,,
2017-12-15,118.0,2.0,0.0,0.0,160.0,0.0,0.0,0.0,72.0,2.0,0.0,0.0,,,
2017-12-18,120.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,,,
2017-12-19,112.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,,,
2017-12-20,100.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,,,
2017-12-21,96.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,,,
2017-12-22,86.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,,,
2017-12-25,64.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,,,
2017-12-26,58.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,,,
2017-12-27,38.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,,,
2017-12-28,28.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,,,
2017-12-29,22.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,,,
2018-01-02,18.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,,,
2018-01-03,18.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.0,2.0,2.0,0.0,,,
2018-01-04,18.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,,,
2018-01-05,16.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,,,
2018-01-08,16.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,,,
2018-01-09,16.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,,,
2018-01-10,16.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,,,
2018-01-11,16.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,,,
2018-01-12,16.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,,,
2018-01-15,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,,,
2018-01-16,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,,
2018-01-17,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,,
2018-01-18,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,,
2018-01-19,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,,
2018-01-22,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,,
2018-01-23,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,,
2018-01-24,0.0,0.0,0.0,0.0,80.0,0.0,0.0,2.0,34.0,2.0,2.0,0.0,0.0,,
2018-01-25,0.0,0.0,0.0,0.0,54.0,0.0,0.0,2.0,34.0,2.0,2.0,0.0,2.0,,
2018-01-26,0.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,34.0,2.0,2.0,0.0,0.0,,
2018-01-29,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,34.0,2.0,2.0,0.0,0.0,,
2018-01-30,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,32.0,2.0,2.0,0.0,0.0,,
2018-01-31,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,34.0,2.0,2.0,0.0,0.0,,
2018-02-01,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,34.0,2.0,0.0,0.0,0.0,,
2018-02-02,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-05,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-06,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-07,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-08,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-09,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-12,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-13,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,,
2018-02-14,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,30.0,2.0,0.0,0.0,0.0,,
2018-02-22,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,
2018-02-23,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,
2018-02-26,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-02-27,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-02-28,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-03-01,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-03-02,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,
2018-03-05,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-03-06,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-03-07,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,
2018-03-08,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,
2018-03-09,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,
2018-03-12,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,
2018-03-13,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,
2018-03-14,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,
