,NI1507.SHF,NI1508.SHF,NI1509.SHF,NI1510.SHF,NI1511.SHF,NI1512.SHF,NI1601.SHF,NI1602.SHF,NI1603.SHF,NI1604.SHF,NI1605.SHF,NI1606.SHF,NI1607.SHF,NI1608.SHF,NI1609.SHF,NI1610.SHF,NI1611.SHF,NI1612.SHF,NI1701.SHF,NI1702.SHF,NI1703.SHF,NI1704.SHF,NI1705.SHF,NI1706.SHF,NI1707.SHF,NI1708.SHF,NI1709.SHF,NI1710.SHF,NI1711.SHF,NI1712.SHF,NI1801.SHF,NI1802.SHF,NI1803.SHF,NI1804.SHF,NI1805.SHF,NI1806.SHF,NI1807.SHF,NI1808.SHF,NI1809.SHF,NI1810.SHF,NI1811.SHF,NI1812.SHF,NI1901.SHF,NI1902.SHF,NI1903.SHF,NI1904.SHF
2015-03-27,14364.0,534.0,156.0,8.0,16.0,8.0,96.0,72.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,34186.0,952.0,386.0,20.0,14.0,72.0,140.0,78.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,54888.0,2190.0,930.0,20.0,30.0,50.0,192.0,90.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,70960.0,2406.0,1394.0,24.0,46.0,50.0,198.0,90.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,80724.0,2008.0,1632.0,36.0,56.0,108.0,256.0,80.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,80998.0,2072.0,1682.0,36.0,56.0,108.0,252.0,82.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,83542.0,2716.0,2312.0,54.0,56.0,118.0,278.0,90.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,95102.0,3076.0,3436.0,58.0,56.0,120.0,422.0,94.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,99084.0,3136.0,3808.0,58.0,56.0,116.0,422.0,94.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,105628.0,3194.0,4020.0,58.0,54.0,110.0,442.0,102.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,112858.0,3648.0,4370.0,70.0,54.0,110.0,556.0,102.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,127690.0,4202.0,7394.0,62.0,50.0,120.0,744.0,100.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,132258.0,5288.0,8198.0,62.0,50.0,120.0,750.0,100.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,131624.0,5392.0,8914.0,62.0,50.0,120.0,1062.0,112.0,222.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,127284.0,5776.0,10060.0,104.0,50.0,122.0,1142.0,112.0,234.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,116410.0,5724.0,10574.0,100.0,50.0,122.0,1146.0,106.0,270.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,110552.0,5874.0,9624.0,100.0,56.0,124.0,1166.0,108.0,292.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,110516.0,6026.0,9592.0,100.0,56.0,124.0,1192.0,108.0,314.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,110646.0,6198.0,10398.0,98.0,62.0,146.0,1250.0,106.0,412.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,113816.0,6828.0,12750.0,102.0,58.0,142.0,1402.0,106.0,442.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,116290.0,6670.0,18366.0,106.0,66.0,124.0,1476.0,106.0,440.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,111958.0,6968.0,20692.0,98.0,64.0,270.0,2426.0,106.0,434.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,111334.0,7380.0,23212.0,102.0,66.0,244.0,2512.0,106.0,474.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,125970.0,7556.0,29610.0,100.0,64.0,244.0,2484.0,106.0,460.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,128702.0,7502.0,31522.0,112.0,68.0,252.0,2560.0,106.0,456.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,133626.0,7548.0,36638.0,106.0,88.0,226.0,2722.0,106.0,474.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,134182.0,11052.0,51896.0,130.0,78.0,218.0,2862.0,108.0,510.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,123678.0,10300.0,61698.0,112.0,74.0,218.0,3438.0,176.0,552.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,118556.0,7662.0,62370.0,104.0,74.0,214.0,3296.0,166.0,592.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,128054.0,6948.0,73844.0,106.0,74.0,212.0,3312.0,166.0,612.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,126536.0,6706.0,76566.0,112.0,74.0,220.0,3500.0,178.0,656.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,123868.0,6556.0,76186.0,112.0,74.0,212.0,3690.0,170.0,656.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,121384.0,6418.0,80046.0,186.0,70.0,234.0,4090.0,176.0,666.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,130696.0,6258.0,86348.0,186.0,70.0,206.0,4222.0,166.0,672.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,121292.0,6162.0,92066.0,186.0,74.0,204.0,4548.0,164.0,680.0,116.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,116362.0,6044.0,96714.0,186.0,74.0,204.0,4854.0,160.0,732.0,116.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,107676.0,6030.0,98506.0,186.0,76.0,204.0,5230.0,160.0,746.0,114.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
