,T1509.CFE,T1512.CFE,T1603.CFE,T1606.CFE,T1609.CFE,T1612.CFE,T1703.CFE,T1706.CFE,T1709.CFE,T1712.CFE,T1803.CFE,T1806.CFE,T1809.CFE,T1812.CFE
2015-03-20,817.0,31.0,14.0,,,,,,,,,,,
2015-03-23,1682.0,31.0,14.0,,,,,,,,,,,
2015-03-24,2102.0,31.0,15.0,,,,,,,,,,,
2015-03-25,2484.0,32.0,15.0,,,,,,,,,,,
2015-03-26,3014.0,31.0,15.0,,,,,,,,,,,
2015-03-27,3577.0,33.0,17.0,,,,,,,,,,,
2015-03-30,3869.0,33.0,19.0,,,,,,,,,,,
2015-03-31,4666.0,32.0,19.0,,,,,,,,,,,
2015-04-01,4551.0,32.0,19.0,,,,,,,,,,,
2015-04-02,4613.0,32.0,19.0,,,,,,,,,,,
2015-04-03,5095.0,32.0,19.0,,,,,,,,,,,
2015-04-07,5425.0,36.0,19.0,,,,,,,,,,,
2015-04-08,6620.0,63.0,22.0,,,,,,,,,,,
2015-04-09,7335.0,74.0,31.0,,,,,,,,,,,
2015-04-10,7739.0,74.0,31.0,,,,,,,,,,,
2015-04-13,8872.0,74.0,32.0,,,,,,,,,,,
2015-04-14,9475.0,75.0,36.0,,,,,,,,,,,
2015-04-15,9687.0,80.0,39.0,,,,,,,,,,,
2015-04-16,10198.0,80.0,39.0,,,,,,,,,,,
2015-04-17,10810.0,81.0,39.0,,,,,,,,,,,
2015-04-20,11137.0,81.0,37.0,,,,,,,,,,,
2015-04-21,12128.0,85.0,37.0,,,,,,,,,,,
2015-04-22,12669.0,86.0,38.0,,,,,,,,,,,
2015-04-23,13218.0,83.0,38.0,,,,,,,,,,,
2015-04-24,13506.0,82.0,39.0,,,,,,,,,,,
2015-04-27,14681.0,84.0,40.0,,,,,,,,,,,
2015-04-28,15058.0,84.0,40.0,,,,,,,,,,,
2015-04-29,16039.0,84.0,40.0,,,,,,,,,,,
2015-04-30,17454.0,88.0,41.0,,,,,,,,,,,
2015-05-04,17952.0,88.0,41.0,,,,,,,,,,,
2015-05-05,19543.0,88.0,41.0,,,,,,,,,,,
2015-05-06,21544.0,90.0,42.0,,,,,,,,,,,
2015-05-07,22735.0,91.0,43.0,,,,,,,,,,,
2015-05-08,23303.0,91.0,43.0,,,,,,,,,,,
2015-05-11,23226.0,95.0,44.0,,,,,,,,,,,
2015-05-12,23315.0,95.0,44.0,,,,,,,,,,,
2015-05-13,24375.0,95.0,43.0,,,,,,,,,,,
2015-05-14,25138.0,101.0,43.0,,,,,,,,,,,
2015-05-15,25022.0,106.0,43.0,,,,,,,,,,,
2015-05-18,25123.0,110.0,48.0,,,,,,,,,,,
2015-05-19,25012.0,163.0,48.0,,,,,,,,,,,
2015-05-20,25631.0,164.0,47.0,,,,,,,,,,,
2015-05-21,25389.0,311.0,47.0,,,,,,,,,,,
2015-05-22,25892.0,453.0,47.0,,,,,,,,,,,
2015-05-25,26330.0,462.0,47.0,,,,,,,,,,,
2015-05-26,25666.0,496.0,47.0,,,,,,,,,,,
2015-05-27,25739.0,508.0,47.0,,,,,,,,,,,
2015-05-28,25520.0,550.0,46.0,,,,,,,,,,,
2015-05-29,24946.0,557.0,46.0,,,,,,,,,,,
2015-06-01,22577.0,587.0,50.0,,,,,,,,,,,
2015-06-02,22162.0,581.0,48.0,,,,,,,,,,,
2015-06-03,22179.0,661.0,46.0,,,,,,,,,,,
2015-06-04,22014.0,840.0,46.0,,,,,,,,,,,
2015-06-05,22584.0,943.0,45.0,,,,,,,,,,,
2015-06-08,23195.0,1024.0,45.0,,,,,,,,,,,
2015-06-09,22881.0,1075.0,47.0,,,,,,,,,,,
2015-06-10,22457.0,1083.0,47.0,,,,,,,,,,,
2015-06-11,22492.0,1179.0,50.0,,,,,,,,,,,
2015-06-12,21143.0,1339.0,48.0,,,,,,,,,,,
2015-06-15,20498.0,1352.0,48.0,,,,,,,,,,,
2015-06-16,21356.0,1358.0,52.0,,,,,,,,,,,
2015-06-17,21289.0,1361.0,53.0,,,,,,,,,,,
2015-06-18,21246.0,1372.0,53.0,,,,,,,,,,,
2015-06-19,21107.0,1373.0,56.0,,,,,,,,,,,
2015-06-23,21142.0,1419.0,61.0,,,,,,,,,,,
2015-06-24,21010.0,1438.0,61.0,,,,,,,,,,,
2015-06-25,20402.0,1467.0,62.0,,,,,,,,,,,
2015-06-26,19805.0,1468.0,62.0,,,,,,,,,,,
2015-06-29,18480.0,1458.0,62.0,,,,,,,,,,,
2015-06-30,18209.0,1461.0,62.0,,,,,,,,,,,
2015-07-01,18103.0,1546.0,62.0,,,,,,,,,,,
2015-07-02,17969.0,1552.0,62.0,,,,,,,,,,,
2015-07-03,18851.0,1645.0,62.0,,,,,,,,,,,
2015-07-06,19690.0,1680.0,64.0,,,,,,,,,,,
2015-07-07,19465.0,1768.0,64.0,,,,,,,,,,,
2015-07-08,18139.0,1939.0,64.0,,,,,,,,,,,
2015-07-09,17427.0,2072.0,64.0,,,,,,,,,,,
2015-07-10,17428.0,2099.0,166.0,,,,,,,,,,,
2015-07-13,17861.0,2212.0,242.0,,,,,,,,,,,
2015-07-14,18158.0,2308.0,334.0,,,,,,,,,,,
2015-07-15,19208.0,2582.0,523.0,,,,,,,,,,,
2015-07-16,19842.0,2742.0,685.0,,,,,,,,,,,
2015-07-17,19896.0,3001.0,868.0,,,,,,,,,,,
2015-07-20,20025.0,3146.0,1032.0,,,,,,,,,,,
2015-07-21,19369.0,3235.0,1171.0,,,,,,,,,,,
2015-07-22,19343.0,3345.0,1200.0,,,,,,,,,,,
2015-07-23,19331.0,3688.0,1334.0,,,,,,,,,,,
2015-07-24,18927.0,3862.0,1358.0,,,,,,,,,,,
2015-07-27,18672.0,4008.0,1367.0,,,,,,,,,,,
2015-07-28,18066.0,4418.0,1395.0,,,,,,,,,,,
2015-07-29,18072.0,4762.0,1405.0,,,,,,,,,,,
2015-07-30,17760.0,5238.0,1435.0,,,,,,,,,,,
2015-07-31,17400.0,5857.0,1417.0,,,,,,,,,,,
2015-08-03,15898.0,6683.0,1496.0,,,,,,,,,,,
2015-08-04,15646.0,7634.0,1525.0,,,,,,,,,,,
2015-08-05,15258.0,8249.0,1629.0,,,,,,,,,,,
2015-08-06,14831.0,9037.0,1782.0,,,,,,,,,,,
2015-08-07,14093.0,9806.0,2052.0,,,,,,,,,,,
2015-08-10,12881.0,10581.0,2128.0,,,,,,,,,,,
2015-08-11,12149.0,11040.0,2284.0,,,,,,,,,,,
2015-08-12,10852.0,12002.0,2466.0,,,,,,,,,,,
2015-08-13,10465.0,12563.0,2538.0,,,,,,,,,,,
2015-08-14,9178.0,13987.0,2640.0,,,,,,,,,,,
2015-08-17,7220.0,14943.0,2632.0,,,,,,,,,,,
2015-08-18,5958.0,15246.0,2700.0,,,,,,,,,,,
2015-08-19,4882.0,15588.0,2752.0,,,,,,,,,,,
2015-08-20,4066.0,15292.0,2767.0,,,,,,,,,,,
2015-08-21,3422.0,15402.0,2833.0,,,,,,,,,,,
2015-08-24,2093.0,15032.0,2882.0,,,,,,,,,,,
2015-08-25,1776.0,14683.0,2960.0,,,,,,,,,,,
2015-08-26,1214.0,14457.0,2985.0,,,,,,,,,,,
2015-08-27,1080.0,14133.0,3040.0,,,,,,,,,,,
2015-08-28,958.0,14218.0,3220.0,,,,,,,,,,,
2015-08-31,944.0,14445.0,3236.0,,,,,,,,,,,
2015-09-01,864.0,14295.0,3612.0,,,,,,,,,,,
2015-09-02,821.0,13650.0,3600.0,,,,,,,,,,,
2015-09-07,791.0,13420.0,3617.0,,,,,,,,,,,
2015-09-08,691.0,13047.0,3601.0,,,,,,,,,,,
2015-09-09,662.0,12698.0,3587.0,,,,,,,,,,,
2015-09-10,607.0,12478.0,3592.0,,,,,,,,,,,
2015-09-11,0.0,12742.0,3602.0,,,,,,,,,,,
2015-09-14,0.0,12370.0,3566.0,0.0,,,,,,,,,,
2015-09-15,0.0,12656.0,3622.0,2.0,,,,,,,,,,
2015-09-16,0.0,13023.0,3643.0,2.0,,,,,,,,,,
2015-09-17,0.0,13110.0,3671.0,30.0,,,,,,,,,,
2015-09-18,0.0,12809.0,3658.0,36.0,,,,,,,,,,
2015-09-21,0.0,12771.0,3614.0,75.0,,,,,,,,,,
2015-09-22,0.0,13214.0,3743.0,115.0,,,,,,,,,,
2015-09-23,0.0,13128.0,3734.0,115.0,,,,,,,,,,
2015-09-24,0.0,13177.0,3733.0,129.0,,,,,,,,,,
2015-09-25,0.0,13057.0,3775.0,116.0,,,,,,,,,,
2015-09-28,0.0,13452.0,3815.0,140.0,,,,,,,,,,
2015-09-29,0.0,13502.0,3734.0,137.0,,,,,,,,,,
2015-09-30,0.0,14092.0,3773.0,144.0,,,,,,,,,,
2015-10-08,0.0,13942.0,3685.0,143.0,,,,,,,,,,
2015-10-09,0.0,15048.0,3805.0,144.0,,,,,,,,,,
2015-10-12,0.0,14840.0,3837.0,161.0,,,,,,,,,,
2015-10-13,0.0,15184.0,3905.0,161.0,,,,,,,,,,
2015-10-14,0.0,15490.0,4020.0,157.0,,,,,,,,,,
2015-10-15,0.0,15866.0,4351.0,157.0,,,,,,,,,,
2015-10-16,0.0,15459.0,4611.0,268.0,,,,,,,,,,
2015-10-19,0.0,15893.0,4986.0,409.0,,,,,,,,,,
2015-10-20,0.0,16552.0,5367.0,454.0,,,,,,,,,,
2015-10-21,0.0,17024.0,5651.0,486.0,,,,,,,,,,
2015-10-22,0.0,17498.0,5763.0,485.0,,,,,,,,,,
2015-10-23,0.0,16942.0,6085.0,578.0,,,,,,,,,,
2015-10-26,0.0,16414.0,6302.0,684.0,,,,,,,,,,
2015-10-27,0.0,18280.0,6823.0,810.0,,,,,,,,,,
2015-10-28,0.0,18279.0,6972.0,968.0,,,,,,,,,,
2015-10-29,0.0,18302.0,7452.0,958.0,,,,,,,,,,
2015-10-30,0.0,17709.0,7597.0,948.0,,,,,,,,,,
2015-11-02,0.0,17708.0,7845.0,1061.0,,,,,,,,,,
2015-11-03,0.0,17715.0,8262.0,1098.0,,,,,,,,,,
2015-11-04,0.0,17185.0,8875.0,1142.0,,,,,,,,,,
2015-11-05,0.0,16656.0,9446.0,1197.0,,,,,,,,,,
2015-11-06,0.0,16276.0,9764.0,1345.0,,,,,,,,,,
2015-11-09,0.0,16090.0,11076.0,1353.0,,,,,,,,,,
2015-11-10,0.0,15011.0,12216.0,1355.0,,,,,,,,,,
2015-11-11,0.0,14242.0,13223.0,1364.0,,,,,,,,,,
2015-11-12,0.0,13422.0,13987.0,1368.0,,,,,,,,,,
2015-11-13,0.0,13156.0,14436.0,1365.0,,,,,,,,,,
2015-11-16,0.0,11829.0,16004.0,1373.0,,,,,,,,,,
2015-11-17,0.0,10163.0,16357.0,1387.0,,,,,,,,,,
2015-11-18,0.0,9016.0,16749.0,1398.0,,,,,,,,,,
2015-11-19,0.0,7889.0,17944.0,1494.0,,,,,,,,,,
2015-11-20,0.0,6226.0,19587.0,1595.0,,,,,,,,,,
2015-11-23,0.0,5397.0,20233.0,1632.0,,,,,,,,,,
2015-11-24,0.0,3955.0,22328.0,1628.0,,,,,,,,,,
2015-11-25,0.0,2713.0,22528.0,1670.0,,,,,,,,,,
2015-11-26,0.0,1784.0,24062.0,1698.0,,,,,,,,,,
2015-11-27,0.0,856.0,22640.0,1740.0,,,,,,,,,,
2015-11-30,0.0,790.0,23604.0,1740.0,,,,,,,,,,
2015-12-01,0.0,754.0,23307.0,1760.0,,,,,,,,,,
2015-12-02,0.0,714.0,22496.0,1804.0,,,,,,,,,,
2015-12-03,0.0,714.0,22897.0,1866.0,,,,,,,,,,
2015-12-04,0.0,714.0,22712.0,1945.0,,,,,,,,,,
2015-12-07,0.0,664.0,22867.0,1981.0,,,,,,,,,,
2015-12-08,0.0,664.0,23546.0,2077.0,,,,,,,,,,
2015-12-09,0.0,584.0,23694.0,2224.0,,,,,,,,,,
2015-12-10,0.0,533.0,23965.0,2335.0,,,,,,,,,,
2015-12-11,0.0,522.0,24427.0,2425.0,,,,,,,,,,
2015-12-14,0.0,522.0,23548.0,2654.0,33.0,,,,,,,,,
2015-12-15,0.0,522.0,23931.0,2742.0,139.0,,,,,,,,,
2015-12-16,0.0,522.0,23612.0,2809.0,225.0,,,,,,,,,
2015-12-17,0.0,522.0,23234.0,2926.0,320.0,,,,,,,,,
2015-12-18,0.0,522.0,23832.0,3099.0,317.0,,,,,,,,,
2015-12-21,0.0,522.0,24023.0,3179.0,322.0,,,,,,,,,
2015-12-22,0.0,522.0,24326.0,3382.0,409.0,,,,,,,,,
2015-12-23,0.0,522.0,24665.0,3510.0,488.0,,,,,,,,,
2015-12-24,0.0,522.0,26150.0,3828.0,506.0,,,,,,,,,
2015-12-25,0.0,522.0,26222.0,3887.0,565.0,,,,,,,,,
2015-12-28,0.0,522.0,26559.0,3870.0,627.0,,,,,,,,,
2015-12-29,0.0,522.0,26144.0,3922.0,720.0,,,,,,,,,
2015-12-30,0.0,522.0,25926.0,4095.0,806.0,,,,,,,,,
2015-12-31,0.0,522.0,25937.0,4175.0,868.0,,,,,,,,,
2016-01-04,0.0,522.0,27095.0,4281.0,877.0,,,,,,,,,
2016-01-05,0.0,522.0,28281.0,4310.0,884.0,,,,,,,,,
2016-01-06,0.0,522.0,28420.0,4330.0,910.0,,,,,,,,,
2016-01-07,0.0,522.0,27116.0,4458.0,911.0,,,,,,,,,
2016-01-08,0.0,522.0,27423.0,4573.0,911.0,,,,,,,,,
2016-01-11,0.0,522.0,28537.0,4797.0,913.0,,,,,,,,,
2016-01-12,0.0,522.0,28775.0,4958.0,926.0,,,,,,,,,
2016-01-13,0.0,522.0,29507.0,5012.0,930.0,,,,,,,,,
2016-01-14,0.0,522.0,28460.0,5589.0,930.0,,,,,,,,,
2016-01-15,0.0,522.0,28508.0,5907.0,1005.0,,,,,,,,,
2016-01-18,0.0,522.0,26822.0,6182.0,1010.0,,,,,,,,,
2016-01-19,0.0,522.0,26627.0,6355.0,1017.0,,,,,,,,,
2016-01-20,0.0,522.0,27033.0,6628.0,1011.0,,,,,,,,,
2016-01-21,0.0,522.0,26537.0,6941.0,1013.0,,,,,,,,,
2016-01-22,0.0,522.0,26000.0,7512.0,1019.0,,,,,,,,,
2016-01-25,0.0,522.0,25458.0,8344.0,1087.0,,,,,,,,,
2016-01-26,0.0,522.0,23317.0,10443.0,1096.0,,,,,,,,,
2016-01-27,0.0,522.0,22738.0,11888.0,1111.0,,,,,,,,,
2016-01-28,0.0,522.0,21928.0,13141.0,1111.0,,,,,,,,,
2016-01-29,0.0,522.0,21253.0,14271.0,1104.0,,,,,,,,,
2016-02-01,0.0,522.0,20192.0,16101.0,1104.0,,,,,,,,,
2016-02-02,0.0,522.0,19202.0,17646.0,1104.0,,,,,,,,,
2016-02-03,0.0,522.0,18739.0,19459.0,1119.0,,,,,,,,,
2016-02-04,0.0,522.0,17534.0,20621.0,1139.0,,,,,,,,,
2016-02-05,0.0,522.0,17008.0,20893.0,1138.0,,,,,,,,,
2016-02-15,0.0,522.0,15758.0,22602.0,1255.0,,,,,,,,,
2016-02-16,0.0,522.0,14627.0,24641.0,1369.0,,,,,,,,,
2016-02-17,0.0,522.0,13194.0,26349.0,1434.0,,,,,,,,,
2016-02-18,0.0,522.0,11563.0,28089.0,1940.0,,,,,,,,,
2016-02-19,0.0,522.0,9049.0,28560.0,2477.0,,,,,,,,,
2016-02-22,0.0,522.0,7846.0,29962.0,2734.0,,,,,,,,,
2016-02-23,0.0,522.0,5477.0,31094.0,2786.0,,,,,,,,,
2016-02-24,0.0,522.0,3607.0,31618.0,2894.0,,,,,,,,,
2016-02-25,0.0,522.0,2688.0,32242.0,3030.0,,,,,,,,,
