,RM1305.CZC,RM1307.CZC,RM1308.CZC,RM1309.CZC,RM1311.CZC,RM1401.CZC,RM1403.CZC,RM1405.CZC,RM1407.CZC,RM1408.CZC,RM1409.CZC,RM1411.CZC,RM1501.CZC,RM1503.CZC,RM1505.CZC,RM1507.CZC,RM1508.CZC,RM1509.CZC,RM1511.CZC,RM1601.CZC,RM1603.CZC,RM1605.CZC,RM607.CZC,RM608.CZC,RM609.CZC,RM611.CZC,RM701.CZC,RM703.CZC,RM705.CZC,RM707.CZC,RM708.CZC,RM709.CZC,RM711.CZC,RM801.CZC,RM803.CZC,RM805.CZC,RM807.CZC,RM808.CZC,RM809.CZC,RM811.CZC,RM901.CZC,RM903.CZC
2012-12-28,44712.0,28.0,0.0,17252.0,26372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,39290.0,28.0,0.0,22132.0,32784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,38458.0,40.0,0.0,22868.0,31758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,64538.0,42.0,0.0,29670.0,44188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,77626.0,52.0,2.0,37758.0,42922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,94100.0,70.0,2.0,44750.0,52970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,96660.0,60.0,6.0,42272.0,53994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,165614.0,66.0,6.0,45948.0,54488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,150852.0,66.0,8.0,51606.0,60546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,178192.0,76.0,8.0,53476.0,63646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,192280.0,76.0,8.0,49942.0,62528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,162682.0,68.0,8.0,66100.0,65610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,147836.0,56.0,8.0,73472.0,65304.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,137418.0,48.0,8.0,79286.0,65616.0,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,146734.0,44.0,8.0,77872.0,70682.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,132690.0,42.0,6.0,69408.0,71468.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,152044.0,46.0,4.0,77986.0,71686.0,1038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,135610.0,44.0,4.0,68380.0,75030.0,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,130358.0,48.0,4.0,62752.0,75600.0,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,125532.0,48.0,16.0,60732.0,73228.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,119080.0,44.0,14.0,59882.0,74328.0,1904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,112210.0,44.0,12.0,54822.0,78858.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,118036.0,40.0,14.0,55904.0,82992.0,3344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,107596.0,36.0,14.0,56104.0,79746.0,4030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,118240.0,46.0,14.0,64972.0,72896.0,4244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,107738.0,34.0,14.0,68806.0,75064.0,4694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-07,86022.0,30.0,14.0,68798.0,74404.0,5126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,73776.0,30.0,30.0,77300.0,75506.0,7074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,70494.0,30.0,42.0,102578.0,79566.0,8010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,95350.0,30.0,48.0,243906.0,104312.0,10028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,93364.0,68.0,110.0,261522.0,106344.0,11900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-21,90974.0,70.0,46.0,382436.0,103682.0,13428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,91484.0,66.0,44.0,401248.0,104866.0,20108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
