,TF1312.CFE,TF1403.CFE,TF1406.CFE,TF1409.CFE,TF1412.CFE,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2013-09-06,2625.0,218.0,116.0,,,,,,,,,,,,,,,,,,
2013-09-09,2797.0,234.0,111.0,,,,,,,,,,,,,,,,,,
2013-09-10,2708.0,154.0,89.0,,,,,,,,,,,,,,,,,,
2013-09-11,3293.0,221.0,85.0,,,,,,,,,,,,,,,,,,
2013-09-12,2871.0,202.0,100.0,,,,,,,,,,,,,,,,,,
2013-09-13,3000.0,182.0,93.0,,,,,,,,,,,,,,,,,,
2013-09-16,3189.0,169.0,93.0,,,,,,,,,,,,,,,,,,
2013-09-17,5022.0,166.0,98.0,,,,,,,,,,,,,,,,,,
2013-09-18,4465.0,172.0,105.0,,,,,,,,,,,,,,,,,,
2013-09-23,4527.0,194.0,110.0,,,,,,,,,,,,,,,,,,
2013-09-24,4493.0,202.0,113.0,,,,,,,,,,,,,,,,,,
2013-09-25,4731.0,202.0,121.0,,,,,,,,,,,,,,,,,,
2013-09-26,4752.0,203.0,133.0,,,,,,,,,,,,,,,,,,
2013-09-27,4109.0,215.0,120.0,,,,,,,,,,,,,,,,,,
2013-09-30,4094.0,222.0,128.0,,,,,,,,,,,,,,,,,,
2013-10-08,3955.0,221.0,126.0,,,,,,,,,,,,,,,,,,
2013-10-09,3802.0,236.0,119.0,,,,,,,,,,,,,,,,,,
2013-10-10,3777.0,232.0,117.0,,,,,,,,,,,,,,,,,,
2013-10-11,3691.0,236.0,112.0,,,,,,,,,,,,,,,,,,
2013-10-14,3663.0,239.0,107.0,,,,,,,,,,,,,,,,,,
2013-10-15,3742.0,240.0,103.0,,,,,,,,,,,,,,,,,,
2013-10-16,4026.0,253.0,110.0,,,,,,,,,,,,,,,,,,
2013-10-17,4071.0,255.0,105.0,,,,,,,,,,,,,,,,,,
2013-10-18,4101.0,265.0,107.0,,,,,,,,,,,,,,,,,,
2013-10-21,3920.0,271.0,106.0,,,,,,,,,,,,,,,,,,
2013-10-22,3656.0,274.0,111.0,,,,,,,,,,,,,,,,,,
2013-10-23,3621.0,253.0,108.0,,,,,,,,,,,,,,,,,,
2013-10-24,3818.0,290.0,108.0,,,,,,,,,,,,,,,,,,
2013-10-25,3661.0,308.0,108.0,,,,,,,,,,,,,,,,,,
2013-10-28,3648.0,336.0,110.0,,,,,,,,,,,,,,,,,,
2013-10-29,3829.0,348.0,108.0,,,,,,,,,,,,,,,,,,
2013-10-30,3774.0,367.0,108.0,,,,,,,,,,,,,,,,,,
2013-10-31,3545.0,367.0,112.0,,,,,,,,,,,,,,,,,,
2013-11-01,3433.0,355.0,126.0,,,,,,,,,,,,,,,,,,
2013-11-04,3242.0,358.0,127.0,,,,,,,,,,,,,,,,,,
2013-11-05,2526.0,396.0,130.0,,,,,,,,,,,,,,,,,,
2013-11-06,2836.0,405.0,140.0,,,,,,,,,,,,,,,,,,
2013-11-07,3275.0,452.0,140.0,,,,,,,,,,,,,,,,,,
2013-11-08,2694.0,549.0,163.0,,,,,,,,,,,,,,,,,,
2013-11-11,2717.0,637.0,172.0,,,,,,,,,,,,,,,,,,
2013-11-12,2180.0,655.0,203.0,,,,,,,,,,,,,,,,,,
2013-11-13,2422.0,700.0,206.0,,,,,,,,,,,,,,,,,,
2013-11-14,2586.0,778.0,204.0,,,,,,,,,,,,,,,,,,
2013-11-15,2721.0,904.0,184.0,,,,,,,,,,,,,,,,,,
2013-11-18,2759.0,934.0,171.0,,,,,,,,,,,,,,,,,,
2013-11-19,2946.0,1021.0,176.0,,,,,,,,,,,,,,,,,,
2013-11-20,3088.0,1216.0,194.0,,,,,,,,,,,,,,,,,,
2013-11-21,2805.0,1319.0,176.0,,,,,,,,,,,,,,,,,,
2013-11-22,2378.0,1414.0,186.0,,,,,,,,,,,,,,,,,,
2013-11-25,2025.0,1545.0,186.0,,,,,,,,,,,,,,,,,,
2013-11-26,1821.0,1649.0,193.0,,,,,,,,,,,,,,,,,,
2013-11-27,1520.0,1757.0,191.0,,,,,,,,,,,,,,,,,,
2013-11-28,1152.0,1822.0,193.0,,,,,,,,,,,,,,,,,,
2013-11-29,950.0,2069.0,189.0,,,,,,,,,,,,,,,,,,
2013-12-02,903.0,2186.0,189.0,,,,,,,,,,,,,,,,,,
2013-12-03,717.0,2221.0,201.0,,,,,,,,,,,,,,,,,,
2013-12-04,647.0,2275.0,196.0,,,,,,,,,,,,,,,,,,
2013-12-05,560.0,2521.0,204.0,,,,,,,,,,,,,,,,,,
2013-12-06,497.0,2394.0,212.0,,,,,,,,,,,,,,,,,,
2013-12-09,441.0,2552.0,215.0,,,,,,,,,,,,,,,,,,
2013-12-10,427.0,3000.0,235.0,,,,,,,,,,,,,,,,,,
2013-12-11,401.0,2970.0,241.0,,,,,,,,,,,,,,,,,,
2013-12-12,400.0,2781.0,244.0,,,,,,,,,,,,,,,,,,
2013-12-13,0.0,2682.0,258.0,,,,,,,,,,,,,,,,,,
2013-12-16,0.0,2659.0,240.0,0.0,,,,,,,,,,,,,,,,,
2013-12-17,0.0,2735.0,243.0,16.0,,,,,,,,,,,,,,,,,
2013-12-18,0.0,2827.0,251.0,14.0,,,,,,,,,,,,,,,,,
2013-12-19,0.0,2906.0,271.0,21.0,,,,,,,,,,,,,,,,,
2013-12-20,0.0,2885.0,278.0,22.0,,,,,,,,,,,,,,,,,
2013-12-23,0.0,3006.0,274.0,22.0,,,,,,,,,,,,,,,,,
2013-12-24,0.0,2896.0,275.0,23.0,,,,,,,,,,,,,,,,,
2013-12-25,0.0,2872.0,279.0,23.0,,,,,,,,,,,,,,,,,
2013-12-26,0.0,2832.0,284.0,23.0,,,,,,,,,,,,,,,,,
2013-12-27,0.0,2809.0,288.0,23.0,,,,,,,,,,,,,,,,,
2013-12-30,0.0,2851.0,286.0,27.0,,,,,,,,,,,,,,,,,
2013-12-31,0.0,3318.0,285.0,29.0,,,,,,,,,,,,,,,,,
2014-01-02,0.0,3621.0,319.0,30.0,,,,,,,,,,,,,,,,,
2014-01-03,0.0,3704.0,331.0,31.0,,,,,,,,,,,,,,,,,
2014-01-06,0.0,3653.0,328.0,37.0,,,,,,,,,,,,,,,,,
2014-01-07,0.0,3719.0,342.0,36.0,,,,,,,,,,,,,,,,,
2014-01-08,0.0,3613.0,333.0,39.0,,,,,,,,,,,,,,,,,
2014-01-09,0.0,3645.0,378.0,48.0,,,,,,,,,,,,,,,,,
2014-01-10,0.0,3652.0,401.0,59.0,,,,,,,,,,,,,,,,,
2014-01-13,0.0,3648.0,406.0,59.0,,,,,,,,,,,,,,,,,
2014-01-14,0.0,3659.0,408.0,59.0,,,,,,,,,,,,,,,,,
2014-01-15,0.0,3662.0,400.0,71.0,,,,,,,,,,,,,,,,,
2014-01-16,0.0,3668.0,411.0,71.0,,,,,,,,,,,,,,,,,
2014-01-17,0.0,3662.0,443.0,72.0,,,,,,,,,,,,,,,,,
2014-01-20,0.0,3716.0,449.0,74.0,,,,,,,,,,,,,,,,,
2014-01-21,0.0,3658.0,420.0,84.0,,,,,,,,,,,,,,,,,
2014-01-22,0.0,3710.0,443.0,89.0,,,,,,,,,,,,,,,,,
2014-01-23,0.0,3615.0,454.0,88.0,,,,,,,,,,,,,,,,,
2014-01-24,0.0,3804.0,450.0,90.0,,,,,,,,,,,,,,,,,
2014-01-27,0.0,4094.0,486.0,94.0,,,,,,,,,,,,,,,,,
2014-01-28,0.0,4043.0,476.0,93.0,,,,,,,,,,,,,,,,,
2014-01-29,0.0,4180.0,484.0,100.0,,,,,,,,,,,,,,,,,
2014-01-30,0.0,4088.0,490.0,98.0,,,,,,,,,,,,,,,,,
2014-02-07,0.0,4194.0,538.0,101.0,,,,,,,,,,,,,,,,,
2014-02-10,0.0,4207.0,548.0,102.0,,,,,,,,,,,,,,,,,
2014-02-11,0.0,3880.0,892.0,107.0,,,,,,,,,,,,,,,,,
2014-02-12,0.0,3658.0,1059.0,112.0,,,,,,,,,,,,,,,,,
2014-02-13,0.0,3610.0,1138.0,113.0,,,,,,,,,,,,,,,,,
2014-02-14,0.0,3427.0,1175.0,116.0,,,,,,,,,,,,,,,,,
2014-02-17,0.0,3218.0,1273.0,115.0,,,,,,,,,,,,,,,,,
2014-02-18,0.0,2642.0,1445.0,122.0,,,,,,,,,,,,,,,,,
2014-02-19,0.0,2332.0,1886.0,130.0,,,,,,,,,,,,,,,,,
2014-02-20,0.0,1888.0,2157.0,135.0,,,,,,,,,,,,,,,,,
2014-02-21,0.0,1404.0,2599.0,137.0,,,,,,,,,,,,,,,,,
2014-02-24,0.0,1205.0,3042.0,154.0,,,,,,,,,,,,,,,,,
2014-02-25,0.0,983.0,3445.0,180.0,,,,,,,,,,,,,,,,,
2014-02-26,0.0,782.0,3590.0,177.0,,,,,,,,,,,,,,,,,
2014-02-27,0.0,638.0,3872.0,196.0,,,,,,,,,,,,,,,,,
