,IC1505.CFE,IC1506.CFE,IC1507.CFE,IC1508.CFE,IC1509.CFE,IC1510.CFE,IC1511.CFE,IC1512.CFE,IC1601.CFE,IC1602.CFE,IC1603.CFE,IC1604.CFE,IC1605.CFE,IC1606.CFE,IC1607.CFE,IC1608.CFE,IC1609.CFE,IC1610.CFE,IC1611.CFE,IC1612.CFE,IC1701.CFE,IC1702.CFE,IC1703.CFE,IC1704.CFE,IC1705.CFE,IC1706.CFE,IC1707.CFE,IC1708.CFE,IC1709.CFE,IC1710.CFE,IC1711.CFE,IC1712.CFE,IC1801.CFE,IC1802.CFE,IC1803.CFE,IC1806.CFE,IC1804.CFE,IC1805.CFE,IC1809.CFE
2015-04-16,6643.0,856.0,,,215.0,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,9144.0,1352.0,,,298.0,,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,10706.0,1491.0,,,343.0,,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,16732.0,1761.0,,,401.0,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,14854.0,1718.0,,,423.0,,,739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,14805.0,1761.0,,,464.0,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,14603.0,2235.0,,,384.0,,,893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,15187.0,2596.0,,,608.0,,,909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,15900.0,2753.0,,,607.0,,,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,17677.0,2889.0,,,690.0,,,979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,16354.0,3046.0,,,711.0,,,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,16271.0,3328.0,,,764.0,,,986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,15884.0,3923.0,,,841.0,,,971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,15456.0,4019.0,,,845.0,,,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,15127.0,4074.0,,,827.0,,,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,16258.0,4183.0,,,1126.0,,,932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,16314.0,5421.0,,,1395.0,,,983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,14671.0,11079.0,,,1486.0,,,1057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,14624.0,16503.0,,,1931.0,,,1325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,8971.0,23309.0,,,2273.0,,,1357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,0.0,28064.0,,,1979.0,,,1431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,0.0,32183.0,490.0,,2156.0,,,1475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,0.0,33556.0,620.0,,2468.0,,,1596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,0.0,35302.0,846.0,,2407.0,,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,0.0,38615.0,848.0,,2598.0,,,1901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,0.0,37707.0,1114.0,,2482.0,,,1882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,0.0,39837.0,1059.0,,2514.0,,,1888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,0.0,40848.0,1211.0,,2717.0,,,2078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,0.0,42800.0,2344.0,,3404.0,,,2053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,0.0,40149.0,4345.0,,4368.0,,,2569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,0.0,40059.0,5250.0,,4785.0,,,3040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,0.0,45365.0,5923.0,,5671.0,,,3110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,0.0,44075.0,6404.0,,5968.0,,,3044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,0.0,44367.0,6731.0,,6544.0,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,0.0,35808.0,8649.0,,5941.0,,,3148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,0.0,33977.0,8723.0,,5399.0,,,3126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,0.0,31732.0,9489.0,,6069.0,,,3194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,0.0,31957.0,9096.0,,6226.0,,,3258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,0.0,34462.0,8043.0,,6324.0,,,3273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,0.0,33448.0,8576.0,,6368.0,,,3337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,0.0,29351.0,9005.0,,6395.0,,,3241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,0.0,27571.0,15112.0,,6938.0,,,3287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,0.0,20877.0,17686.0,,6825.0,,,3253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,0.0,15555.0,23260.0,,6957.0,,,3372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,0.0,6808.0,31846.0,,7296.0,,,3352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,0.0,0.0,31879.0,,7202.0,,,3379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,0.0,0.0,34580.0,176.0,6893.0,,,3529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,0.0,0.0,30433.0,249.0,6719.0,,,3609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,0.0,0.0,29295.0,393.0,7110.0,,,3705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
