,CS1503.DCE,CS1505.DCE,CS1507.DCE,CS1509.DCE,CS1511.DCE,CS1601.DCE,CS1603.DCE,CS1605.DCE,CS1607.DCE,CS1609.DCE,CS1611.DCE,CS1701.DCE,CS1703.DCE,CS1705.DCE,CS1707.DCE,CS1709.DCE,CS1711.DCE,CS1801.DCE,CS1803.DCE,CS1805.DCE,CS1807.DCE,CS1809.DCE,CS1811.DCE,CS1901.DCE,CS1903.DCE
2014-12-19,128.0,4928.0,6.0,2168.0,10.0,,,,,,,,,,,,,,,,,,,,
2014-12-22,140.0,8132.0,6.0,2372.0,10.0,,,,,,,,,,,,,,,,,,,,
2014-12-23,144.0,8664.0,6.0,2476.0,16.0,,,,,,,,,,,,,,,,,,,,
2014-12-24,142.0,7722.0,6.0,2570.0,14.0,,,,,,,,,,,,,,,,,,,,
2014-12-25,144.0,8792.0,4.0,2380.0,14.0,,,,,,,,,,,,,,,,,,,,
2014-12-26,132.0,9116.0,4.0,2366.0,14.0,,,,,,,,,,,,,,,,,,,,
2014-12-29,170.0,8528.0,4.0,2446.0,14.0,,,,,,,,,,,,,,,,,,,,
2014-12-30,174.0,8196.0,4.0,2518.0,14.0,,,,,,,,,,,,,,,,,,,,
2014-12-31,154.0,7520.0,4.0,2456.0,14.0,,,,,,,,,,,,,,,,,,,,
2015-01-05,132.0,9790.0,4.0,2328.0,14.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,130.0,14276.0,4.0,3064.0,12.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,132.0,12144.0,4.0,3204.0,12.0,,,,,,,,,,,,,,,,,,,,
2015-01-08,132.0,12230.0,4.0,3294.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,130.0,12758.0,4.0,3504.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-12,130.0,12546.0,4.0,3432.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,130.0,13294.0,4.0,3346.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,126.0,12464.0,4.0,3242.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,126.0,12536.0,4.0,3192.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,126.0,12184.0,4.0,2896.0,8.0,,,,,,,,,,,,,,,,,,,,
2015-01-19,130.0,10964.0,4.0,2908.0,8.0,10.0,,,,,,,,,,,,,,,,,,,
2015-01-20,120.0,11160.0,4.0,2898.0,6.0,10.0,,,,,,,,,,,,,,,,,,,
2015-01-21,120.0,10840.0,4.0,3096.0,6.0,16.0,,,,,,,,,,,,,,,,,,,
2015-01-22,120.0,11980.0,4.0,3408.0,2.0,18.0,,,,,,,,,,,,,,,,,,,
2015-01-23,120.0,12616.0,4.0,3440.0,2.0,20.0,,,,,,,,,,,,,,,,,,,
2015-01-26,120.0,12394.0,4.0,3486.0,2.0,20.0,,,,,,,,,,,,,,,,,,,
2015-01-27,126.0,11850.0,4.0,3870.0,2.0,20.0,,,,,,,,,,,,,,,,,,,
2015-01-28,124.0,12770.0,4.0,4128.0,2.0,20.0,,,,,,,,,,,,,,,,,,,
2015-01-29,124.0,13520.0,24.0,4262.0,2.0,32.0,,,,,,,,,,,,,,,,,,,
2015-01-30,124.0,13628.0,24.0,4358.0,4.0,32.0,,,,,,,,,,,,,,,,,,,
2015-02-02,124.0,13480.0,24.0,4626.0,4.0,32.0,,,,,,,,,,,,,,,,,,,
2015-02-03,124.0,13972.0,24.0,4688.0,4.0,32.0,,,,,,,,,,,,,,,,,,,
2015-02-04,124.0,14220.0,24.0,5300.0,4.0,30.0,,,,,,,,,,,,,,,,,,,
2015-02-05,120.0,17990.0,30.0,7716.0,4.0,96.0,,,,,,,,,,,,,,,,,,,
2015-02-06,120.0,16914.0,30.0,8252.0,4.0,110.0,,,,,,,,,,,,,,,,,,,
2015-02-09,120.0,22138.0,30.0,9680.0,4.0,142.0,,,,,,,,,,,,,,,,,,,
