,RO0707.CZC,RO0709.CZC,RO0711.CZC,RO0801.CZC,RO0803.CZC,RO0805.CZC,RO0807.CZC,RO0809.CZC,RO0811.CZC,RO0901.CZC,RO0903.CZC,RO0905.CZC,RO0907.CZC,RO0909.CZC,RO0911.CZC,RO1001.CZC,RO1003.CZC,RO1005.CZC,RO1007.CZC,RO1009.CZC,RO1011.CZC,RO1101.CZC,RO1103.CZC,RO1105.CZC,RO1107.CZC,RO1109.CZC,RO1111.CZC,RO1201.CZC,RO1203.CZC,RO1205.CZC,RO1207.CZC,RO1209.CZC,RO1211.CZC,RO1301.CZC,RO1303.CZC,RO1305.CZC,OI1307.CZC,OI1309.CZC,OI1311.CZC,OI1401.CZC,OI1403.CZC,OI1405.CZC,OI1407.CZC,OI1409.CZC,OI1411.CZC,OI1501.CZC,OI1503.CZC,OI1505.CZC,OI1507.CZC,OI1509.CZC,OI1511.CZC,OI1601.CZC,OI1603.CZC,OI1605.CZC,OI607.CZC,OI609.CZC,OI611.CZC,OI701.CZC,OI703.CZC,OI705.CZC,OI707.CZC,OI709.CZC,OI711.CZC,OI801.CZC,OI803.CZC,OI805.CZC,OI807.CZC,OI809.CZC,OI811.CZC,OI901.CZC,OI903.CZC
2007-06-08,422.0,19378.0,560.0,1290.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-11,420.0,25142.0,572.0,1678.0,18.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-12,460.0,30072.0,598.0,2070.0,20.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-13,454.0,37664.0,580.0,2432.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-14,418.0,32860.0,572.0,2266.0,18.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-15,422.0,30440.0,440.0,1984.0,14.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-18,418.0,29812.0,426.0,2120.0,14.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-19,418.0,26880.0,384.0,2132.0,12.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-20,418.0,26424.0,238.0,2026.0,12.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-21,418.0,26122.0,212.0,2122.0,12.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-22,420.0,26482.0,210.0,2114.0,14.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-25,420.0,25862.0,210.0,2076.0,14.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-26,418.0,25062.0,210.0,2302.0,14.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-27,418.0,29584.0,230.0,2366.0,14.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-28,418.0,25252.0,230.0,2322.0,14.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
