,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2014-02-07,204.0,2406.0,2.0,266.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,204.0,2400.0,2.0,270.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,204.0,2394.0,0.0,270.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,204.0,2392.0,0.0,274.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,204.0,2450.0,0.0,230.0,54.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,204.0,2442.0,0.0,230.0,54.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,204.0,2474.0,0.0,232.0,54.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,194.0,2442.0,0.0,230.0,54.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,194.0,3302.0,0.0,218.0,42.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,194.0,3410.0,0.0,218.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,192.0,3416.0,0.0,216.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,192.0,3514.0,0.0,218.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,192.0,3746.0,0.0,210.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,190.0,4282.0,0.0,210.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,190.0,4398.0,0.0,210.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,186.0,4452.0,0.0,212.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,186.0,4702.0,0.0,238.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,186.0,4796.0,0.0,242.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,186.0,4816.0,0.0,242.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,186.0,4808.0,0.0,256.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,186.0,4796.0,0.0,258.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,186.0,4866.0,0.0,264.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
