,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,白糖,玻璃,鸡蛋,铁矿石,豆一,玻璃,淀粉,热卷,淀粉,热卷,热卷,豆粕,豆粕
1,棉花,焦煤,天胶,动力煤,沪镍,焦煤,热卷,焦煤,豆一,玉米,玻璃,铁矿石,沥青
2,玉米,淀粉,玻璃,焦炭,玻璃,棉花,玻璃,玻璃,焦炭,焦煤,淀粉,豆油,豆一
3,豆粕,玉米,铁矿石,鸡蛋,沪锌,螺纹钢,沥青,棉花,沪锌,聚丙烯,豆一,沥青,豆油
4,动力煤,菜粕,动力煤,焦煤,甲醇,豆一,焦炭,动力煤,热卷,沪铜,沥青,豆一,铁矿石
