,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
CF801,long_1,top deviate,-1.4%,0,0,62%,long_1
ZC801,long_1,null,1.5%,0,0,50%,long_1
P1801,long_1,null,-0.7%,0,0,44%,long_1
J1801,long_1,null,1.7%,0,0,33%,long_1
JM1801,long_1,null,0.4%,0,0,25%,long_1
MA801,long_2,top deviate,4.0%,0,1,60%,null
L1801,long_2,top deviate,2.9%,0,0,50%,null
ZN1711,long_2,top deviate,-1.4%,0,0,50%,null
AL1711,long_2,gold cross,2.6%,0,1,42%,long_2
V1801,long_2,top deviate,null,0,0,38%,null
I1801,long_2,top deviate,-9.4%,0,0,33%,null
PP1801,long_2,top deviate,3.0%,0,0,33%,null
TA801,long_2,top deviate,1.9%,0,0,33%,null
RB1801,long_2,top deviate,-6.4%,0,0,13%,null
SR801,short_1,top deviate,-6.4%,0,0,55%,short_1
A1801,short_1,bottom deviate,-2.1%,0,0,47%,short_1
C1801,short_2,top deviate,0.3%,0,0,50%,short_2
M1801,short_2,bottom deviate,-3.2%,0,0,35%,short_2
RM801,short_2,death cross,-4.0%,0,0,25%,short_2
