,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
FG805,long_1,null,null,-7.6%,null,75%,long_1
RB1805,long_1,null,null,-13.0%,h5>h60,75%,long_1
RM801,long_1,null,null,-0.7%,h5<h60,50%,long_1
M1805,long_1,null,null,-5.9%,h5<h60,47%,long_1
I1805,long_1,null,null,2.1%,h5>h60,25%,long_1
JM1805,long_1,null,null,6.7%,h5>h60,25%,long_1
J1805,long_1,null,null,9.8%,h5>h60,17%,long_1
HC1805,long_1,null,null,-4.7%,h5>h60,100%,long_1
JD1801,long_1,null,death cross,null,h5>h60,0%,long_1
ZC801,long_1,null,null,-3.4%,h5>h60,0%,long_1
MA801,long_2,null,null,-8.9%,null,67%,long_2
BU1806,long_2,null,null,6.6%,h5>h60|today,50%,null
ZN1801,long_2,null,null,-0.7%,h5>h60|today,46%,null
L1805,short_1,null,null,-1.4%,h5<h60,70%,short_1
CU1801,short_1,null,null,0.4%,h5<h60,67%,short_2
NI1805,short_1,null,null,1.0%,h5<h60,62%,short_1
IC,short_1,null,null,0.0%,h5<h60,57%,short_1
P1805,short_1,null,null,1.4%,h5<h60,56%,short_1
T,short_1,null,null,null,h5<h60|today,50%,null
IF,short_1,null,null,0.1%,h5<h60|today,47%,null
RU1805,short_1,null,null,17.0%,h5<h60|today,41%,null
V1801,short_1,m10,null,1.8%,h5<h60|today,38%,short_1
TF,short_1,null,null,null,h5>h60,25%,short_1
CS1801,short_1,null,null,-6.1%,h5<h60|today,100%,null
