,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
CF801,long_1,top deviate,-0.9%,0,0,62%,long_1
ZC801,long_1,null,-0.2%,0,0,50%,long_1
Y1801,long_1,gold cross,-0.6%,0,0,45%,null
P1801,long_1,gold cross,-2.0%,1,1,44%,null
J1801,long_1,null,0.1%,0,0,33%,long_2
JM1801,long_1,gold cross,-2.1%,1,1,25%,long_2
AL1711,long_2,top deviate,0.4%,0,0,42%,long_3
SR801,short_1,top deviate,-6.3%,0,0,55%,short_1
A1801,short_1,gold cross,-2.5%,0,0,47%,short_1
C1801,short_2,top deviate,0.5%,0,0,50%,short_2
M1801,short_2,null,-3.2%,0,0,35%,short_2
RM801,short_2,null,-4.1%,1,0,25%,short_2
