,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
CU1711,多头_1,null,1.0%,null,50%,null
ZN1711,多头_1,null,0.4%,h5>h60,50%,long_1
PP1801,多头_1,null,1.5%,null,33%,short_1
M1801,多头_1,null,-4.1%,null,28%,long_1
RM801,多头_1,null,-5.4%,h5<h60,25%,null
AL1711,多头_2,null,2.2%,h5>h60|today,57%,null
MA801,多头_2,null,-0.9%,h5>h60|today,40%,short_1
SR801,空头_1,null,-8.0%,null,73%,short_1
Y1801,空头_1,null,2.7%,h5<h60,64%,short_1
TA801,空头_1,null,-0.7%,null,56%,null
C1801,空头_1,null,-1.4%,h5<h60,50%,null
CS1801,空头_1,null,-12.5%,h5<h60,50%,null
L1801,空头_1,null,1.3%,h5<h60,50%,short_1
OI801,空头_1,kd金叉,-2.2%,null,50%,short_1
ZC801,空头_1,null,-12.9%,h5<h60|today,50%,long_2
RU1801,空头_1,null,18.0%,null,47%,short_1
RB1801,空头_1,null,-7.1%,null,38%,short_1
I1801,空头_1,null,-13.5%,h5<h60,33%,short_1
J1801,空头_1,null,-19.9%,h5<h60,33%,short_1
JM1801,空头_1,null,-24.6%,h5<h60,25%,short_1
V1801,空头_1,null,null,h5<h60,25%,short_1
AU1712,空头_2,null,null,h5<h60,53%,null
