,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
JD1801,多头_1,null,null,h5>h60,67%,null
ZN1712,多头_1,null,-3.8%,h5>h60,50%,多头_1
CU1711,多头_1,null,-0.3%,h5>h60,43%,多头_1
RM801,多头_2,null,-7.6%,h5<h60|today,50%,多头_2
Y1801,空头_1,null,1.5%,h5<h60,64%,空头_1
MA801,空头_1,null,-3.4%,h5<h60|today,60%,null
AL1712,空头_1,null,1.0%,h5<h60|today,57%,空头_1
TA801,空头_1,null,-0.2%,h5<h60,56%,空头_1
CF801,空头_1,null,-6.0%,h5<h60,54%,空头_1
RU1801,空头_1,null,18.0%,h5<h60,53%,空头_1
C1801,空头_1,null,-0.5%,h5<h60,50%,空头_1
CS1801,空头_1,null,-11.4%,h5<h60,50%,空头_1
L1801,空头_1,kd死叉,0.2%,h5<h60,50%,空头_1
OI801,空头_1,null,-2.1%,h5<h60,50%,空头_1
ZC801,空头_1,null,-14.5%,h5<h60,50%,空头_1
AU1712,空头_1,null,null,h5<h60,41%,空头_1
RB1801,空头_1,null,-11.1%,h5<h60,38%,空头_2
I1801,空头_1,null,-13.5%,h5<h60,33%,空头_1
J1801,空头_1,null,-20.3%,h5<h60,33%,空头_1
PP1801,空头_1,null,0.5%,h5<h60|today,33%,空头_1
M1801,空头_1,null,-4.7%,h5<h60|today,28%,null
JM1801,空头_1,null,-22.8%,h5<h60,25%,空头_1
V1801,空头_1,null,null,h5<h60,25%,空头_1
HC1801,空头_2,null,-4.5%,h5<h60,33%,空头_2
