,LR1411.CZC,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2014-07-08,2790.0,2813.0,2806.0,2785.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,2787.0,2804.0,,2759.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,2818.0,2804.0,,2748.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,2830.0,2828.0,,2750.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,2825.0,2830.0,,2766.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,2825.0,2831.0,,2769.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,,2828.0,,2775.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,,2815.0,,2771.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,2808.0,2816.0,,2774.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,,2819.0,,2788.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,,2823.0,,2781.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,,2820.0,,2780.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,,2839.0,,2828.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,,2872.0,,2845.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,,2878.0,,2855.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,2883.0,2887.0,,2830.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,2881.0,2881.0,,2842.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,2877.0,2872.0,,2839.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,,2864.0,,2826.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,,2855.0,,2822.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,,2846.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,,2850.0,,2827.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,,2840.0,,2830.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,,2846.0,,2829.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,,2855.0,,2831.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,,2857.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,,2863.0,,2827.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,,2851.0,2908.0,2823.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,,2857.0,,2833.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,,2848.0,,2826.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,,2836.0,,2820.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,,2845.0,,2819.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,,2842.0,,2816.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,,2832.0,,2819.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,,2842.0,,2826.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,,2841.0,,2835.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,,2849.0,,2834.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,,2837.0,,2862.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,,2831.0,,2826.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,,2830.0,,2829.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,,2828.0,,2827.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,,2829.0,,2817.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,,2821.0,,2812.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-05,,2825.0,,2810.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,,2807.0,,2794.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,,2820.0,,2790.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,,2825.0,,2802.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,,2830.0,,2806.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-15,,2839.0,,2806.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-16,,2833.0,,2805.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,,2838.0,,2807.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,,2835.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,,2834.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,,2831.0,,2806.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,2796.0,2836.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,,2833.0,,2819.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-25,,2834.0,,2797.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26,,2835.0,,2800.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29,,2834.0,,2800.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,2834.0,,2800.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-08,,2838.0,,2808.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-09,,2838.0,,2811.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,,2836.0,,2809.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13,,2827.0,,2806.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14,2838.0,2835.0,,2806.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,,2836.0,,2817.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,,2842.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-17,2849.0,2841.0,,2824.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-20,2828.0,2845.0,,2816.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21,,2835.0,,2821.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,,2842.0,,2822.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-23,,2839.0,,2820.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-24,,2836.0,,2817.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,,2840.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,2900.0,2840.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-29,,2837.0,,2831.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,,2837.0,,2824.0,,,,,,,,,,,,,,,,,,,,,,,
