,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1804.CFE,IH1805.CFE,IH1806.CFE,IH1809.CFE
2015-04-16,3283.8,3295.0,,,3298.8,,,3318.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,3254.0,3267.8,,,3284.6,,,3315.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,3146.8,3154.0,,,3167.6,,,3212.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,3234.0,3238.8,,,3248.8,,,3298.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,3308.0,3316.4,,,3332.0,,,3380.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,3267.8,3271.8,,,3286.0,,,3334.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,3233.0,3236.8,,,3243.6,,,3289.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,3357.6,3358.0,,,3366.6,,,3393.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,3286.8,3292.0,,,3304.4,,,3352.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,3295.2,3302.6,,,3310.4,,,3353.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,3269.4,3276.0,,,3279.4,,,3325.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,3273.2,3279.2,,,3287.0,,,3333.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,3163.0,3173.0,,,3178.0,,,3221.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,3153.0,3161.0,,,3165.2,,,3205.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,3111.2,3121.8,,,3130.4,,,3169.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,3099.8,3112.6,,,3121.2,,,3169.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,3160.0,3178.0,,,3190.0,,,3233.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,3175.0,3175.2,,,3185.0,,,3227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,3125.4,3112.4,,,3121.6,,,3163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,3129.4,3113.4,,,3124.8,,,3167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,3073.2,3041.4,,,3044.6,,,3094.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
