,SC1809.INE,SC1810.INE,SC1811.INE,SC1812.INE,SC1901.INE,SC1902.INE,SC1903.INE,SC1906.INE,SC1909.INE,SC1912.INE,SC2003.INE,SC2006.INE,SC2009.INE,SC2012.INE,SC2103.INE,SC1904.INE
2018-03-26,429.9,426.4,422.1,421.2,420.1,416.0,415.0,406.7,405.1,396.0,394.1,383.6,375.0,375.0,398.0,
2018-03-27,424.0,421.3,417.4,415.4,414.0,416.0,408.1,406.4,402.8,394.1,389.8,389.7,376.8,375.0,378.2,
2018-03-28,410.4,405.3,407.4,406.6,402.7,399.9,397.0,388.4,385.5,383.9,382.2,372.0,378.3,376.4,368.0,
2018-03-29,409.7,406.6,405.1,405.0,400.0,400.4,400.3,390.6,383.2,376.4,382.8,372.0,378.3,376.4,365.5,
2018-03-30,420.3,418.1,414.6,415.0,408.0,408.7,406.8,402.0,392.4,389.9,385.1,376.5,381.8,373.4,372.0,
2018-04-02,416.6,412.8,412.5,412.3,407.6,410.9,404.3,396.6,391.0,383.8,382.9,375.4,378.6,373.2,364.6,411.7
2018-04-03,402.5,399.4,400.4,398.0,399.2,406.6,391.0,382.4,381.5,378.4,370.7,375.4,372.5,367.2,358.8,399.4
2018-04-04,401.5,399.7,399.8,398.1,403.4,391.8,389.7,383.2,381.2,377.7,376.8,375.4,373.2,367.9,354.9,396.8
2018-04-09,402.3,399.8,398.7,399.8,399.9,392.2,387.3,383.4,381.2,377.7,376.8,375.4,370.9,365.6,358.2,396.8
2018-04-10,413.5,411.1,411.0,410.1,399.9,406.1,398.1,391.1,388.8,379.9,384.3,375.4,378.2,372.8,368.9,404.7
2018-04-11,417.8,414.7,414.0,413.4,399.9,406.1,406.4,398.6,388.8,384.6,384.3,376.8,378.2,379.9,369.7,416.2
2018-04-12,428.7,426.0,425.7,424.4,419.8,420.9,415.8,408.9,405.0,397.3,397.0,376.8,378.7,380.4,381.8,423.6
2018-04-13,427.0,424.5,422.1,424.4,419.9,420.9,416.1,407.1,401.7,397.3,398.1,383.5,379.7,381.4,381.8,424.7
2018-04-16,424.4,424.4,421.1,419.8,418.7,420.8,414.4,406.6,401.7,397.2,398.0,383.4,379.6,381.3,381.8,424.6
2018-04-17,427.4,424.8,421.5,419.7,417.0,418.6,414.4,406.6,401.7,397.2,398.0,383.4,379.6,381.3,377.9,422.4
2018-04-18,429.7,428.1,426.7,424.6,422.5,418.6,418.3,406.6,401.7,397.2,401.7,389.5,379.6,381.3,380.9,426.4
2018-04-19,440.6,438.0,431.7,434.8,430.0,432.9,426.2,421.9,414.6,397.2,402.4,396.2,388.4,390.2,388.1,434.3
2018-04-20,436.7,434.2,432.3,431.3,430.0,434.1,426.1,419.4,413.6,397.2,403.5,397.1,399.0,400.6,388.0,435.5
2018-04-23,439.7,437.2,432.0,433.7,430.0,432.0,426.3,415.5,413.6,397.2,399.7,393.4,395.0,396.8,395.8,435.7
2018-04-24,447.3,445.8,444.0,441.5,441.9,432.0,435.4,428.1,420.5,403.8,406.4,399.9,401.6,403.4,400.0,438.5
2018-04-25,438.0,435.1,434.4,432.5,441.0,429.7,434.5,418.8,418.5,403.8,404.4,399.9,399.6,401.4,399.3,438.5
2018-04-26,441.4,442.5,440.1,437.1,437.4,426.1,427.6,426.3,414.8,399.6,400.1,399.5,399.2,400.9,399.3,431.8
