,C.DCE,M.DCE,index,c_standard,m_standard,index_standard,,C,M,,,,,"corr(c,index)","corr(m,index)","corr(c,m)"
2006/3/28,1407,2300,981.3077456,1.011502516,0.959532749,0.981307746,,1407,2219.5,,,,,,,
2006/3/29,1398,2298,976.8101586,1.005032351,0.958698373,0.976810159,,1398,2217.57,,,,,,,
2006/3/30,1399,2294,976.7188679,1.005751258,0.95702962,0.976718868,,1399,2213.71,,,,,,,
2006/3/31,1406,2311,982.3788894,1.010783609,0.964121819,0.982378889,,1406,2230.115,,,,,,,
2006/4/3,1407,2263,976.1285216,1.011502516,0.944096788,0.976128522,,1407,2183.795,,,,,,,
2006/4/4,1397,2243,968.6426868,1.004313444,0.935753025,0.968642687,,1397,2164.495,,,,,,,
2006/4/5,1397,2227,966.4030223,1.004313444,0.929078014,0.966403022,,1397,2149.055,,,,,,,
2006/4/6,1401,2237,969.6773143,1.007189073,0.933249896,0.969677314,,1401,2158.705,,,,,,,
2006/4/7,1397,2211,964.1633579,1.004313444,0.922403004,0.964163358,,1397,2133.615,,,,,,,
2006/4/10,1390,2188,957.6634623,0.999281093,0.912807676,0.957663462,,1390,2111.42,,,,,,,
2006/4/11,1373,2188,949.6968299,0.987059669,0.912807676,0.94969683,,1373,2111.42,,,,,,,
2006/4/12,1369,2199,949.3620975,0.98418404,0.917396746,0.949362097,,1369,2122.035,,,,,,,
2006/4/13,1361,2186,943.7933666,0.978432782,0.9119733,0.943793367,,1361,2109.49,,,,,,,
2006/4/14,1358,2192,943.2273645,0.97627606,0.914476429,0.943227365,,1358,2115.28,,,,,,,
2006/4/17,1365,2212,949.3073231,0.981308411,0.922820192,0.949307323,,1365,2134.58,,,,,,,
2006/4/18,1365,2210,949.027365,0.981308411,0.921985816,0.949027365,,1370.862563,2132.65,,,,,,,
2006/4/19,1374.6,2216,950.7978457,0.988209921,0.924488945,0.950797846,,1376.725125,2138.44,,,,,,,
2006/4/20,1376.8,2213,947.4058135,0.989791517,0.92323738,0.947405814,,1369.885469,2135.545,,,,,,,
2006/4/21,1372,2189,937.975013,0.986340762,0.913224864,0.937975013,,1356.206156,2112.385,,,,,,,
2006/4/24,1395.2,2210,947.8778135,1.00301941,0.921985816,0.947877814,,1372.81675,2132.65,,,,,,,
2006/4/25,1393,2199,940.861795,1.001437815,0.917396746,0.940861795,,1361.091625,2122.035,,,,,,,
2006/4/26,1406,2214,948.8852113,1.010783609,0.923654568,0.948885211,,1373.793844,2136.51,,,,,,,
2006/4/27,1423,2221,957.6477832,1.023005032,0.926574885,0.957647783,,1390.404438,2143.265,,,,,,,
2006/4/28,1434,2238,965.0274187,1.030913012,0.933667084,0.965027419,,1401.15247,2159.67,,,,,,,
2006/5/8,1444,2268,973.7303814,1.038102085,0.946182728,0.973730381,,1410.923407,2188.62,,,,,,,
2006/5/9,1462,2286,984.4600614,1.051042416,0.953692115,0.984460061,,1428.511095,2205.99,,,,,,,
2006/5/10,1473,2298,991.1541895,1.058950395,0.958698373,0.991154189,,1439.259127,2217.57,,,,,,,
2006/5/11,1474,2316,994.0810078,1.059669303,0.96620776,0.994081008,,1440.23622,2234.94,,,,,,,
2006/5/12,1477,2337,998.3371142,1.061826024,0.974968711,0.998337114,,1443.167502,2245.149444,,,,,,,
2006/5/15,1488,2348,1002.635995,1.069734004,0.979557781,1.002635995,,1453.915533,2246.077575,,,,,,,
2006/5/16,1464,2307.4,983.6754156,1.05248023,0.962619942,0.983675416,,1430.465283,2189.46157,,,,,,,
2006/5/17,1468,2334.6,986.8597545,1.055355859,0.973967459,0.986859754,,1434.373658,2198.742882,,,,,,,
2006/5/18,1468,2342.4,985.5831291,1.055355859,0.977221527,0.985583129,,1434.373658,2189.46157,,,,,,,
2006/5/19,1466,2349,983.3208473,1.053918045,0.979974969,0.983320847,,1429.608297,2180.180257,,,,,,,
2006/5/22,1466.2,2315,975.743586,1.054061826,0.965790572,0.975743586,,1421.030647,2148.623796,,,,,,,
2006/5/23,1479.8,2323,980.1579204,1.063838965,0.969128077,0.98015792,,1431.514441,2156.048846,,,,,,,
2006/5/24,1501.4,2344,989.3581685,1.079367362,0.977889028,0.989358168,,1447.716669,2175.539601,,,,,,,
2006/5/25,1503.4,2319,982.9720023,1.080805176,0.967459324,0.982972002,,1441.998235,2152.336321,,,,,,,
2006/5/26,1535,2334,994.7731299,1.103522646,0.973717146,0.99477313,,1462.965824,2166.258289,,,,,,,
2006/5/29,1540,2328,996.2026927,1.107117182,0.971214018,0.996202693,,1467.731185,2160.689502,,,,,,,
2006/5/30,1546,2342,1000.740252,1.111430625,0.977054652,1.000740252,,1473.449618,2173.683339,,,,,,,
2006/5/31,1534,2329,993.6618908,1.102803738,0.971631206,0.993661891,,1462.012752,2161.617633,,,,,,,
2006/6/1,1500,2284,972.5194096,1.078360891,0.952857739,0.97251941,,1429.608297,2119.851728,,,,,,,
2006/6/2,1510,2318,981.5019255,1.085549964,0.967042136,0.981501926,,1439.139019,2151.408189,,,,,,,
2006/6/5,1531,2382,999.3801419,1.100647017,0.993742178,0.999380142,,1459.153535,2210.808588,,,,,,,
2006/6/6,1515,2373,991.0516365,1.0891445,0.989987484,0.991051636,,1443.90438,2202.455407,,,,,,,
2006/6/7,1506,2361,985.4433517,1.082674335,0.984981227,0.985443352,,1435.32673,2191.317832,,,,,,,
2006/6/8,1510,2361,987.2259644,1.085549964,0.984981227,0.987225964,,1439.139019,2191.317832,,,,,,,
2006/6/9,1496,2327,976.4608357,1.075485262,0.970796829,0.976460836,,1425.796008,2159.76137,,,,,,,
2006/6/12,1509,2355,985.9816081,1.084831057,0.982478098,0.985981608,,1438.185947,2185.749045,,,,,,,
2006/6/13,1496,2353,979.9218825,1.075485262,0.981643721,0.979921882,,1425.796008,2183.892782,,,,,,,
2006/6/14,1472,2333,966.5638626,1.058231488,0.973299958,0.966563863,,1402.922275,2165.330158,,,,,,,
2006/6/15,1475,2340,968.8326424,1.06038821,0.976220275,0.968832642,,1405.781492,2171.827076,,,,,,,
2006/6/16,1476,2353,971.0088189,1.061107117,0.981643721,0.971008819,,1406.734564,2183.892782,,,,,,,
2006/6/19,1468,2334,964.9143671,1.055355859,0.973717146,0.964914367,,1399.109987,2166.258289,,,,,,,
2006/6/20,1459,2314,958.2411448,1.048885694,0.965373383,0.958241145,,1390.532337,2147.695664,,,,,,,
2006/6/21,1475,2326,966.9690018,1.06038821,0.970379641,0.966969002,,1405.781492,2158.833239,,,,,,,
2006/6/22,1482,2329,970.4879256,1.065420561,0.971631206,0.970487926,,1412.452997,2161.617633,,,,,,,
2006/6/23,1472,2316,964.3008705,1.058231488,0.96620776,0.96430087,,1402.922275,2149.551927,,,,,,,
2006/6/26,1468,2296,959.8559141,1.055355859,0.957863997,0.959855914,,1399.109987,2130.989302,,,,,,,
2006/6/27,1467,2280,957.280386,1.054636952,0.951188986,0.957280386,,1398.156914,2116.139203,,,,,,,
2006/6/28,1472,2288,960.5735894,1.058231488,0.954526491,0.960573589,,1402.922275,2123.564252,,,,,,,
2006/6/29,1471,2293,960.7935221,1.057512581,0.956612432,0.960793522,,1401.969203,2128.204909,,,,,,,
2006/6/30,1476,2312,965.5510145,1.061107117,0.964539007,0.965551014,,1406.734564,2145.839402,,,,,,,
2006/7/3,1482,2337,971.5528631,1.065420561,0.974968711,0.971552863,,1412.452997,2169.042683,,,,,,,
2006/7/4,1475,2327,967.102119,1.06038821,0.970796829,0.967102119,,1405.781492,2159.76137,,,,,,,
2006/7/5,1462,2315,959.7112215,1.051042416,0.965790572,0.959711222,,1393.391553,2148.623796,,,,,,,
2006/7/6,1458,2301,956.0649683,1.048166786,0.959949937,0.956064968,,1389.579265,2135.629958,,,,,,,
2006/7/7,1448,2322,954.4038973,1.040977714,0.968710889,0.954403897,,1380.048543,2155.120714,,,,,,,
2006/7/10,1430,2312,945.0509683,1.028037383,0.964539007,0.945050968,,1362.893243,2145.839402,,,,,,,
2006/7/11,1434,2318,947.6322841,1.030913012,0.967042136,0.947632284,,1366.705532,2151.408189,,,,,,,
2006/7/12,1432,2326,947.8059152,1.029475198,0.970379641,0.947805915,,1364.799387,2158.833239,,,,,,,
2006/7/13,1426,2311,943.1352385,1.025161754,0.964121819,0.943135238,,1359.080954,2144.911271,,,,,,,
2006/7/14,1419,2302,938.8176116,1.020129403,0.960367126,0.938817612,,1352.409449,2136.55809,,,,,,,
2006/7/17,1426,2292,940.606012,1.025161754,0.956195244,0.940606012,,1359.080954,2127.276777,,,,,,,
2006/7/18,1425,2276,938.0304839,1.024442847,0.949520234,0.938030484,,1358.127882,2112.426678,,,,,,,
2006/7/19,1421,2272,935.7154025,1.021567218,0.947851481,0.935715402,,1354.315593,2108.714153,,,,,,,
2006/7/20,1423,2277,937.2722947,1.023005032,0.949937422,0.937272295,,1356.221738,2113.354809,,,,,,,
2006/7/21,1403,2242,923.7001298,1.008626887,0.935335836,0.92370013,,1337.160294,2080.870216,,,,,,,
2006/7/24,1382,2221,911.5459523,0.993529835,0.926574885,0.911545952,,1317.145777,2061.37946,,,,,,,
2006/7/25,1383,2239,914.3877147,0.994248742,0.934084272,0.914387715,,1318.09885,2078.085822,,,,,,,
2006/7/26,1372,2229,908.154358,0.986340762,0.92991239,0.908154358,,1307.615056,2068.80451,,,,,,,
2006/7/27,1370,2216,905.5325282,0.984902948,0.924488945,0.905532528,,1304.836837,2056.738804,,,,,,,
2006/7/28,1383,2205,906.3823734,0.994248742,0.919899875,0.906382373,,1310.393274,2046.52936,,,,,,,
2006/7/31,1396.4,2227,911.6763329,1.003882099,0.929078014,0.911676333,,1315.949712,2068.100157,,,,,,,
2006/8/1,1402,2231.4,909.1681835,1.00790798,0.930913642,0.909168184,,1313.171493,2057.314759,,,,,,,
2006/8/2,1405,2243,906.6181179,1.010064702,0.935753025,0.906618118,,1308.541129,2053.719626,,,,,,,
2006/8/3,1403,2245,900.7173603,1.008626887,0.936587401,0.90071736,,1299.280399,2041.136661,,,,,,,
2006/8/4,1405,2271.4,903.3198769,1.010064702,0.947601168,0.903319877,,1301.132545,2052.820843,,,,,,,
2006/8/7,1399,2273,899.301175,1.005751258,0.948268669,0.899301175,,1295.576107,2042.934228,,,,,,,
2006/8/8,1386,2240,889.4089858,0.996405464,0.93450146,0.889408986,,1283.537158,2013.274382,,,,,,,
2006/8/9,1388,2246,891.0501899,0.997843278,0.937004589,0.89105019,,1285.389304,2018.667081,,,,,,,
2006/8/10,1384,2243,888.931238,0.994967649,0.935753025,0.888931238,,1281.685012,2015.970731,,,,,,,
2006/8/11,1392,2237,891.6178667,1.000718907,0.933249896,0.891617867,,1289.093596,2010.578032,,,,,,,
2006/8/14,1383,2212,884.4909939,0.994248742,0.922820192,0.884490994,,1280.758939,1988.108452,,,,,,,
2006/8/15,1393,2220,889.8530102,1.001437815,0.926157697,0.88985301,,1290.019669,1995.298718,,,,,,,
2006/8/16,1400,2238,895.2094058,1.006470165,0.933667084,0.895209406,,1296.50218,2011.476815,,,,,,,
2006/8/17,1405,2235,896.9855034,1.010064702,0.932415519,0.896985503,,1301.132545,2008.780466,,,,,,,
2006/8/18,1422,2263,907.9624612,1.022286125,0.944096788,0.907962461,,1316.875785,2033.946396,,,,,,,
2006/8/21,1421,2255,906.4954945,1.021567218,0.940759282,0.906495494,,1315.949712,2026.75613,,,,,,,
