,index,农业生产资料价格指数（饲料）
2006/1/31,996.7393582,69.178347
2006/2/28,1017.087602,69.039991
2006/3/31,982.3788894,69.178071
2006/4/30,965.0274187,69.108893
2006/5/31,993.6618908,69.039784
2006/6/30,965.5510145,69.246903
2006/7/31,911.6763329,69.454644
2006/8/31,893.2590708,69.385189
2006/9/30,895.4791928,69.523959
2006/10/31,937.276963,69.454435
2006/11/30,985.4147202,69.940617
2006/12/31,1001.373885,71.059666
2007/1/31,1001.828098,71.486024
2007/2/28,1015.026102,71.55751
2007/3/31,1003.612997,71.986855
2007/4/30,974.2927621,72.490763
2007/5/31,979.7420734,73.650616
2007/6/30,919.3158061,74.387122
2007/7/31,905.600789,75.056606
2007/8/31,971.1063245,75.732115
2007/9/30,1004.043764,76.792365
2007/10/31,1036.448025,77.560289
2007/11/30,1045.203105,79.731977
2007/12/31,1050.191356,81.326616
2008/1/31,1009.623632,82.383862
2008/2/29,1070.148764,83.537236
2008/3/31,1021.716118,85.124444
2008/4/30,1041.455281,85.890564
2008/5/31,1048.485456,86.663579
2008/6/30,1133.138673,88.13686
2008/7/31,1063.684777,89.106365
2008/8/31,1021.300056,89.641003
2008/9/30,970.7587831,89.909926
2008/10/31,870.3229843,89.280557
2008/11/30,802.3154704,88.298471
2008/12/31,805.9163291,87.533718
2009/1/31,837.0501905,87.199251
2009/2/28,819.8572249,86.970005
2009/3/31,853.6982433,87.11194
2009/4/30,849.9007048,87.319527
2009/5/31,874.1595414,87.716919
2009/6/30,881.3133261,88.456372
2009/7/31,883.70095,88.771188
2009/8/31,907.6387684,89.912253
2009/9/30,874.5819203,90.754731
2009/10/31,892.6607267,91.474779
2009/11/30,933.17765,91.763016
2009/12/31,940.6942915,93.03531
2010/1/31,911.9785803,93.591103
2010/2/28,920.0838225,93.844174
2010/3/31,944.3334378,94.59671
2010/4/30,945.430885,95.143952
2010/5/31,940.8656151,95.984359
2010/6/30,929.1702426,96.035518
2010/7/31,970.9745875,96.573509
2010/8/31,988.472835,97.477244
2010/9/30,1028.297171,97.791706
2010/10/31,1080.550817,98.304623
2010/11/30,1046.837443,99.696027
2010/12/31,1090.247959,100
2011/1/31,1101.500194,100.4014
2011/2/28,1118.450244,100.973286
2011/3/31,1101.651852,101.94475
2011/4/30,1082.881447,102.53236
2011/5/31,1103.287134,103.224863
2011/6/30,1063.349252,104.063565
2011/7/31,1083.981814,105.370708
2011/8/31,1085.842286,106.535581
2011/9/30,1011.311738,107.705235
2011/10/31,995.2393502,107.946064
2011/11/30,954.7369326,107.851935
2011/12/31,991.2502098,107.660174
2012/1/31,1009.331147,107.650808
2012/2/29,1053.614742,107.683642
2012/3/31,1068.004359,107.936267
2012/4/30,1082.763173,108.669047
2012/5/31,1046.675822,109.392456
2012/6/30,1099.985073,109.582362
2012/7/31,1168.610193,110.209392
2012/8/31,1191.119417,111.668564
2012/9/30,1146.44857,113.638733
2012/10/31,1134.159426,113.830555
2012/11/30,1126.023192,113.501471
2012/12/31,1133.10783,113.55232
2013/1/31,1149.834969,114.025719
2013/2/28,1143.831398,114.335755
2013/3/31,1138.273808,114.853925
2013/4/30,1110.161991,114.733558
2013/5/31,1152.683813,114.890972
2013/6/30,1149.096827,115.28884
2013/7/31,1133.318236,115.689238
2013/8/31,1171.701627,115.982047
2013/9/30,1184.704631,116.464301
2013/10/31,1168.118591,116.858882
2013/11/30,1196.616445,117.046908
2013/12/31,1192.507812,117.101569
2014/1/31,1191.790651,117.027912
2014/2/28,1188.211284,117.1536
2014/3/31,1213.116239,116.942958
2014/4/30,1248.480242,116.727782
2014/5/31,1274.216461,116.850459
2014/6/30,1268.312389,117.242111
2014/7/31,1273.733774,118.062579
2014/8/31,1270.604638,118.955622
2014/9/30,1224.896188,119.36454
2014/10/31,1257.601054,118.956048
2014/11/30,1254.860738,118.758554
2014/12/31,1243.606047,118.801129
2015/1/31,1237.405075,118.487173
2015/2/28,1279.358748,117.730727
2015/3/31,1269.10492,117.3
2015/4/30,1257.228796,116.8
2015/5/31,1224.181549,116.3
2015/6/30,1178.462232,115.6
2015/7/31,1150.22462,115.5
2015/8/31,1135.799385,115.6
2015/9/30,1075.147858,115.021143
2015/10/31,1067.425701,114.473983
2015/11/30,1082.917781,113.448291
2015/12/31,1084.282599,112.183519
2016/1/31,1108.898059,111.845483
2016/2/29,1034.372304,111.555659
2016/3/31,1036.709778,109.936217
2016/4/30,1126.640877,108.595686
2016/5/31,1218.229519,108.526984
2016/6/30,1259.313765,109.411
2016/7/31,1143.278989,110.153869
2016/8/31,1134.36877,109.823408
2016/9/30,1100.126073,109.493937
2016/10/31,1171.630264,109.055962
2016/11/30,1244.147791,109.383129
2016/12/31,1207.879293,104.263466
2017/1/31,1243.043909,103.924806
2017/2/28,1262.927079,103.616519
2017/3/31,1238.285491,103.019714
2017/4/30,1216.265931,102.951478
2017/5/31,1187.585261,102.480417
2017/6/30,1229.112815,102.260488
2017/7/31,1235.088496,102.645102
2017/8/31,1225.097872,102.74107
2017/9/30,1233.208529,103.044404
2017/10/31,1221.995052,103.26077
2017/11/30,1266.098127,103.421468
